,Zebra_male,Zebra_female,tuple,Technologies_male,Technologies_female,average_male,average_female,female-male
50,-4.5867586,-4.5730247,"('rich', 'poor')",-4.4762087,-4.330534,-4.5314836502075195,-4.451779365539551,0.07970428466796875
3,4.4621515,4.332434,"('liked', 'disliked')",4.2380776,4.1272926,4.350114822387695,4.229863166809082,-0.12025165557861328
30,-3.8794608,-3.8072734,"('smart', 'stupid')",-3.8067951,-3.817644,-3.843127965927124,-3.8124585151672363,0.030669450759887695
26,2.5429645,2.418892,"('reliable', 'unreliable')",2.7003837,2.5837681,2.621674060821533,2.5013298988342285,-0.12034416198730469
5,-2.2176156,-2.1283937,"('helpful', 'unhelpful')",-3.9377575,-3.8693838,-3.0776865482330322,-2.9988887310028076,0.07879781723022461
28,2.2052383,2.0870633,"('unprejudiced', 'prejudiced')",1.5297697,1.3851988,1.8675040006637573,1.7361310720443726,-0.13137292861938477
1,-2.1998465,-2.1147606,"('friendly', 'unfriendly')",-0.5343572,-0.42838103,-1.3671019077301025,-1.2715708017349243,0.09553110599517822
21,2.1035962,2.0430064,"('incorrupt', 'corrupt')",2.6122613,2.6237178,2.35792875289917,2.333362102508545,-0.024566650390625
24,1.939621,2.007692,"('generous', 'stingy')",2.0439217,2.1603184,1.9917713403701782,2.084005355834961,0.09223401546478271
44,1.6107064,1.1310234,"('active', 'inactive')",2.2748482,2.09327,1.942777395248413,1.6121467351913452,-0.33063066005706787
35,-1.4837134,-1.2862742,"('creative', 'uncreative')",-1.0282122,-1.2028902,-1.25596284866333,-1.244582176208496,0.011380672454833984
33,-1.3877977,-1.1376196,"('educated', 'uneducated')",-0.96916926,-0.6161375,-1.178483486175537,-0.876878559589386,0.3016049265861511
53,-1.318999,-1.1983488,"('influential', 'uninfluential')",-0.82206607,-0.43653774,-1.0705325603485107,-0.8174432516098022,0.2530893087387085
4,-1.3086827,-1.3980966,"('sensitive', 'insensitive')",-1.1200454,-1.1348997,-1.2143640518188477,-1.26649808883667,-0.052134037017822266
14,-1.2548782,-1.2028489,"('honest', 'dishonest')",-0.40334603,-0.2591334,-0.8291121125221252,-0.7309911251068115,0.09812098741531372
31,-1.2069732,-1.2490654,"('intelligent', 'unintelligent')",-1.9147785,-1.6730093,-1.5608758926391602,-1.4610373973846436,0.0998384952545166
17,-1.1807476,-1.1530575,"('tolerant', 'intolerant')",-2.040392,-2.0371692,-1.610569715499878,-1.5951132774353027,0.015456438064575195
19,-1.1699181,-0.8101305,"('kind', 'unkind')",-1.9336268,-1.5504124,-1.5517723560333252,-1.1802713871002197,0.37150096893310547
41,1.1403053,0.9188483,"('confident', 'shy')",1.488347,1.1281899,1.3143261671066284,1.0235190391540527,-0.2908071279525757
27,-1.138165,-1.3256617,"('responsible', 'irresponsible')",-1.000294,-1.017755,-1.0692294836044312,-1.171708345413208,-0.10247886180877686
22,1.1067135,1.1182353,"('amicable', 'hostile')",1.4738715,1.4854938,1.290292501449585,1.3018646240234375,0.011572122573852539
40,-1.0624976,-0.92260003,"('logical', 'illogical')",-0.8256023,-0.59239656,-0.9440499544143677,-0.7574982643127441,0.18655169010162354
15,-1.0609992,-0.8394274,"('loyal', 'disloyal')",-1.4029019,-1.1322954,-1.2319505214691162,-0.9858614206314087,0.24608910083770752
6,1.042785,0.90494394,"('supportive', 'unsupportive')",0.33358848,0.26202676,0.688186764717102,0.5834853649139404,-0.10470139980316162
37,-0.99254984,-1.0325555,"('practical', 'impractical')",-1.3498787,-1.3545407,-1.17121422290802,-1.1935480833053589,-0.022333860397338867
55,-0.9697149,-0.9151363,"('conventional', 'unconventional')",-0.01503548,0.35588086,-0.4923751950263977,-0.2796277105808258,0.2127474844455719
