,Biogen_male,Biogen_female,tuple,average_male,average_female,female-male
75,3.5108218,3.4876974,"('confident', 'shy')",3.51082181930542,3.4876973628997803,-0.02312445640563965
6,2.9479518,2.9222188,"('liked', 'disliked')",2.9479517936706543,2.9222187995910645,-0.025732994079589844
53,-2.5183976,-2.5692866,"('smart', 'stupid')",-2.518397569656372,-2.569286584854126,-0.050889015197753906
66,2.4493299,2.4970245,"('imaginative', 'unimaginative')",2.4493298530578613,2.4970245361328125,0.04769468307495117
40,-2.3460643,-2.4997933,"('honorable', 'mean')",-2.346064329147339,-2.499793291091919,-0.15372896194458008
107,2.0033104,1.9579942,"('conventional', 'modern')",2.003310441970825,1.9579942226409912,-0.045316219329833984
95,-1.9298251,-1.9773684,"('rich', 'poor')",-1.9298250675201416,-1.9773683547973633,-0.04754328727722168
27,-1.8000867,-1.7766783,"('sincere', 'insincere')",-1.8000867366790771,-1.7766783237457275,0.02340841293334961
99,-1.6990395,-1.5644631,"('prestigious', 'insignificant')",-1.6990394592285156,-1.5644631385803223,0.13457632064819336
103,1.4895885,1.5650513,"('traditional', 'modern')",1.4895884990692139,1.5650513172149658,0.07546281814575195
5,1.4454608,1.4056764,"('pleasant', 'repellent')",1.4454607963562012,1.4056763648986816,-0.03978443145751953
3,1.4147744,1.3979381,"('likable', 'unlikable')",1.4147744178771973,1.3979381322860718,-0.01683628559112549
38,-1.2990457,-1.1688751,"('kind', 'unkind')",-1.2990456819534302,-1.1688750982284546,0.13017058372497559
104,-1.2782717,-1.0852228,"('conventional', 'unconventional')",-1.2782716751098633,-1.085222840309143,0.19304883480072021
15,1.1822792,1.1985011,"('polite', 'impolite')",1.1822792291641235,1.1985011100769043,0.01622188091278076
84,-1.0719645,-1.1958951,"('self-confident', 'diffident')",-1.0719645023345947,-1.1958950757980347,-0.12393057346343994
52,1.0628991,1.0364813,"('competitive', 'uncompetitive')",1.062899112701416,1.036481261253357,-0.026417851448059082
48,1.0596843,1.0800247,"('reliable', 'unreliable')",1.0596842765808105,1.0800247192382812,0.020340442657470703
31,-1.0577095,-0.9658137,"('altruistic', 'egoistic')",-1.0577094554901123,-0.9658136963844299,0.09189575910568237
34,-1.0422026,-0.9101982,"('loyal', 'disloyal')",-1.0422025918960571,-0.9101982116699219,0.13200438022613525
32,-1.0290142,-0.8509003,"('benevolent', 'hardhearted')",-1.029014229774475,-0.8509002923965454,0.1781139373779297
16,1.0060749,1.018697,"('social', 'antisocial')",1.0060749053955078,1.0186970233917236,0.01262211799621582
51,0.9544478,0.9050627,"('competent', 'incompetent')",0.9544478058815002,0.9050626754760742,-0.049385130405426025
54,-0.9459547,-1.0904819,"('smart', 'stupid')",-0.9459546804428101,-1.0904818773269653,-0.14452719688415527
98,-0.93367517,-0.88321835,"('prestigious', 'insignificant')",-0.9336751699447632,-0.8832183480262756,0.05045682191848755
94,0.9282142,0.864033,"('aggressive', 'submissive')",0.9282141923904419,0.8640329837799072,-0.06418120861053467
14,0.9166931,0.7948724,"('supportive', 'unsupportive')",0.9166930913925171,0.7948724031448364,-0.12182068824768066
