,Value 1,0,1,Value 2,female-male,tuple
75,3.3384385,confident,shy,3.2834463,-0.0549922,"('confident', 'shy')"
27,-3.3080506,sincere,insincere,-3.2379575,0.070093155,"('sincere', 'insincere')"
6,2.630427,liked,disliked,2.6467218,0.016294956,"('liked', 'disliked')"
95,-2.5820615,rich,poor,-2.539301,0.04276061,"('rich', 'poor')"
53,-2.5022633,smart,stupid,-2.5553918,-0.05312848,"('smart', 'stupid')"
40,-2.322289,honorable,mean,-2.468967,-0.14667797,"('honorable', 'mean')"
48,1.9627131,reliable,unreliable,1.7845898,-0.17812335,"('reliable', 'unreliable')"
13,-1.7502781,helpful,unhelpful,-1.7341678,0.016110301,"('helpful', 'unhelpful')"
22,1.6186125,welcoming,disagreeable,1.5640049,-0.05460763,"('welcoming', 'disagreeable')"
78,1.5481291,active,inactive,1.4035139,-0.14461517,"('active', 'inactive')"
37,1.4954455,good,evil,1.4287467,-0.06669879,"('good', 'evil')"
65,-1.442252,practical,impractical,-1.4711888,-0.028936744,"('practical', 'impractical')"
46,1.382519,generous,stingy,1.3951474,0.012628436,"('generous', 'stingy')"
50,1.3681728,unprejudiced,prejudiced,1.2514625,-0.116710305,"('unprejudiced', 'prejudiced')"
3,1.3593495,likable,unlikable,1.356626,-0.0027234554,"('likable', 'unlikable')"
32,-1.2815188,benevolent,hardhearted,-1.148868,0.13265085,"('benevolent', 'hardhearted')"
38,-1.2604374,kind,unkind,-1.0801102,0.18032718,"('kind', 'unkind')"
29,-1.208958,honest,immoral,-1.2124906,-0.0035325289,"('honest', 'immoral')"
56,1.1633086,intelligent,dumb,1.0655386,-0.097769976,"('intelligent', 'dumb')"
103,1.0879092,traditional,modern,1.158015,0.07010579,"('traditional', 'modern')"
100,-1.0680413,influential,uninfluential,-0.8896607,0.17838061,"('influential', 'uninfluential')"
90,1.0598333,motivated,unmotivated,1.0466506,-0.01318264,"('motivated', 'unmotivated')"
