,APA_male,APA_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
75,1.5311451,1.3800931,"('confident', 'shy')",5.5090284,5.785636,3.5200868,3.5828645,0.0627777
53,-1.4383945,-1.3304033,"('smart', 'stupid')",-4.1904073,-4.529256,-2.8144009,-2.9298296,-0.1154287
27,-1.4084153,-1.18009,"('sincere', 'insincere')",-5.9254746,-6.0872383,-3.666945,-3.6336641,0.0332809
95,-1.3100145,-1.0371417,"('rich', 'poor')",-5.3035636,-5.4428234,-3.3067889,-3.2399826,0.0668063
40,-1.1687723,-1.3179369,"('honorable', 'mean')",-5.202524,-5.638261,-3.1856482,-3.4780989,-0.2924507
78,1.1248319,0.727974,"('active', 'inactive')",2.0573277,1.9229861,1.5910798,1.3254801,-0.2655997
3,1.0603316,0.88330966,"('likable', 'unlikable')",1.2001915,1.255702,1.1302615,1.0695058,-0.0607557
45,-1.0104429,-1.0663561,"('cooperative', 'exploitative')",-0.7605086,-0.95082784,-0.8854758,-1.0085919,-0.1231161
87,-0.94951236,-0.9533711,"('dedicated', 'undedicated')",-0.9341625,-0.80697924,-0.9418374,-0.8801752,0.0616622
65,-0.9320234,-0.9440669,"('practical', 'impractical')",-1.4706507,-1.5633919,-1.2013371,-1.2537293,-0.0523922
58,-0.92477286,-0.7402359,"('able', 'clumsy')",-1.9668676,-1.9417025,-1.4458202,-1.3409692,0.104851
32,-0.9141047,-0.7331011,"('benevolent', 'hardhearted')",-2.5948312,-2.3815007,-1.754468,-1.5573009,0.1971671
72,-0.9065027,-0.56260633,"('logical', 'illogical')",-0.87245774,-0.6190673,-0.8894802,-0.5908368,0.2986434
98,-0.9060736,-1.0784435,"('prestigious', 'insignificant')",-0.4130975,-0.3233846,-0.6595855,-0.7009141,-0.0413286
6,0.900807,0.6781496,"('liked', 'disliked')",4.609497,4.9865475,2.755152,2.8323486,0.0771966
4,-0.89925367,-1.0074977,"('likable', 'unlikable')",-1.1267765,-1.0491971,-1.013015,-1.0283474,-0.0153324
73,-0.8963975,-1.136049,"('brilliant', 'incompetent')",-1.335294,-1.5418103,-1.1158457,-1.3389297,-0.223084
21,0.8631181,0.591942,"('nice', 'nasty')",0.083910525,0.049200058,0.4735143,0.320571,-0.1529433
103,0.80106765,0.66939527,"('traditional', 'modern')",1.3085226,1.3149366,1.0547951,0.9921659,-0.0626292
91,0.7912394,0.5596685,"('resilient', 'nonresilient')",-0.13546547,-0.13475233,0.3278869,0.2124581,-0.1154288
66,0.7905421,0.70045304,"('imaginative', 'unimaginative')",1.4616767,1.5624113,1.1261094,1.1314322,0.0053228
70,0.7741687,0.7450931,"('wise', 'unwise')",-0.013055325,0.07970542,0.3805567,0.4123993,0.0318426
15,0.76333785,0.8727684,"('polite', 'impolite')",0.60729504,0.55079806,0.6853164,0.7117832,0.0264668
24,-0.74400926,-0.71424645,"('thoughtful', 'rough')",-0.6666918,-0.6926383,-0.7053505,-0.7034423,0.0019082
99,-0.7305542,-0.9291097,"('prestigious', 'insignificant')",-0.36734855,-0.14205799,-0.5489514,-0.5355839,0.0133675
77,0.72165275,0.61467457,"('active', 'inactive')",0.2532639,0.4833073,0.4874583,0.548991,0.0615327
12,0.70414484,0.6584694,"('sympathetic', 'unsympathetic')",-0.8327242,-0.94881463,-0.0642897,-0.1451726,-0.0808829
17,-0.66816527,-0.47028702,"('social', 'antisocial')",-1.0290959,-0.7812415,-0.8486305,-0.6257643,0.2228662
26,-0.6658143,-0.6461786,"('trustworthy', 'untrustworthy')",-0.31007636,-0.3223795,-0.4879453,-0.484279,0.0036663
