,Ansys_male,Ansys_female,tuple,average_male,average_female,female-male
50,-2.3207943,-2.418346,"('rich', 'poor')",-2.3207943439483643,-2.4183459281921387,-0.09755158424377441
3,1.4541341,1.3165829,"('liked', 'disliked')",1.4541341066360474,1.3165829181671143,-0.1375511884689331
30,-1.4086478,-1.5237019,"('smart', 'stupid')",-1.4086477756500244,-1.5237019062042236,-0.11505413055419922
44,1.3029686,0.9651272,"('active', 'inactive')",1.3029686212539673,0.9651272296905518,-0.3378413915634155
47,0.92604804,0.8831027,"('ambitious', 'unambitious')",0.9260480403900146,0.8831027150154114,-0.04294532537460327
43,-0.8887218,-0.796074,"('active', 'inactive')",-0.8887218236923218,-0.7960739731788635,0.09264785051345825
6,0.8772717,0.7883645,"('supportive', 'unsupportive')",0.8772717118263245,0.7883645296096802,-0.08890718221664429
49,0.8710864,0.7599134,"('motivated', 'unmotivated')",0.8710864186286926,0.7599133849143982,-0.11117303371429443
26,0.8094972,0.8111987,"('reliable', 'unreliable')",0.8094971776008606,0.8111987113952637,0.0017015337944030762
22,0.777403,0.95404196,"('amicable', 'hostile')",0.7774029970169067,0.9540419578552246,0.17663896083831787
37,-0.7433875,-0.81969815,"('practical', 'impractical')",-0.7433875203132629,-0.8196981549263,-0.07631063461303711
10,0.73608804,0.6321584,"('hospitable', 'inhospitable')",0.7360880374908447,0.6321583986282349,-0.10392963886260986
54,-0.73243296,-0.6598869,"('successful', 'unsuccessful')",-0.7324329614639282,-0.65988689661026,0.07254606485366821
56,-0.7323568,-0.4932729,"('conventional', 'unconventional')",-0.7323567867279053,-0.49327290058135986,0.2390838861465454
48,-0.72169065,-0.6296487,"('dedicated', 'undedicated')",-0.7216906547546387,-0.6296486854553223,0.0920419692993164
36,-0.69500566,-0.53869694,"('capable', 'incapable')",-0.6950056552886963,-0.5386969447135925,0.15630871057510376
19,-0.66238135,-0.35801804,"('kind', 'unkind')",-0.6623813509941101,-0.35801804065704346,0.30436331033706665
4,0.6271875,0.5179486,"('sensitive', 'insensitive')",0.6271874904632568,0.5179486274719238,-0.10923886299133301
24,0.61748487,0.92287177,"('generous', 'stingy')",0.6174848675727844,0.9228717684745789,0.30538690090179443
9,0.5546958,0.4146148,"('nice', 'nasty')",0.5546957850456238,0.41461479663848877,-0.140080988407135
38,0.48946735,0.6295109,"('discriminating', 'undiscriminating')",0.4894673526287079,0.6295108795166016,0.14004352688789368
17,-0.4886445,-0.469379,"('tolerant', 'intolerant')",-0.4886445105075836,-0.4693790078163147,0.01926550269126892
16,0.4844342,0.6755959,"('fair', 'unfair')",0.48443418741226196,0.6755958795547485,0.19116169214248657
40,-0.44883537,-0.34609473,"('logical', 'illogical')",-0.4488353729248047,-0.3460947275161743,0.10274064540863037
32,-0.44631726,-0.60019773,"('able', 'unable')",-0.44631725549697876,-0.6001977324485779,-0.15388047695159912
53,0.42195535,0.52774096,"('influential', 'uninfluential')",0.4219553470611572,0.5277409553527832,0.10578560829162598
23,0.40907687,0.44136673,"('truthful', 'untruthful')",0.40907686948776245,0.4413667321205139,0.032289862632751465
35,0.40141603,0.6122705,"('creative', 'uncreative')",0.40141603350639343,0.6122704744338989,0.2108544409275055
51,0.40061375,0.43618035,"('powerful', 'powerless')",0.4006137549877167,0.43618035316467285,0.03556659817695618
5,-0.39860505,-0.46549863,"('helpful', 'unhelpful')",-0.3986050486564636,-0.4654986262321472,-0.0668935775756836
25,0.39235148,0.4045066,"('forgiving', 'unforgiving')",0.3923514783382416,0.4045065939426422,0.012155115604400635
20,-0.3847996,-0.2204842,"('right', 'wrong')",-0.384799599647522,-0.22048419713974,0.16431540250778198
18,0.373472,0.48592287,"('good', 'evil')",0.3734720051288605,0.4859228730201721,0.11245086789131165
27,0.37228328,0.3526257,"('responsible', 'irresponsible')",0.37228327989578247,0.35262569785118103,-0.01965758204460144
57,-0.35916674,-0.37505335,"('conservative', 'liberal')",-0.3591667413711548,-0.375053346157074,-0.01588660478591919
46,0.328677,0.2328732,"('energetic', 'lethargic')",0.3286769986152649,0.23287320137023926,-0.09580379724502563
7,0.25662684,0.31892425,"('polite', 'impolite')",0.25662684440612793,0.3189242482185364,0.06229740381240845
55,0.22628564,0.59674424,"('conventional', 'unconventional')",0.2262856364250183,0.5967442393302917,0.37045860290527344
42,-0.2236301,0.05421958,"('secure', 'insecure')",-0.22363010048866272,0.05421958118677139,0.2778496816754341
15,0.20604353,0.36942467,"('loyal', 'disloyal')",0.2060435265302658,0.3694246709346771,0.16338114440441132
0,-0.17956127,0.08414109,"('sociable', 'unsociable')",-0.17956127226352692,0.0841410905122757,0.2637023627758026
29,0.17637429,-0.07497926,"('competent', 'incompetent')",0.17637428641319275,-0.0749792605638504,-0.25135354697704315
1,0.15499493,0.42619348,"('friendly', 'unfriendly')",0.154994934797287,0.4261934757232666,0.2711985409259796
13,0.13318942,0.14227092,"('sincere', 'insincere')",0.13318942487239838,0.14227092266082764,0.00908149778842926
31,0.13227776,0.06800267,"('intelligent', 'unintelligent')",0.13227775692939758,0.06800267100334167,-0.06427508592605591
11,-0.11759324,-0.01592952,"('moral', 'immoral')",-0.11759324371814728,-0.01592952013015747,0.10166372358798981
33,-0.107164055,0.02894187,"('educated', 'uneducated')",-0.10716405510902405,0.028941869735717773,0.13610592484474182
21,0.08099257,0.08259546,"('incorrupt', 'corrupt')",0.08099257200956345,0.08259546011686325,0.0016028881072998047
2,-0.07410145,0.117046624,"('likable', 'unlikable')",-0.07410144805908203,0.11704662442207336,0.1911480724811554
28,0.06666958,0.06586009,"('unprejudiced', 'prejudiced')",0.06666958332061768,0.0658600926399231,-0.0008094906806945801
14,0.06477399,0.057061464,"('honest', 'dishonest')",0.06477399170398712,0.057061463594436646,-0.007712528109550476
45,-0.06004843,0.11337973,"('independent', 'dependent')",-0.060048431158065796,0.11337973177433014,0.17342816293239594
