,Cigna_male,Cigna_female,tuple,average_male,average_female,female-male
15,2.2844543,2.0021818,"('polite', 'impolite')",2.2844543,2.0021818,-0.2822725
75,2.22063,1.7033439,"('confident', 'shy')",2.2206299,1.7033439,-0.517286
94,2.1235497,1.8316709,"('aggressive', 'submissive')",2.1235497,1.8316709,-0.2918788
71,1.9380461,1.2928895,"('efficient', 'inefficient')",1.9380461,1.2928895,-0.6451566
31,-1.8052721,-1.5390267,"('altruistic', 'egoistic')",-1.8052721,-1.5390267,0.2662454
99,-1.7638725,-1.6122003,"('prestigious', 'insignificant')",-1.7638725,-1.6122003,0.1516722
19,-1.7164454,-1.6302902,"('funny', 'boring')",-1.7164454,-1.6302902,0.0861552
97,-1.7053312,-1.0344388,"('superior', 'inferior')",-1.7053312,-1.0344388,0.6708924
42,-1.5918804,-1.1603172,"('amicable', 'hostile')",-1.5918804,-1.1603172,0.4315632
32,-1.5483751,-1.433167,"('benevolent', 'hardhearted')",-1.5483751,-1.433167,0.1152081
60,1.5458688,1.8032882,"('educated', 'uneducated')",1.5458688,1.8032882,0.2574194
109,1.5220852,1.2564392,"('conservative', 'liberal')",1.5220852,1.2564392,-0.265646
108,1.5220852,1.2564392,"('conservative', 'liberal')",1.5220852,1.2564392,-0.265646
16,1.479286,1.0764704,"('social', 'antisocial')",1.479286,1.0764704,-0.4028156
41,-1.469419,-1.0552598,"('incorrupt', 'corrupt')",-1.469419,-1.0552598,0.4141592
103,1.3770177,1.3066134,"('traditional', 'modern')",1.3770177,1.3066134,-0.0704043
2,1.3479488,1.2657373,"('friendly', 'unfriendly')",1.3479488,1.2657373,-0.0822115
69,-1.3430778,-1.0481676,"('wise', 'foolish')",-1.3430778,-1.0481676,0.2949102
10,-1.270937,-0.67910814,"('affectionate', 'unaffectionate')",-1.270937,-0.6791081,0.5918289
88,-1.2087994,-1.2829474,"('impulsive', 'meek')",-1.2087994,-1.2829474,-0.074148
98,-1.199324,-1.0927238,"('prestigious', 'insignificant')",-1.199324,-1.0927238,0.1066002
67,-1.1753736,-1.1721907,"('discriminating', 'undiscriminating')",-1.1753736,-1.1721907,0.0031829
61,-1.1718924,-0.80323803,"('rational', 'irrational')",-1.1718924,-0.803238,0.3686544
90,1.1670077,0.72941494,"('motivated', 'unmotivated')",1.1670077,0.7294149,-0.4375928
107,1.1439557,1.1699326,"('conventional', 'modern')",1.1439557,1.1699326,0.0259769
5,1.1382087,0.607756,"('pleasant', 'repellent')",1.1382087,0.607756,-0.5304527
76,1.1026983,0.9290733,"('secure', 'insecure')",1.1026983,0.9290733,-0.173625
59,-1.0857666,-0.6151156,"('skillful', 'clumsy')",-1.0857666,-0.6151156,0.470651
3,1.077636,0.9281823,"('likable', 'unlikable')",1.077636,0.9281823,-0.1494537
4,-1.0669391,-1.4492054,"('likable', 'unlikable')",-1.0669391,-1.4492054,-0.3822663
33,-1.0461365,-0.39753956,"('softhearted', 'hardhearted')",-1.0461365,-0.3975396,0.6485969
17,1.0117574,1.1778821,"('social', 'antisocial')",1.0117574,1.1778821,0.1661247
12,0.99837375,1.4219896,"('sympathetic', 'unsympathetic')",0.9983737,1.4219896,0.4236159
93,0.98708475,0.85543156,"('dominating', 'dominated')",0.9870847,0.8554316,-0.1316531
