,Corteva_male,Corteva_female,tuple,average_male,average_female,female-male
75,1.4602864,1.0811038,"('confident', 'shy')",1.4602864,1.0811038,-0.3791826
6,1.2807031,1.2863431,"('liked', 'disliked')",1.2807031,1.2863431,0.00564
0,1.2657564,1.1868606,"('sociable', 'unsociable')",1.2657564,1.1868606,-0.0788958
100,1.2379792,1.3876443,"('influential', 'uninfluential')",1.2379792,1.3876443,0.1496651
15,1.2248112,1.0530796,"('polite', 'impolite')",1.2248112,1.0530796,-0.1717316
97,-1.2236387,-0.93928635,"('superior', 'inferior')",-1.2236387,-0.9392864,0.2843523
31,-1.1981206,-0.8673996,"('altruistic', 'egoistic')",-1.1981206,-0.8673996,0.330721
53,-1.1228971,-1.1794562,"('smart', 'stupid')",-1.1228971,-1.1794562,-0.0565591
77,1.0968741,1.1494573,"('active', 'inactive')",1.0968741,1.1494573,0.0525832
4,-0.9930563,-1.1323912,"('likable', 'unlikable')",-0.9930563,-1.1323912,-0.1393349
60,0.9783622,0.97073793,"('educated', 'uneducated')",0.9783622,0.9707379,-0.0076243
33,-0.95843196,-0.53425413,"('softhearted', 'hardhearted')",-0.958432,-0.5342541,0.4241779
70,0.9074632,1.0252706,"('wise', 'unwise')",0.9074632,1.0252706,0.1178074
21,0.90257823,0.7737399,"('nice', 'nasty')",0.9025782,0.7737399,-0.1288383
94,0.89488435,0.65426624,"('aggressive', 'submissive')",0.8948843,0.6542662,-0.2406181
103,0.8919641,0.83471686,"('traditional', 'modern')",0.8919641,0.8347169,-0.0572472
66,0.84357506,0.97652745,"('imaginative', 'unimaginative')",0.8435751,0.9765275,0.1329524
12,0.80032194,0.91109294,"('sympathetic', 'unsympathetic')",0.8003219,0.9110929,0.110771
9,0.78223896,0.74704474,"('sensitive', 'insensitive')",0.782239,0.7470447,-0.0351943
72,0.77864325,0.8611222,"('logical', 'illogical')",0.7786433,0.8611222,0.0824789
95,-0.75676364,-0.74127203,"('rich', 'poor')",-0.7567636,-0.741272,0.0154916
80,0.75482696,0.78247225,"('independent', 'dependent')",0.754827,0.7824723,0.0276453
93,0.68307626,0.68420136,"('dominating', 'dominated')",0.6830763,0.6842014,0.0011251
23,0.6820698,0.84068733,"('hospitable', 'inhospitable')",0.6820698,0.8406873,0.1586175
110,-0.68033284,-0.7129279,"('narrow-minded', 'open-minded')",-0.6803328,-0.7129279,-0.0325951
41,-0.66128564,-0.27384317,"('incorrupt', 'corrupt')",-0.6612856,-0.2738432,0.3874424
62,0.6606531,0.78912324,"('creative', 'uncreative')",0.6606531,0.7891232,0.1284701
71,0.6575083,0.25009358,"('efficient', 'inefficient')",0.6575083,0.2500936,-0.4074147
