,News_male,News_female,tuple,Corp_male,Corp_female,(Class_male,(Class_female,B)_male,B)_female,average_male,average_female,female-male
27,-6.092189,-5.8565545,"('sincere', 'insincere')",-6.6364894,-6.431673,-2.3261127,-2.2311258,-1.5744497,-1.495018,-4.1573100090026855,-4.003592491149902,0.1537175178527832
95,-5.428466,-5.282491,"('rich', 'poor')",-6.034153,-6.116641,-1.9256412,-1.8737059,-1.1084664,-1.3628082,-3.6241815090179443,-3.6589114665985107,-0.034729957580566406
6,5.2984986,4.896021,"('liked', 'disliked')",6.684802,6.6123395,1.986002,1.4408388,0.26023388,0.12638211,3.5573842525482178,3.268895149230957,-0.28848910331726074
53,-5.23497,-5.2611313,"('smart', 'stupid')",-4.4504747,-4.3025694,-1.2969869,-1.173193,-0.41130254,-0.39387602,-2.848433494567871,-2.7826924324035645,0.06574106216430664
75,4.9868937,4.690309,"('confident', 'shy')",6.66473,6.5372887,1.1235698,1.1837747,0.3838398,0.37194318,3.2897582054138184,3.195829153060913,-0.09392905235290527
40,-4.1002474,-4.128041,"('honorable', 'mean')",-5.858739,-5.9650583,-1.2593784,-1.2441722,-0.9099072,-0.8793572,-3.0320680141448975,-3.054157257080078,-0.022089242935180664
13,-3.186182,-3.1320636,"('helpful', 'unhelpful')",-3.0271235,-3.0961032,-1.6620353,-1.857829,-0.05411464,-0.30641517,-1.9823639392852783,-2.0981028079986572,-0.1157388687133789
86,3.0398703,2.9062722,"('self-reliant', 'helpless')",2.751844,2.6451762,0.6237482,0.3904541,-0.19669172,-0.21407577,1.5546927452087402,1.4319567680358887,-0.12273597717285156
65,-2.6869533,-2.6421509,"('practical', 'impractical')",-0.9191679,-0.87139773,-2.8511543,-2.886764,-1.2517033,-1.3530741,-1.9272446632385254,-1.9383466243743896,-0.011101961135864258
38,-2.6288795,-2.5040205,"('kind', 'unkind')",-2.3757577,-1.9031388,-0.58594346,-0.5493396,-1.3309007,-1.3585845,-1.7303704023361206,-1.5787708759307861,0.15159952640533447
46,2.4103243,2.4821186,"('generous', 'stingy')",2.3762202,2.3003333,-0.0026028156,0.24010795,-0.43167096,-0.20937575,1.0880677700042725,1.2032959461212158,0.11522817611694336
37,2.2877157,2.156442,"('good', 'evil')",1.9438914,2.0353565,2.9510007,2.7527752,2.0884364,2.1368546,2.317760944366455,2.270357131958008,-0.047403812408447266
29,-2.1980052,-2.171404,"('honest', 'immoral')",-1.8260021,-1.7521313,-2.4289894,-2.53299,-1.0395784,-1.0074784,-1.8731437921524048,-1.8660008907318115,0.007142901420593262
50,2.180664,2.1472716,"('unprejudiced', 'prejudiced')",2.2759738,2.2260273,1.3740244,1.0844305,0.5133281,0.3547395,1.5859975814819336,1.4531172513961792,-0.1328803300857544
11,-2.1506534,-2.289777,"('caring', 'unaffectionate')",-1.484493,-1.4917997,0.25503892,0.09735972,-0.34815884,-0.37260386,-0.9320665597915649,-1.0142052173614502,-0.08213865756988525
28,-2.1116354,-2.0006719,"('honest', 'dishonest')",-2.0855794,-2.0146995,-0.9371681,-0.8943078,-1.2547336,-1.0966631,-1.5972791910171509,-1.5015854835510254,0.09569370746612549
34,-2.0209155,-1.8942574,"('loyal', 'disloyal')",-2.017921,-1.7827404,-1.3293569,-1.1689935,-1.280754,-1.1507249,-1.6622369289398193,-1.4991790056228638,0.16305792331695557
49,-2.015012,-2.1116307,"('responsible', 'irresponsible')",-1.4365293,-1.2053922,-2.6832175,-2.8440948,-0.40377024,-0.57691145,-1.6346323490142822,-1.6845072507858276,-0.04987490177154541
73,-2.0046651,-1.9981269,"('brilliant', 'incompetent')",-1.5508811,-1.81595,-2.9199922,-2.9749343,-2.4349651,-2.9119065,-2.227625846862793,-2.42522931098938,-0.19760346412658691
81,1.9821756,1.6915292,"('industrious', 'lazy')",2.0935724,2.177915,2.2683835,1.9041069,0.84598744,0.8023137,1.797529697418213,1.6439661979675293,-0.1535634994506836
41,1.8730401,1.8778423,"('incorrupt', 'corrupt')",1.3548378,1.374502,3.4383862,3.2914548,1.2058845,1.3858941,1.9680371284484863,1.9824233055114746,0.014386177062988281
74,-1.8570626,-1.9238904,"('insightful', 'unperceptive')",-1.2442702,-1.3193259,-1.7429575,-1.7223983,-0.755839,-0.8683492,-1.4000322818756104,-1.4584908485412598,-0.058458566665649414
100,-1.8174992,-1.6536405,"('influential', 'uninfluential')",-0.63892,-0.5221347,-2.1869614,-2.2137291,-0.17934334,-0.31603587,-1.2056809663772583,-1.1763850450515747,0.029295921325683594
66,1.8070959,1.6209879,"('imaginative', 'unimaginative')",3.0494213,3.0358052,-0.45975375,-0.7673725,1.5486135,1.3042384,1.486344337463379,1.298414707183838,-0.18792963027954102
25,-1.6839945,-1.6076077,"('moral', 'immoral')",-1.5206175,-1.3253146,-3.0985606,-2.9323077,-0.90476775,-1.1259518,-1.8019850254058838,-1.7477954626083374,0.05418956279754639
88,1.665127,1.4025326,"('impulsive', 'meek')",1.447821,1.2792021,1.6895697,1.2680635,0.88634306,0.7103858,1.422215223312378,1.165045976638794,-0.257169246673584
103,1.6358773,1.7765207,"('traditional', 'modern')",0.6515223,0.51988685,-0.06569874,0.012470841,-0.7519922,-0.71885055,0.36742711067199707,0.3975069522857666,0.03007984161376953
18,-1.6204827,-1.4920115,"('social', 'asocial')",-0.15735155,-0.051664025,-1.5364506,-1.6570859,-1.1606144,-1.1850286,-1.1187248229980469,-1.096447467803955,0.022277355194091797
44,-1.6156839,-1.6846135,"('truthful', 'untruthful')",-0.6980455,-0.76625013,0.24718451,-0.19281152,-0.93965876,-1.0108562,-0.7515509128570557,-0.9136328101158142,-0.16208189725875854
42,1.5403959,1.430803,"('amicable', 'hostile')",1.0745797,1.3420484,3.0876036,2.857464,0.38328493,0.6508178,1.5214660167694092,1.5702834129333496,0.04881739616394043
