,Ecolab_male,Ecolab_female,tuple,average_male,average_female,female-male
75,2.7707634,2.7081108,"('confident', 'shy')",2.7707634,2.7081108,-0.0626526
27,-2.7664266,-2.7756865,"('sincere', 'insincere')",-2.7664266,-2.7756865,-0.0092599
6,2.7462406,2.5214636,"('liked', 'disliked')",2.7462406,2.5214636,-0.224777
40,-2.616219,-2.8273427,"('honorable', 'mean')",-2.616219,-2.8273427,-0.2111237
53,-2.4891253,-2.5002112,"('smart', 'stupid')",-2.4891253,-2.5002112,-0.0110859
107,1.6977013,1.6799037,"('conventional', 'modern')",1.6977013,1.6799037,-0.0177976
13,-1.4565661,-1.678832,"('helpful', 'unhelpful')",-1.4565661,-1.6788321,-0.222266
11,-1.2585917,-1.3079293,"('caring', 'unaffectionate')",-1.2585917,-1.3079293,-0.0493376
48,1.2459574,1.0049298,"('reliable', 'unreliable')",1.2459574,1.0049298,-0.2410276
95,-1.2081565,-1.1064572,"('rich', 'poor')",-1.2081565,-1.1064572,0.1016993
84,-1.182377,-1.3711613,"('self-confident', 'diffident')",-1.182377,-1.3711613,-0.1887843
66,1.1649517,0.9068578,"('imaginative', 'unimaginative')",1.1649517,0.9068578,-0.2580939
103,1.1540234,1.3220792,"('traditional', 'modern')",1.1540234,1.3220792,0.1680558
23,1.151267,0.96368325,"('hospitable', 'inhospitable')",1.1512671,0.9636832,-0.1875839
1,-1.140218,-1.1288435,"('friendly', 'unfriendly')",-1.140218,-1.1288435,0.0113745
74,-1.0926622,-1.353414,"('insightful', 'unperceptive')",-1.0926622,-1.3534141,-0.2607519
33,-1.0083197,-0.9756204,"('softhearted', 'hardhearted')",-1.0083197,-0.9756204,0.0326993
31,-0.9669379,-0.8877455,"('altruistic', 'egoistic')",-0.9669379,-0.8877455,0.0791924
38,-0.96437144,-0.90674716,"('kind', 'unkind')",-0.9643714,-0.9067472,0.0576242
45,-0.9382652,-0.97018015,"('cooperative', 'exploitative')",-0.9382652,-0.9701802,-0.031915
37,0.92350566,0.78178555,"('good', 'evil')",0.9235057,0.7817855,-0.1417202
32,-0.9093398,-0.8453764,"('benevolent', 'hardhearted')",-0.9093398,-0.8453764,0.0639634
49,-0.88236976,-1.077163,"('responsible', 'irresponsible')",-0.8823698,-1.077163,-0.1947932
3,0.84554434,0.55520666,"('likable', 'unlikable')",0.8455443,0.5552067,-0.2903376
46,0.82932377,0.88169086,"('generous', 'stingy')",0.8293238,0.8816909,0.0523671
5,0.8284959,0.78270566,"('pleasant', 'repellent')",0.8284959,0.7827057,-0.0457902
55,-0.808647,-0.72805786,"('intelligent', 'unintelligent')",-0.808647,-0.7280579,0.0805891
73,-0.7907938,-0.9461893,"('brilliant', 'incompetent')",-0.7907938,-0.9461893,-0.1553955
101,-0.76123065,-0.7450057,"('successful', 'unsuccessful')",-0.7612306,-0.7450057,0.0162249
72,-0.7507348,-0.50355625,"('logical', 'illogical')",-0.7507348,-0.5035563,0.2471785
58,-0.7478878,-0.6533729,"('able', 'clumsy')",-0.7478878,-0.6533729,0.0945149
54,-0.7475404,-0.8455288,"('smart', 'stupid')",-0.7475404,-0.8455288,-0.0979884
65,-0.7468242,-0.9865861,"('practical', 'impractical')",-0.7468242,-0.9865861,-0.2397619
34,-0.7354678,-0.6821875,"('loyal', 'disloyal')",-0.7354678,-0.6821875,0.0532803
51,0.72408223,0.606643,"('competent', 'incompetent')",0.7240822,0.606643,-0.1174392
52,0.7114282,0.68785614,"('competitive', 'uncompetitive')",0.7114282,0.6878561,-0.0235721
80,0.7110292,0.7791282,"('independent', 'dependent')",0.7110292,0.7791282,0.068099
110,0.702006,0.8593397,"('narrow-minded', 'open-minded')",0.702006,0.8593397,0.1573337
60,0.6946429,0.7963909,"('educated', 'uneducated')",0.6946429,0.7963909,0.101748
19,-0.69260734,-0.7723751,"('funny', 'boring')",-0.6926073,-0.7723751,-0.0797678
86,0.68568027,0.6670768,"('self-reliant', 'helpless')",0.6856803,0.6670768,-0.0186035
22,0.6806991,0.71187735,"('welcoming', 'disagreeable')",0.6806991,0.7118773,0.0311782
42,0.6637372,0.78147906,"('amicable', 'hostile')",0.6637372,0.7814791,0.1177419
9,-0.65546256,-0.80947757,"('sensitive', 'insensitive')",-0.6554626,-0.8094776,-0.154015
24,-0.64610463,-0.4940279,"('thoughtful', 'rough')",-0.6461046,-0.4940279,0.1520767
82,-0.6391374,-0.63311064,"('industrious', 'meek')",-0.6391374,-0.6331106,0.0060268
70,0.6017995,0.49847442,"('wise', 'unwise')",0.6017995,0.4984744,-0.1033251
44,-0.59147066,-0.7630844,"('truthful', 'untruthful')",-0.5914707,-0.7630844,-0.1716137
71,-0.54716134,-0.6084206,"('efficient', 'inefficient')",-0.5471613,-0.6084206,-0.0612593
28,-0.54344374,-0.53558725,"('honest', 'dishonest')",-0.5434437,-0.5355873,0.0078564
69,-0.52723885,-0.5219988,"('wise', 'foolish')",-0.5272388,-0.5219988,0.00524
97,-0.52596104,-0.46010375,"('superior', 'inferior')",-0.525961,-0.4601038,0.0658572
99,-0.5241361,-0.40150803,"('prestigious', 'insignificant')",-0.5241361,-0.401508,0.1226281
41,0.5083064,0.6215102,"('incorrupt', 'corrupt')",0.5083064,0.6215102,0.1132038
94,0.5049962,0.37984467,"('aggressive', 'submissive')",0.5049962,0.3798447,-0.1251515
63,-0.49951565,-0.5554285,"('capable', 'incapable')",-0.4995157,-0.5554285,-0.0559128
90,0.49698013,0.38817483,"('motivated', 'unmotivated')",0.4969801,0.3881748,-0.1088053
36,-0.48696133,-0.4415517,"('tolerant', 'intolerant')",-0.4869613,-0.4415517,0.0454096
62,-0.4858583,-0.46695232,"('creative', 'uncreative')",-0.4858583,-0.4669523,0.018906
25,-0.48574066,-0.5365838,"('moral', 'immoral')",-0.4857407,-0.5365838,-0.0508431
50,0.46793464,0.39254153,"('unprejudiced', 'prejudiced')",0.4679346,0.3925415,-0.0753931
91,-0.44398627,-0.55639756,"('resilient', 'nonresilient')",-0.4439863,-0.5563976,-0.1124113
104,-0.43144208,-0.3015191,"('conventional', 'unconventional')",-0.4314421,-0.3015191,0.129923
85,-0.4269234,-0.4635542,"('ambitious', 'unambitious')",-0.4269234,-0.4635542,-0.0366308
76,0.4086826,0.50706244,"('secure', 'insecure')",0.4086826,0.5070624,0.0983798
89,-0.39719003,-0.44439986,"('daring', 'anxious')",-0.39719,-0.4443999,-0.0472099
4,-0.39140773,-0.45402852,"('likable', 'unlikable')",-0.3914077,-0.4540285,-0.0626208
88,0.37657863,0.26584715,"('impulsive', 'meek')",0.3765786,0.2658471,-0.1107315
29,-0.37045693,-0.38120776,"('honest', 'immoral')",-0.3704569,-0.3812078,-0.0107509
35,0.36737615,0.44627488,"('fair', 'unfair')",0.3673761,0.4462749,0.0788988
21,0.35274795,0.21399558,"('nice', 'nasty')",0.3527479,0.2139956,-0.1387523
59,-0.3427357,-0.23344813,"('skillful', 'clumsy')",-0.3427357,-0.2334481,0.1092876
10,-0.31829923,-0.22161928,"('affectionate', 'unaffectionate')",-0.3182992,-0.2216193,0.0966799
12,0.30368412,0.15715696,"('sympathetic', 'unsympathetic')",0.3036841,0.157157,-0.1465271
17,-0.27714658,-0.080249906,"('social', 'antisocial')",-0.2771466,-0.0802499,0.1968967
106,0.27586934,0.4145278,"('conventional', 'unconventional')",0.2758693,0.4145278,0.1386585
93,-0.27430683,-0.2895391,"('dominating', 'dominated')",-0.2743068,-0.2895391,-0.0152323
16,0.24867517,0.3041986,"('social', 'antisocial')",0.2486752,0.3041986,0.0555234
78,0.24865222,0.00503549,"('active', 'inactive')",0.2486522,0.0050355,-0.2436167
47,0.24713881,0.17890649,"('forgiving', 'unforgiving')",0.2471388,0.1789065,-0.0682323
105,-0.2429227,-0.11133573,"('conventional', 'modern')",-0.2429227,-0.1113357,0.131587
87,0.23863202,0.14629452,"('dedicated', 'undedicated')",0.238632,0.1462945,-0.0923375
98,-0.22801466,-0.1603855,"('prestigious', 'insignificant')",-0.2280147,-0.1603855,0.0676292
102,-0.22258198,-0.17402254,"('eminent', 'low')",-0.222582,-0.1740225,0.0485595
56,0.21092129,0.019303389,"('intelligent', 'dumb')",0.2109213,0.0193034,-0.1916179
