,LKQ_male,LKQ_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
6,1.8127757,1.5069692,"('liked', 'disliked')",4.609497,4.9865475,3.2111363,3.2467585,0.0356222
95,-1.6816373,-1.6267209,"('rich', 'poor')",-5.3035636,-5.4428234,-3.4926004,-3.5347722,-0.0421718
75,1.5975412,1.4165077,"('confident', 'shy')",5.5090284,5.785636,3.5532849,3.6010718,0.0477869
53,-1.5841627,-1.4842885,"('smart', 'stupid')",-4.1904073,-4.529256,-2.887285,-3.006772,-0.119487
70,1.5810082,1.6151193,"('wise', 'unwise')",-0.013055325,0.07970542,0.7839764,0.8474123,0.0634359
27,-1.1539977,-0.84473675,"('sincere', 'insincere')",-5.9254746,-6.0872383,-3.5397363,-3.4659874,0.0737489
90,1.1044132,0.98621446,"('motivated', 'unmotivated')",1.4671855,1.2563818,1.2857993,1.1212981,-0.1645012
64,-1.0919739,-0.99845135,"('clever', 'incompetent')",-1.1084907,-1.2355897,-1.1002324,-1.1170206,-0.0167882
4,-1.0760231,-1.0897663,"('likable', 'unlikable')",-1.1267765,-1.0491971,-1.1013998,-1.0694816,0.0319182
68,-0.98188287,-1.1724026,"('clever', 'inept')",-1.4786408,-1.5712712,-1.2302618,-1.3718369,-0.1415751
55,0.9140683,1.0095837,"('intelligent', 'unintelligent')",-0.8582853,-0.7608187,0.0278915,0.1243825,0.096491
66,0.8966063,0.8193779,"('imaginative', 'unimaginative')",1.4616767,1.5624113,1.1791415,1.1908946,0.0117531
110,-0.8754561,-0.9358749,"('narrow-minded', 'open-minded')",0.20299102,0.08157921,-0.3362325,-0.4271478,-0.0909153
78,0.8647214,0.68471086,"('active', 'inactive')",2.0573277,1.9229861,1.4610245,1.3038485,-0.157176
40,-0.8627439,-0.8959015,"('honorable', 'mean')",-5.202524,-5.638261,-3.032634,-3.2670813,-0.2344473
87,-0.85491437,-0.77488303,"('dedicated', 'undedicated')",-0.9341625,-0.80697924,-0.8945384,-0.7909311,0.1036073
73,-0.7548609,-0.87565374,"('brilliant', 'incompetent')",-1.335294,-1.5418103,-1.0450774,-1.208732,-0.1636546
60,0.73317826,0.98579955,"('educated', 'uneducated')",-0.63648766,-0.49107665,0.0483453,0.2473615,0.1990162
69,-0.7286668,-0.7328732,"('wise', 'foolish')",0.46945584,0.6314868,-0.1296055,-0.0506932,0.0789123
