,AvalonBay_male,AvalonBay_female,tuple,Communities_male,Communities_female,average_male,average_female,female-male
27,-2.492435,-2.4813814,"('sincere', 'insincere')",-4.6536517,-4.500643,-3.5730433,-3.4910121,0.0820312
6,2.4769037,2.4402323,"('liked', 'disliked')",2.9600658,2.7527523,2.7184849,2.5964923,-0.1219926
75,2.1390982,2.1500282,"('confident', 'shy')",3.04852,2.8577662,2.5938091,2.5038972,-0.0899119
53,-1.8458672,-1.8753887,"('smart', 'stupid')",-2.740283,-2.5687592,-2.2930751,-2.222074,0.0710011
95,-1.6648073,-1.6803963,"('rich', 'poor')",-2.3623714,-2.298025,-2.0135894,-1.9892106,0.0243788
78,1.5572722,1.4252241,"('active', 'inactive')",0.3750816,0.26718473,0.9661769,0.8462044,-0.1199725
80,1.3449949,1.3176711,"('independent', 'dependent')",0.63856214,0.4865918,0.9917785,0.9021314,-0.0896471
48,1.3392448,1.2091379,"('reliable', 'unreliable')",0.50748765,0.2500204,0.9233662,0.7295792,-0.193787
23,1.3371063,1.2510787,"('hospitable', 'inhospitable')",0.42816693,0.4327793,0.8826367,0.841929,-0.0407077
40,-1.3200576,-1.4623988,"('honorable', 'mean')",-2.9635315,-2.9878287,-2.1417947,-2.2251139,-0.0833192
32,-1.2821887,-1.2159616,"('benevolent', 'hardhearted')",-1.3709121,-1.2664365,-1.3265504,-1.241199,0.0853514
107,1.2633389,1.2540514,"('conventional', 'modern')",0.13909954,-0.057375044,0.7012192,0.5983382,-0.102881
37,1.1631908,1.0446686,"('good', 'evil')",1.307945,1.2445738,1.2355679,1.1446211,-0.0909468
103,1.1451907,1.1349716,"('traditional', 'modern')",1.0683044,0.9802127,1.1067476,1.0575922,-0.0491554
60,1.082118,1.1681383,"('educated', 'uneducated')",0.9503659,0.9745922,1.016242,1.0713652,0.0551232
11,-1.038078,-1.0006008,"('caring', 'unaffectionate')",-2.3623667,-2.181324,-1.7002223,-1.5909624,0.1092599
