,Texas_male,Texas_female,tuple,Instruments_male,Instruments_female,average_male,average_female,female-male
50,-3.4820294,-3.2725086,"('rich', 'poor')",-4.295342,-4.2438297,-3.888685703277588,-3.758169174194336,0.13051652908325195
3,3.3747697,3.124721,"('liked', 'disliked')",3.5856981,3.6637285,3.480233907699585,3.3942246437072754,-0.08600926399230957
30,-2.8000836,-2.4189825,"('smart', 'stupid')",-2.536541,-2.6837158,-2.6683123111724854,-2.55134916305542,0.11696314811706543
28,2.0352097,1.6538882,"('unprejudiced', 'prejudiced')",1.7625031,1.4884827,1.8988564014434814,1.5711854696273804,-0.3276709318161011
15,-1.5566983,-1.3344185,"('loyal', 'disloyal')",-2.0294936,-1.6700648,-1.7930959463119507,-1.502241611480713,0.2908543348312378
1,-1.5056841,-1.4063691,"('friendly', 'unfriendly')",-1.0758499,-0.9558724,-1.290766954421997,-1.181120753288269,0.10964620113372803
19,-1.4299436,-1.1787905,"('kind', 'unkind')",-2.477759,-2.0728736,-1.9538512229919434,-1.6258320808410645,0.3280191421508789
14,-1.1943457,-1.1821538,"('honest', 'dishonest')",-0.40657458,-0.5117324,-0.800460159778595,-0.8469431400299072,-0.046482980251312256
26,1.1605022,0.7010119,"('reliable', 'unreliable')",2.6806393,2.7172422,1.920570731163025,1.7091270685195923,-0.21144366264343262
5,-1.1461343,-0.9290009,"('helpful', 'unhelpful')",-2.8343577,-2.6325092,-1.990246057510376,-1.7807550430297852,0.20949101448059082
9,1.0729504,0.9441509,"('nice', 'nasty')",0.85835373,0.9485425,0.9656520485877991,0.9463467001914978,-0.01930534839630127
33,-1.025884,-0.83652294,"('educated', 'uneducated')",-1.5763764,-1.2696147,-1.3011302947998047,-1.0530688762664795,0.2480614185333252
21,1.0153255,1.0759586,"('incorrupt', 'corrupt')",1.9947419,2.0046155,1.5050337314605713,1.5402870178222656,0.035253286361694336
36,-0.9977419,-1.0934194,"('capable', 'incapable')",0.03892013,0.088156,-0.47941088676452637,-0.5026317238807678,-0.023220837116241455
23,0.9735565,0.9197695,"('truthful', 'untruthful')",0.53680027,0.6223976,0.7551783919334412,0.7710835933685303,0.01590520143508911
57,0.9664755,0.9979155,"('conservative', 'liberal')",0.36048812,0.19365941,0.6634818315505981,0.5957874655723572,-0.06769436597824097
55,-0.9108068,-0.8177007,"('conventional', 'unconventional')",0.37704277,0.74020815,-0.2668820023536682,-0.038746267557144165,0.22813573479652405
31,-0.85251397,-0.8228314,"('intelligent', 'unintelligent')",-1.8221781,-1.4918513,-1.337346076965332,-1.1573413610458374,0.18000471591949463
4,-0.75134706,-0.93154603,"('sensitive', 'insensitive')",-1.4744892,-1.2629586,-1.1129181385040283,-1.097252368927002,0.015665769577026367
48,-0.6738165,-0.6507815,"('dedicated', 'undedicated')",-1.3266795,-1.3253675,-1.0002479553222656,-0.9880744814872742,0.012173473834991455
41,0.6633571,0.42838687,"('confident', 'shy')",1.8535465,1.2109748,1.2584518194198608,0.8196808099746704,-0.43877100944519043
35,-0.66333306,-0.5097859,"('creative', 'uncreative')",-0.99770653,-0.9594016,-0.8305197954177856,-0.7345937490463257,0.09592604637145996
40,-0.63575065,-0.5433106,"('logical', 'illogical')",-0.682439,-0.4828353,-0.6590948104858398,-0.5130729675292969,0.14602184295654297
44,0.62699187,0.34321293,"('active', 'inactive')",2.2421632,2.1623235,1.434577465057373,1.2527681589126587,-0.18180930614471436
42,-0.5655478,-0.6505795,"('secure', 'insecure')",-0.56104606,-0.6093391,-0.563296914100647,-0.6299593448638916,-0.06666243076324463
17,-0.55514765,-0.43719047,"('tolerant', 'intolerant')",-1.4980571,-1.7041068,-1.0266023874282837,-1.0706486701965332,-0.04404628276824951
13,-0.545053,-0.47973096,"('sincere', 'insincere')",-0.47528136,-0.3295307,-0.5101671814918518,-0.4046308398246765,0.10553634166717529
53,-0.49338284,-0.31490743,"('influential', 'uninfluential')",-1.0170428,-0.74255407,-0.7552127838134766,-0.5287307500839233,0.22648203372955322
52,-0.4835022,-0.43445793,"('superior', 'inferior')",-0.6416899,-0.6817,-0.5625960826873779,-0.558078944683075,0.0045171380043029785
20,-0.45412716,-0.33793783,"('right', 'wrong')",-0.081147775,-0.011037111,-0.2676374614238739,-0.17448747158050537,0.09314998984336853
24,0.42628378,0.5024582,"('generous', 'stingy')",1.2236948,1.3712803,0.8249893188476562,0.9368692636489868,0.11187994480133057
34,0.41458258,0.6591301,"('rational', 'irrational')",1.0499182,1.2697105,0.7322503924369812,0.9644203186035156,0.23216992616653442
0,-0.38420445,-0.24413747,"('sociable', 'unsociable')",-1.4060031,-1.1105292,-0.8951038122177124,-0.6773333549499512,0.21777045726776123
22,0.3756682,0.43532673,"('amicable', 'hostile')",0.6464424,0.89044094,0.5110552906990051,0.6628838181495667,0.15182852745056152
39,-0.35926482,-0.17529166,"('wise', 'foolish')",1.0542471,1.1880622,0.34749114513397217,0.5063852667808533,0.1588941216468811
38,-0.33843374,-0.25644428,"('discriminating', 'undiscriminating')",-1.3963974,-1.4010968,-0.8674155473709106,-0.8287705183029175,0.038645029067993164
12,0.31895867,0.18380976,"('trustworthy', 'untrustworthy')",0.66546273,0.62217635,0.4922106862068176,0.4029930531978607,-0.08921763300895691
16,0.31879902,0.23856947,"('fair', 'unfair')",1.20694,1.2566526,0.7628695368766785,0.7476110458374023,-0.015258491039276123
43,-0.31877407,0.05410129,"('active', 'inactive')",-0.74312305,-0.47898158,-0.5309485793113708,-0.2124401479959488,0.31850843131542206
56,0.2830942,0.32147795,"('conventional', 'unconventional')",0.4055383,0.35367125,0.3443162441253662,0.3375746011734009,-0.006741642951965332
6,0.28225505,0.16077238,"('supportive', 'unsupportive')",0.720756,0.9562924,0.5015054941177368,0.5585323572158813,0.05702686309814453
47,-0.27424145,-0.34355164,"('ambitious', 'unambitious')",-0.22934505,-0.22957724,-0.2517932653427124,-0.286564439535141,-0.03477117419242859
54,0.24607629,0.20433062,"('successful', 'unsuccessful')",-1.1866667,-0.7455137,-0.4702952206134796,-0.27059152722358704,0.19970369338989258
45,-0.17709263,-0.21986566,"('independent', 'dependent')",0.3937369,0.4186594,0.1083221361041069,0.09939686208963394,-0.008925274014472961
11,-0.1627473,-0.38134024,"('moral', 'immoral')",-1.195109,-1.143367,-0.6789281368255615,-0.7623536586761475,-0.08342552185058594
32,0.1481213,-0.041246623,"('able', 'unable')",-0.66431123,-0.60816836,-0.2580949664115906,-0.3247075080871582,-0.06661254167556763
29,-0.13976976,-0.20135666,"('competent', 'incompetent')",-0.80269516,-0.5466781,-0.47123247385025024,-0.3740173876285553,0.09721508622169495
18,0.13803531,0.022911176,"('good', 'evil')",1.8770511,1.9088326,1.0075432062149048,0.9658718705177307,-0.04167133569717407
51,0.11600323,0.054763354,"('powerful', 'powerless')",-0.43874305,-0.24686508,-0.1613699197769165,-0.09605085849761963,0.06531906127929688
25,-0.1143789,-0.023320466,"('forgiving', 'unforgiving')",-0.81578994,-0.62327504,-0.465084433555603,-0.32329773902893066,0.14178669452667236
49,0.102225184,-0.15223208,"('motivated', 'unmotivated')",0.57743317,0.5957341,0.3398291766643524,0.22175101935863495,-0.11807815730571747
46,-0.09591469,-0.17999531,"('energetic', 'lethargic')",-0.173112,-0.14573556,-0.13451334834098816,-0.16286543011665344,-0.028352081775665283
2,-0.08792261,0.13319844,"('likable', 'unlikable')",-1.0541084,-0.84975076,-0.571015477180481,-0.3582761585712433,0.21273931860923767
27,-0.08076304,-0.17580825,"('responsible', 'irresponsible')",-0.814808,-0.9888536,-0.44778552651405334,-0.5823309421539307,-0.13454541563987732
10,0.078293264,-0.11948472,"('hospitable', 'inhospitable')",0.6625028,0.8830159,0.37039804458618164,0.38176557421684265,0.01136752963066101
7,0.039018393,0.25759047,"('polite', 'impolite')",-0.72927487,-0.6471198,-0.34512823820114136,-0.19476467370986938,0.15036356449127197
8,-0.0134449005,0.0034328606,"('popular', 'unpopular')",-0.7141453,-0.23271388,-0.36379510164260864,-0.11464051157236099,0.24915459007024765
37,0.0045030154,-0.09196182,"('practical', 'impractical')",-2.2205129,-2.2360573,-1.1080049276351929,-1.1640095710754395,-0.05600464344024658
