,S&P_male,S&P_female,tuple,Global_male,Global_female,average_male,average_female,female-male
101,-2.009853,-1.9729664,"('successful', 'unsuccessful')",-1.7617028,-1.7737837,-1.8857778,-1.8733751,0.0124027
4,-1.688645,-1.8629258,"('likable', 'unlikable')",-0.65474766,-0.61761224,-1.1716963,-1.2402689,-0.0685726
73,-1.5603908,-1.498405,"('brilliant', 'incompetent')",-1.1263747,-1.2615492,-1.3433828,-1.3799771,-0.0365943
51,-1.5486042,-1.2275902,"('competent', 'incompetent')",-0.1907514,-0.37327966,-0.8696778,-0.8004349,0.0692429
19,-1.4544275,-1.4861839,"('funny', 'boring')",0.05983311,0.14535958,-0.6972972,-0.6704122,0.026885
70,1.4086709,1.4403739,"('wise', 'unwise')",1.0749177,0.96353716,1.2417943,1.2019556,-0.0398387
22,1.2229953,0.9639007,"('welcoming', 'disagreeable')",0.43008986,0.46017522,0.8265426,0.7120379,-0.1145047
48,-1.1151378,-1.155525,"('reliable', 'unreliable')",2.141105,1.9974153,0.5129836,0.4209452,-0.0920384
68,-1.0874717,-1.0580746,"('clever', 'inept')",-1.2968149,-1.4464407,-1.1921433,-1.2522576,-0.0601143
67,-1.0847569,-0.98545694,"('discriminating', 'undiscriminating')",-0.8814934,-0.83726084,-0.9831251,-0.9113589,0.0717662
8,-1.0728453,-1.4086784,"('open', 'distant')",-0.4894172,-0.535766,-0.7811313,-0.9722222,-0.1910909
29,1.0473195,0.90843415,"('honest', 'immoral')",-1.1206604,-1.2783649,-0.0366704,-0.1849654,-0.148295
93,-1.037511,-0.7316217,"('dominating', 'dominated')",0.041214854,0.007278621,-0.4981481,-0.3621715,0.1359766
104,-0.9121228,-0.9333397,"('conventional', 'unconventional')",-1.3816282,-1.2951905,-1.1468755,-1.1142651,0.0326104
39,-0.90091306,-0.9563945,"('right', 'wrong')",-0.35601032,-0.13761407,-0.6284617,-0.5470043,0.0814574
72,-0.90079594,-0.8867236,"('logical', 'illogical')",-1.2100058,-0.9866321,-1.0554008,-0.9366778,0.118723
15,0.8936879,1.0491607,"('polite', 'impolite')",0.6741194,0.76627135,0.7839037,0.907716,0.1238123
86,-0.82798713,-0.89564884,"('self-reliant', 'helpless')",2.2223902,2.2481856,0.6972015,0.6762684,-0.0209331
58,0.7274811,0.87818015,"('able', 'clumsy')",-0.99034476,-1.0001984,-0.1314318,-0.0610091,0.0704227
87,-0.6987997,-0.6200446,"('dedicated', 'undedicated')",-1.2724483,-1.3255506,-0.985624,-0.9727976,0.0128264
78,0.6888725,0.26097876,"('active', 'inactive')",0.8721278,0.7102511,0.7805002,0.4856149,-0.2948853
64,-0.686548,-0.51250917,"('clever', 'incompetent')",-0.28075936,-0.38745427,-0.4836537,-0.4499817,0.033672
106,-0.6849041,-0.6435758,"('conventional', 'unconventional')",-0.89546657,-0.8254163,-0.7901853,-0.7344961,0.0556892
27,0.67973876,0.7511421,"('sincere', 'insincere')",-5.8634176,-6.019476,-2.5918393,-2.634167,-0.0423277
74,-0.62623805,-0.6282668,"('insightful', 'unperceptive')",-1.8190625,-1.9219246,-1.2226503,-1.2750957,-0.0524454
89,-0.59538275,-0.6788778,"('daring', 'anxious')",-0.5198131,-0.6317185,-0.5575979,-0.6552981,-0.0977002
53,0.59346306,0.6586295,"('smart', 'stupid')",-4.100174,-4.326029,-1.7533555,-1.8336997,-0.0803442
37,0.5788469,0.3201986,"('good', 'evil')",1.0297973,0.9576959,0.8043221,0.6389472,-0.1653749
30,-0.5601991,-0.49595582,"('honest', 'dishonest')",-0.8879438,-0.9189769,-0.7240714,-0.7074664,0.016605
34,0.5564629,0.83655685,"('loyal', 'disloyal')",-1.1905485,-1.1829637,-0.3170428,-0.1732034,0.1438394
32,-0.54195833,-0.2892778,"('benevolent', 'hardhearted')",-1.3345158,-1.2129173,-0.9382371,-0.7510976,0.1871395
91,0.5062358,0.44331264,"('resilient', 'nonresilient')",-0.20986854,-0.36533958,0.1481836,0.0389865,-0.1091971
25,-0.49280816,-0.45381758,"('moral', 'immoral')",-0.53081447,-0.52981824,-0.5118113,-0.4918179,0.0199934
63,0.47085983,0.28179997,"('capable', 'incapable')",-1.572326,-1.6257578,-0.5507331,-0.671979,-0.1212459
40,0.45971423,0.078834414,"('honorable', 'mean')",-4.4884577,-4.715982,-2.0143716,-2.3185737,-0.3042021
95,0.45299608,0.40058804,"('rich', 'poor')",-4.661126,-4.9938593,-2.1040649,-2.2966356,-0.1925707
71,-0.44305122,-0.49722427,"('efficient', 'inefficient')",-0.49637592,-0.60718435,-0.4697136,-0.5522043,-0.0824907
49,-0.43996593,-0.4614172,"('responsible', 'irresponsible')",-2.0648212,-2.245701,-1.2523936,-1.3535591,-0.1011655
21,0.43366754,0.26345766,"('nice', 'nasty')",1.0980365,0.96841615,0.765852,0.6159369,-0.1499151
84,0.4295806,0.18362837,"('self-confident', 'diffident')",-1.1475676,-1.1645327,-0.3589935,-0.4904521,-0.1314586
24,0.42161998,0.4475354,"('thoughtful', 'rough')",-1.3762577,-1.3251445,-0.4773188,-0.4388046,0.0385142
110,0.41909707,0.40534365,"('narrow-minded', 'open-minded')",0.5310267,0.46372512,0.4750619,0.4345344,-0.0405275
59,0.41648233,0.27985966,"('skillful', 'clumsy')",-0.5275165,-0.54005426,-0.0555171,-0.1300973,-0.0745802
1,0.3938202,0.4175516,"('friendly', 'unfriendly')",-2.1043458,-1.9947064,-0.8552628,-0.7885774,0.0666854
76,0.3896449,0.5374647,"('secure', 'insecure')",0.027691424,0.005966425,0.2086682,0.2717156,0.0630474
12,0.3637941,0.5975623,"('sympathetic', 'unsympathetic')",-0.7820627,-0.8857177,-0.2091343,-0.1440777,0.0650566
16,-0.35583878,0.1035479,"('social', 'antisocial')",0.279011,0.39050615,-0.0384139,0.247027,0.2854409
107,0.35359505,0.43979943,"('conventional', 'modern')",1.9023185,1.7773824,1.1279567,1.1085908,-0.0193659
80,0.34936816,0.24810462,"('independent', 'dependent')",0.49967015,0.5192481,0.4245192,0.3836764,-0.0408428
103,0.34776366,0.4161089,"('traditional', 'modern')",1.1081309,1.0896306,0.7279473,0.7528697,0.0249224
54,0.34208503,0.20554912,"('smart', 'stupid')",-0.083870485,-0.12617964,0.1291073,0.0396847,-0.0894226
96,-0.3384208,-0.3263029,"('powerful', 'powerless')",-0.3059446,-0.24244606,-0.3221827,-0.2843745,0.0378082
52,-0.334269,-0.1732035,"('competitive', 'uncompetitive')",-0.37667555,-0.3724506,-0.3554723,-0.272827,0.0826453
57,0.33223075,0.24654959,"('able', 'unable')",-0.6443774,-0.69462293,-0.1560733,-0.2240367,-0.0679634
65,-0.33181578,-0.28446177,"('practical', 'impractical')",-1.0043656,-1.1169543,-0.6680907,-0.700708,-0.0326173
94,0.32714355,0.5699604,"('aggressive', 'submissive')",0.9116361,0.7682692,0.6193898,0.6691148,0.049725
0,-0.32576734,-0.061224565,"('sociable', 'unsociable')",-0.25752708,-0.15881541,-0.2916472,-0.11002,0.1816272
11,-0.27836528,-0.34070614,"('caring', 'unaffectionate')",-2.248564,-2.2366865,-1.2634647,-1.2886963,-0.0252316
102,-0.25417477,-0.32911578,"('eminent', 'low')",-0.76602423,-0.7064494,-0.5100995,-0.5177826,-0.0076831
20,-0.24987249,-0.5141038,"('popular', 'unpopular')",-0.13085604,-0.18018211,-0.1903643,-0.3471429,-0.1567786
