,TransDigm_male,TransDigm_female,tuple,Group_male,Group_female,average_male,average_female,female-male
3,1.5918405,1.5318183,"('liked', 'disliked')",4.654572,4.4920034,3.12320613861084,3.011910915374756,-0.11129522323608398
23,1.5384462,1.5966763,"('truthful', 'untruthful')",0.004476726,0.07560548,0.7714614868164062,0.8361409306526184,0.06467944383621216
6,1.3448389,0.97210234,"('supportive', 'unsupportive')",0.23018403,-0.03547913,0.7875114679336548,0.468311607837677,-0.3191998600959778
0,1.2273356,1.3036234,"('sociable', 'unsociable')",-1.4526432,-0.9804095,-0.11265379190444946,0.16160696744918823,0.2742607593536377
53,1.1602693,1.2620473,"('influential', 'uninfluential')",-1.0314844,-0.7394237,0.06439244747161865,0.261311799287796,0.19691935181617737
29,1.1537067,1.0632367,"('competent', 'incompetent')",-0.7016839,-0.645089,0.22601139545440674,0.20907387137413025,-0.01693752408027649
10,1.1525528,1.0797921,"('hospitable', 'inhospitable')",0.8945291,0.6813606,1.02354097366333,0.8805763721466064,-0.14296460151672363
7,1.1412057,1.3564935,"('polite', 'impolite')",-0.23566908,0.018703952,0.4527682960033417,0.687598705291748,0.23483040928840637
33,1.1022663,1.3455935,"('educated', 'uneducated')",-1.3027692,-1.1182572,-0.10025143623352051,0.11366814374923706,0.21391957998275757
47,0.96006763,0.8870311,"('ambitious', 'unambitious')",-0.43766636,-0.47662008,0.2612006366252899,0.205205500125885,-0.05599513649940491
1,0.9223349,1.001852,"('friendly', 'unfriendly')",-1.4762433,-1.2522011,-0.27695417404174805,-0.12517452239990234,0.1517796516418457
44,0.91927874,0.42668116,"('active', 'inactive')",2.1415029,1.8283441,1.530390739440918,1.1275126934051514,-0.4028780460357666
27,0.90063727,0.76554185,"('responsible', 'irresponsible')",-2.1645157,-2.230853,-0.6319392323493958,-0.7326556444168091,-0.10071641206741333
56,0.88587534,0.8959477,"('conventional', 'unconventional')",-0.8112285,-0.35909978,0.03732341527938843,0.26842397451400757,0.23110055923461914
13,0.87700665,1.0104549,"('sincere', 'insincere')",-0.47863832,-0.24313873,0.19918416440486908,0.3836580812931061,0.184473916888237
28,-0.8649286,-0.9492891,"('unprejudiced', 'prejudiced')",1.9148343,1.5773686,0.5249528288841248,0.31403976678848267,-0.2109130620956421
4,0.7755098,0.73254895,"('sensitive', 'insensitive')",-1.3231671,-1.3260179,-0.2738286554813385,-0.29673445224761963,-0.022905796766281128
9,0.7649361,0.67073625,"('nice', 'nasty')",1.1140192,0.8075779,0.9394776225090027,0.7391570806503296,-0.2003205418586731
43,-0.7520183,-0.64476824,"('active', 'inactive')",0.1639987,0.30218965,-0.294009804725647,-0.17128929495811462,0.12272050976753235
40,0.74262965,1.066732,"('logical', 'illogical')",-0.8196918,-0.51261544,-0.03853106498718262,0.27705830335617065,0.31558936834335327
14,0.7138193,0.84588224,"('honest', 'dishonest')",-1.4426392,-1.387681,-0.3644099533557892,-0.27089938521385193,0.09351056814193726
2,0.6977806,0.7073885,"('likable', 'unlikable')",-0.24977161,0.12656575,0.22400450706481934,0.4169771373271942,0.19297263026237488
46,0.65173805,0.6484795,"('energetic', 'lethargic')",-0.29718047,-0.34872067,0.1772787868976593,0.14987942576408386,-0.02739936113357544
30,-0.59961736,-0.5182563,"('smart', 'stupid')",-3.1351328,-3.1450305,-1.867375135421753,-1.8316433429718018,0.03573179244995117
36,0.59689754,0.77090895,"('capable', 'incapable')",-0.41913867,-0.4962123,0.08887943625450134,0.13734832406044006,0.04846888780593872
35,0.56796086,0.68590957,"('creative', 'uncreative')",-0.27544188,-0.40071613,0.14625948667526245,0.14259672164916992,-0.0036627650260925293
31,0.53411347,0.49971578,"('intelligent', 'unintelligent')",-0.9549765,-0.8100181,-0.2104315161705017,-0.15515117347240448,0.05528034269809723
11,0.5126396,0.71097517,"('moral', 'immoral')",-1.4139347,-1.3145158,-0.4506475627422333,-0.30177032947540283,0.14887723326683044
5,0.48540154,0.5756039,"('helpful', 'unhelpful')",-2.1762795,-2.3006935,-0.8454390168190002,-0.8625447750091553,-0.01710575819015503
39,-0.4557527,-0.44444975,"('wise', 'foolish')",1.0712998,0.98728347,0.30777353048324585,0.2714168429374695,-0.03635668754577637
37,-0.43099913,-0.44961783,"('practical', 'impractical')",-2.043039,-2.0109487,-1.2370190620422363,-1.230283260345459,0.006735801696777344
15,0.43060192,0.6627739,"('loyal', 'disloyal')",-1.5511099,-1.3560905,-0.5602539777755737,-0.346658319234848,0.2135956585407257
8,0.42105216,0.44937178,"('popular', 'unpopular')",1.0082709,1.0216434,0.7146614789962769,0.735507607460022,0.020846128463745117
38,0.4081683,0.5474315,"('discriminating', 'undiscriminating')",-1.3161902,-1.0050048,-0.4540109634399414,-0.2287866175174713,0.2252243459224701
22,0.36222246,0.4922456,"('amicable', 'hostile')",1.4234809,1.5795428,0.8928516507148743,1.0358941555023193,0.14304250478744507
45,0.3552511,0.41927835,"('independent', 'dependent')",0.35079432,0.5369884,0.3530226945877075,0.4781333804130554,0.1251106858253479
19,-0.34344134,-0.15552351,"('kind', 'unkind')",-1.9359932,-1.716505,-1.1397172212600708,-0.9360142946243286,0.2037029266357422
34,0.34164774,0.69985104,"('rational', 'irrational')",1.1793873,1.331265,0.7605175375938416,1.0155580043792725,0.2550404667854309
25,0.33652127,0.34256077,"('forgiving', 'unforgiving')",-1.2578783,-1.1696969,-0.4606785178184509,-0.41356807947158813,0.04711043834686279
18,0.32571095,0.15220541,"('good', 'evil')",1.301825,1.4178656,0.8137680292129517,0.7850354909896851,-0.0287325382232666
17,-0.32187378,-0.07693559,"('tolerant', 'intolerant')",-0.75403845,-0.63169855,-0.5379561185836792,-0.3543170690536499,0.1836390495300293
50,-0.29518953,-0.3007502,"('rich', 'poor')",-3.8960764,-4.1489887,-2.095633029937744,-2.2248694896698,-0.12923645973205566
16,0.24775791,0.24078989,"('fair', 'unfair')",0.48221785,0.76956576,0.36498787999153137,0.5051778554916382,0.1401899755001068
21,-0.22194493,-0.22054616,"('incorrupt', 'corrupt')",2.391528,2.3858836,1.0847914218902588,1.082668662071228,-0.0021227598190307617
57,-0.21244332,-0.14990598,"('conservative', 'liberal')",-1.1766788,-1.1526232,-0.6945610642433167,-0.6512645483016968,0.04329651594161987
52,-0.19975588,-0.094031036,"('superior', 'inferior')",-0.6158573,-0.5000367,-0.4078065752983093,-0.2970338761806488,0.11077269911766052
54,-0.19063854,0.1124298,"('successful', 'unsuccessful')",-1.0340345,-0.81662524,-0.6123365163803101,-0.3520977199077606,0.26023879647254944
41,-0.18114144,-0.39102846,"('confident', 'shy')",0.9886768,0.7213712,0.4037676751613617,0.16517135500907898,-0.23859632015228271
