,Caesars_male,Caesars_female,tuple,Entertainment_male,Entertainment_female,average_male,average_female,female-male
30,-2.6356125,-2.5880947,"('smart', 'stupid')",-2.969131,-2.823717,-2.8023717403411865,-2.7059059143066406,0.0964658260345459
50,-2.6282516,-2.8244905,"('rich', 'poor')",-5.6767015,-5.508602,-4.1524763107299805,-4.16654634475708,-0.01407003402709961
3,2.580223,2.6084461,"('liked', 'disliked')",3.7047298,3.456645,3.1424765586853027,3.032545566558838,-0.10993099212646484
0,-2.3176188,-1.9292198,"('sociable', 'unsociable')",-0.71034265,-0.347924,-1.513980746269226,-1.1385719776153564,0.37540876865386963
19,-1.8756127,-1.611815,"('kind', 'unkind')",-1.7861471,-1.4714282,-1.8308799266815186,-1.5416215658187866,0.28925836086273193
28,1.8461349,1.5731108,"('unprejudiced', 'prejudiced')",1.8794895,1.7530453,1.8628122806549072,1.6630780696868896,-0.19973421096801758
44,1.817423,1.5902513,"('active', 'inactive')",1.5279975,1.2981559,1.6727101802825928,1.4442036151885986,-0.22850656509399414
34,1.8070295,1.7070823,"('rational', 'irrational')",0.23734264,0.23735483,1.022186040878296,0.9722185730934143,-0.04996746778488159
18,1.620408,1.5225352,"('good', 'evil')",2.110046,1.9313095,1.8652269840240479,1.7269222736358643,-0.1383047103881836
22,1.5241921,1.384568,"('amicable', 'hostile')",0.63289696,0.5941266,1.0785444974899292,0.9893472790718079,-0.08919721841812134
37,-1.5125628,-1.301831,"('practical', 'impractical')",-1.4449978,-1.4581687,-1.4787802696228027,-1.3799998760223389,0.09878039360046387
5,-1.2059145,-0.8696698,"('helpful', 'unhelpful')",-3.070508,-2.8917236,-2.138211250305176,-1.8806967735290527,0.25751447677612305
33,-1.1934414,-0.89233136,"('educated', 'uneducated')",-1.8524803,-1.5874635,-1.522960901260376,-1.2398974895477295,0.2830634117126465
15,-1.1927799,-0.84011984,"('loyal', 'disloyal')",-1.3093035,-0.99045396,-1.2510416507720947,-0.9152868986129761,0.33575475215911865
21,1.1813931,1.0027589,"('incorrupt', 'corrupt')",1.4968386,1.3807375,1.339115858078003,1.1917481422424316,-0.1473677158355713
