,General_male,General_female,tuple,Mills_male,Mills_female,average_male,average_female,female-male
75,4.8939857,4.9558153,"('confident', 'shy')",4.951093,4.821284,4.9225397,4.8885498,-0.0339899
6,4.4725904,4.869796,"('liked', 'disliked')",4.0314865,4.070455,4.2520385,4.4701252,0.2180867
27,-4.17702,-4.3702774,"('sincere', 'insincere')",-4.623852,-4.757208,-4.4004359,-4.5637426,-0.1633067
53,-3.8841796,-4.0629272,"('smart', 'stupid')",-3.4310288,-3.634252,-3.6576042,-3.8485897,-0.1909855
95,-3.8300533,-3.911077,"('rich', 'poor')",-4.6963806,-4.4134507,-4.263217,-4.1622639,0.1009531
40,-2.6957371,-3.0097594,"('honorable', 'mean')",-3.233458,-3.3760223,-2.9645977,-3.1928909,-0.2282932
32,-2.5011601,-2.295228,"('benevolent', 'hardhearted')",-2.5545182,-2.2933695,-2.5278392,-2.2942986,0.2335406
78,2.2357087,1.6051426,"('active', 'inactive')",0.99173987,0.81514835,1.6137242,1.2101455,-0.4035787
34,-2.2222495,-1.6780137,"('loyal', 'disloyal')",-0.93892443,-0.7171891,-1.5805869,-1.1976013,0.3829856
38,-2.1978931,-1.9014361,"('kind', 'unkind')",-1.2913837,-1.0698888,-1.7446384,-1.4856625,0.2589759
50,2.1517377,1.740897,"('unprejudiced', 'prejudiced')",2.1050367,1.8721035,2.1283872,1.8065002,-0.321887
13,-2.0909553,-1.9865234,"('helpful', 'unhelpful')",-1.3880779,-1.4848228,-1.7395165,-1.7356731,0.0038434
86,2.0879626,1.930626,"('self-reliant', 'helpless')",2.6460018,2.4355538,2.3669822,2.18309,-0.1838922
11,-1.7929871,-1.8523788,"('caring', 'unaffectionate')",-2.0569863,-1.9537728,-1.9249867,-1.9030758,0.0219109
66,1.7925494,2.127636,"('imaginative', 'unimaginative')",0.8907368,0.9069854,1.3416431,1.5173106,0.1756675
58,-1.707874,-1.4861984,"('able', 'clumsy')",-1.1252605,-1.0573837,-1.4165672,-1.271791,0.1447762
97,-1.6874728,-1.5677723,"('superior', 'inferior')",0.09442693,0.13751191,-0.796523,-0.7151302,0.0813928
104,-1.6403633,-1.365761,"('conventional', 'unconventional')",-0.72603524,-0.3092925,-1.1831993,-0.8375268,0.3456725
10,-1.547723,-1.3395634,"('affectionate', 'unaffectionate')",-1.2723867,-1.0454714,-1.4100549,-1.1925174,0.2175375
1,-1.4788196,-1.4439695,"('friendly', 'unfriendly')",-1.3970919,-1.1236308,-1.4379557,-1.2838001,0.1541556
28,-1.4744533,-1.6178505,"('honest', 'dishonest')",-1.4098346,-1.572077,-1.4421439,-1.5949638,-0.1528199
103,1.4006116,1.4699345,"('traditional', 'modern')",1.0535673,1.1369029,1.2270894,1.3034186,0.0763292
63,-1.398167,-1.2492652,"('capable', 'incapable')",-0.04168442,-0.19886702,-0.7199257,-0.7240661,-0.0041404
48,1.2622528,1.3327507,"('reliable', 'unreliable')",1.845397,1.4357101,1.5538249,1.3842304,-0.1695945
109,1.2565037,1.4538426,"('conservative', 'liberal')",1.7570488,1.6464031,1.5067763,1.5501229,0.0433466
108,1.2565037,1.4538426,"('conservative', 'liberal')",1.7570488,1.6464031,1.5067763,1.5501229,0.0433466
46,1.2547036,1.3421301,"('generous', 'stingy')",1.5989709,1.5553257,1.4268372,1.4487278,0.0218906
69,-1.2175659,-1.1177859,"('wise', 'foolish')",0.349666,0.5237869,-0.4339499,-0.2969995,0.1369504
31,-1.1458362,-0.9340167,"('altruistic', 'egoistic')",-0.8078728,-0.660981,-0.9768545,-0.7974988,0.1793557
37,1.1338533,0.9894043,"('good', 'evil')",0.93456894,1.0637921,1.0342112,1.0265982,-0.007613
88,1.1088483,1.1339837,"('impulsive', 'meek')",1.5877819,1.6102697,1.3483151,1.3721267,0.0238116
45,-1.0805621,-1.2507505,"('cooperative', 'exploitative')",0.26248735,-0.32960293,-0.4090374,-0.7901767,-0.3811393
65,-1.0638912,-1.0440744,"('practical', 'impractical')",-1.5501305,-1.7720293,-1.3070109,-1.4080518,-0.1010409
5,1.0628128,0.97268474,"('pleasant', 'repellent')",0.07684931,-0.2999951,0.5698311,0.3363448,-0.2334863
79,-1.0254123,-0.78303796,"('determined', 'doubtful')",0.0262236,0.050638497,-0.4995944,-0.3661997,0.1333947
106,-1.0024853,-0.78636014,"('conventional', 'unconventional')",-0.26013082,-0.25741196,-0.6313081,-0.5218861,0.109422
90,0.9973898,0.9998033,"('motivated', 'unmotivated')",1.9573517,1.5135962,1.4773707,1.2566998,-0.2206709
29,-0.96217537,-1.169066,"('honest', 'immoral')",-0.38845617,-0.59174156,-0.6753157,-0.8804038,-0.2050881
