,CSX_male,CSX_female,tuple,average_male,average_female,female-male
3,2.5828757,2.417008,"('liked', 'disliked')",2.5828757286071777,2.4170079231262207,-0.16586780548095703
50,-2.2923405,-2.4517422,"('rich', 'poor')",-2.2923405170440674,-2.451742172241211,-0.15940165519714355
7,1.7353394,1.8290746,"('polite', 'impolite')",1.7353394031524658,1.8290746212005615,0.0937352180480957
30,-1.3059562,-1.2724543,"('smart', 'stupid')",-1.305956244468689,-1.2724542617797852,0.03350198268890381
23,1.2926736,1.3179512,"('truthful', 'untruthful')",1.2926735877990723,1.3179512023925781,0.02527761459350586
28,1.2840781,1.1665362,"('unprejudiced', 'prejudiced')",1.2840781211853027,1.1665362119674683,-0.11754190921783447
35,-1.2521313,-1.1418068,"('creative', 'uncreative')",-1.2521313428878784,-1.1418068408966064,0.11032450199127197
26,1.247685,0.8921938,"('reliable', 'unreliable')",1.2476849555969238,0.8921937942504883,-0.35549116134643555
34,-1.1418875,-0.8766824,"('rational', 'irrational')",-1.1418875455856323,-0.8766824007034302,0.26520514488220215
1,-1.0462465,-0.6474897,"('friendly', 'unfriendly')",-1.0462465286254883,-0.6474897265434265,0.39875680208206177
13,1.0192785,1.127352,"('sincere', 'insincere')",1.0192785263061523,1.127351999282837,0.10807347297668457
48,-1.0160687,-0.8561173,"('dedicated', 'undedicated')",-1.016068696975708,-0.856117308139801,0.15995138883590698
9,0.9784377,0.9554095,"('nice', 'nasty')",0.9784377217292786,0.9554095268249512,-0.023028194904327393
12,0.9700874,0.9712158,"('trustworthy', 'untrustworthy')",0.9700874090194702,0.9712157845497131,0.00112837553024292
29,0.88910896,0.8103192,"('competent', 'incompetent')",0.8891089558601379,0.810319185256958,-0.07878977060317993
40,-0.87116283,-0.61986876,"('logical', 'illogical')",-0.8711628317832947,-0.6198687553405762,0.2512940764427185
39,-0.8640611,-0.77588415,"('wise', 'foolish')",-0.8640611171722412,-0.7758841514587402,0.08817696571350098
52,-0.8372469,-0.6857884,"('superior', 'inferior')",-0.8372468948364258,-0.6857883930206299,0.1514585018157959
43,-0.75743794,-0.6527174,"('active', 'inactive')",-0.7574379444122314,-0.6527174115180969,0.10472053289413452
19,-0.7563748,-0.49660873,"('kind', 'unkind')",-0.7563747763633728,-0.4966087341308594,0.2597660422325134
20,-0.7132193,-0.5638044,"('right', 'wrong')",-0.7132192850112915,-0.5638043880462646,0.14941489696502686
0,0.60562974,0.83873504,"('sociable', 'unsociable')",0.6056297421455383,0.838735044002533,0.23310530185699463
18,-0.6002134,-0.53687674,"('good', 'evil')",-0.6002134084701538,-0.5368767380714417,0.06333667039871216
49,0.5957414,0.56658363,"('motivated', 'unmotivated')",0.5957413911819458,0.5665836334228516,-0.02915775775909424
47,0.5585332,0.44252893,"('ambitious', 'unambitious')",0.5585331916809082,0.44252893328666687,-0.11600425839424133
54,-0.54399115,-0.51308537,"('successful', 'unsuccessful')",-0.5439911484718323,-0.5130853652954102,0.03090578317642212
55,-0.508842,-0.43432194,"('conventional', 'unconventional')",-0.5088419914245605,-0.43432193994522095,0.0745200514793396
24,0.50615776,0.5403638,"('generous', 'stingy')",0.5061577558517456,0.5403637886047363,0.03420603275299072
42,0.5055417,0.46649975,"('secure', 'insecure')",0.5055416822433472,0.4664997458457947,-0.03904193639755249
14,-0.48402944,-0.29881883,"('honest', 'dishonest')",-0.4840294420719147,-0.29881882667541504,0.18521061539649963
15,-0.47196537,-0.20258011,"('loyal', 'disloyal')",-0.47196537256240845,-0.20258010923862457,0.2693852633237839
57,0.46531075,0.5776676,"('conservative', 'liberal')",0.4653107523918152,0.5776675939559937,0.11235684156417847
45,0.46224207,0.5253581,"('independent', 'dependent')",0.462242066860199,0.5253580808639526,0.06311601400375366
22,-0.44650352,-0.32175016,"('amicable', 'hostile')",-0.44650352001190186,-0.3217501640319824,0.12475335597991943
2,0.41326392,0.44770223,"('likable', 'unlikable')",0.4132639169692993,0.44770222902297974,0.03443831205368042
44,0.40689728,0.31802016,"('active', 'inactive')",0.40689727663993835,0.31802016496658325,-0.0888771116733551
46,0.40085325,0.27621418,"('energetic', 'lethargic')",0.4008532464504242,0.2762141823768616,-0.12463906407356262
6,0.33917248,0.31880105,"('supportive', 'unsupportive')",0.33917248249053955,0.31880104541778564,-0.020371437072753906
36,-0.33026263,-0.18450445,"('capable', 'incapable')",-0.3302626311779022,-0.1845044493675232,0.14575818181037903
32,0.3102985,0.2962317,"('able', 'unable')",0.31029850244522095,0.2962316870689392,-0.014066815376281738
8,-0.2639261,-0.47894922,"('popular', 'unpopular')",-0.26392608880996704,-0.4789492189884186,-0.21502313017845154
17,0.24966066,0.13010834,"('tolerant', 'intolerant')",0.2496606558561325,0.13010834157466888,-0.11955231428146362
31,0.23291361,0.2915603,"('intelligent', 'unintelligent')",0.23291361331939697,0.2915602922439575,0.05864667892456055
5,-0.23130311,-0.04830475,"('helpful', 'unhelpful')",-0.2313031107187271,-0.04830475151538849,0.18299835920333862
37,-0.22114447,-0.07689878,"('practical', 'impractical')",-0.22114446759223938,-0.07689878344535828,0.1442456841468811
33,-0.20274335,-0.24613455,"('educated', 'uneducated')",-0.20274335145950317,-0.24613454937934875,-0.04339119791984558
4,0.18070029,0.13765079,"('sensitive', 'insensitive')",0.18070028722286224,0.13765078783035278,-0.04304949939250946
21,0.11807999,0.2153734,"('incorrupt', 'corrupt')",0.11807999014854431,0.21537339687347412,0.09729340672492981
38,-0.11721438,-0.047388747,"('discriminating', 'undiscriminating')",-0.1172143816947937,-0.047388747334480286,0.06982563436031342
11,0.11478692,0.17932555,"('moral', 'immoral')",0.11478692293167114,0.17932555079460144,0.0645386278629303
16,0.11367422,0.34311748,"('fair', 'unfair')",0.11367422342300415,0.34311747550964355,0.2294432520866394
27,0.10939491,0.09112644,"('responsible', 'irresponsible')",0.10939490795135498,0.0911264419555664,-0.018268465995788574
51,0.1033324,0.2540764,"('powerful', 'powerless')",0.10333240032196045,0.25407639145851135,0.1507439911365509
25,0.09161115,0.2742897,"('forgiving', 'unforgiving')",0.09161114692687988,0.27428969740867615,0.18267855048179626
10,-0.088922024,0.008903176,"('hospitable', 'inhospitable')",-0.08892202377319336,0.008903175592422485,0.09782519936561584
41,-0.06270611,-0.30533725,"('confident', 'shy')",-0.0627061128616333,-0.30533725023269653,-0.24263113737106323
56,-0.05729699,-0.120590866,"('conventional', 'unconventional')",-0.0572969913482666,-0.12059086561203003,-0.06329387426376343
53,-0.014579684,0.2981465,"('influential', 'uninfluential')",-0.014579683542251587,0.29814648628234863,0.3127261698246002
