,IDEX_male,IDEX_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
75,3.8137302,3.6924672,"('confident', 'shy')",5.5090284,5.785636,4.6613793,4.7390518,0.0776725
6,3.2853718,3.237151,"('liked', 'disliked')",4.609497,4.9865475,3.9474344,4.1118493,0.1644149
53,-2.6732388,-2.7599154,"('smart', 'stupid')",-4.1904073,-4.529256,-3.431823,-3.6445856,-0.2127626
40,-2.1784282,-2.340273,"('honorable', 'mean')",-5.202524,-5.638261,-3.6904762,-3.9892669,-0.2987907
27,-2.1604989,-2.139069,"('sincere', 'insincere')",-5.9254746,-6.0872383,-4.0429869,-4.1131535,-0.0701666
95,-2.0764995,-2.12948,"('rich', 'poor')",-5.3035636,-5.4428234,-3.6900315,-3.7861516,-0.0961201
3,1.7249273,1.6348367,"('likable', 'unlikable')",1.2001915,1.255702,1.4625595,1.4452693,-0.0172902
48,1.5120715,1.3006917,"('reliable', 'unreliable')",1.7940993,1.8037168,1.6530855,1.5522043,-0.1008812
66,1.3227173,1.1407872,"('imaginative', 'unimaginative')",1.4616767,1.5624113,1.392197,1.3515992,-0.0405978
70,1.2338252,1.296235,"('wise', 'unwise')",-0.013055325,0.07970542,0.6103849,0.6879702,0.0775853
15,1.1860287,1.1004003,"('polite', 'impolite')",0.60729504,0.55079806,0.8966619,0.8255992,-0.0710627
107,1.1780267,1.1553023,"('conventional', 'modern')",0.15696877,0.04123503,0.6674978,0.5982686,-0.0692292
12,1.1531206,0.997795,"('sympathetic', 'unsympathetic')",-0.8327242,-0.94881463,0.1601982,0.0244902,-0.135708
21,1.1303718,0.9937545,"('nice', 'nasty')",0.083910525,0.049200058,0.6071411,0.5214773,-0.0856638
14,1.1189256,0.952668,"('supportive', 'unsupportive')",0.2834552,0.3673225,0.7011904,0.6599953,-0.0411951
86,1.1104245,1.0935047,"('self-reliant', 'helpless')",2.936181,2.9082026,2.0233028,2.0008535,-0.0224493
60,1.0499396,1.1766787,"('educated', 'uneducated')",-0.63648766,-0.49107665,0.206726,0.342801,0.136075
90,0.94414437,0.7906034,"('motivated', 'unmotivated')",1.4671855,1.2563818,1.2056649,1.0234926,-0.1821723
23,0.9052572,0.8808579,"('hospitable', 'inhospitable')",0.06715667,0.14862442,0.4862069,0.5147412,0.0285343
24,-0.8240616,-0.79342407,"('thoughtful', 'rough')",-0.6666918,-0.6926383,-0.7453767,-0.7430311,0.0023456
33,-0.7784507,-0.67494166,"('softhearted', 'hardhearted')",-0.68716663,-0.48124987,-0.7328087,-0.5780958,0.1547129
32,-0.7600051,-0.6611374,"('benevolent', 'hardhearted')",-2.5948312,-2.3815007,-1.6774182,-1.521319,0.1560992
37,0.7487758,0.7423849,"('good', 'evil')",1.363445,1.5317115,1.0561104,1.1370482,0.0809378
46,0.73220766,0.7931571,"('generous', 'stingy')",1.4647251,1.7478253,1.0984664,1.2704911,0.1720247
51,0.7198836,0.55519795,"('competent', 'incompetent')",-0.86257654,-0.8091742,-0.0713465,-0.1269881,-0.0556416
35,0.7184558,0.83245116,"('fair', 'unfair')",0.836849,1.0450791,0.7776524,0.9387652,0.1611128
52,0.70230645,0.61345553,"('competitive', 'uncompetitive')",-1.0085267,-1.0554684,-0.1531101,-0.2210065,-0.0678964
78,0.6844927,0.45777327,"('active', 'inactive')",2.0573277,1.9229861,1.3709102,1.1903797,-0.1805305
16,0.67617667,0.54771435,"('social', 'antisocial')",-1.0976408,-1.0759275,-0.210732,-0.2641066,-0.0533746
29,-0.66774976,-0.7414291,"('honest', 'immoral')",-0.900992,-0.90648067,-0.7843709,-0.8239549,-0.039584
2,0.6315763,0.5139533,"('friendly', 'unfriendly')",-1.0376813,-1.04854,-0.2030525,-0.2672933,-0.0642408
91,0.6157109,0.56350625,"('resilient', 'nonresilient')",-0.13546547,-0.13475233,0.2401227,0.214377,-0.0257457
77,0.61284196,0.5693868,"('active', 'inactive')",0.2532639,0.4833073,0.4330529,0.526347,0.0932941
1,-0.598592,-0.36591744,"('friendly', 'unfriendly')",-1.9708536,-1.6629757,-1.2847228,-1.0144465,0.2702763
105,-0.5921468,-0.44204846,"('conventional', 'modern')",-0.43854254,-0.4160932,-0.5153447,-0.4290708,0.0862739
19,-0.53445554,-0.50160074,"('funny', 'boring')",-0.5628154,-0.45039928,-0.5486355,-0.476,0.0726355
56,0.5328553,0.37760097,"('intelligent', 'dumb')",1.060664,1.050429,0.7967597,0.714015,-0.0827447
103,0.52160275,0.67610705,"('traditional', 'modern')",1.3085226,1.3149366,0.9150627,0.9955218,0.0804591
31,-0.5200958,-0.34839332,"('altruistic', 'egoistic')",-0.59159064,-0.43182242,-0.5558432,-0.3901079,0.1657353
80,0.49756342,0.5072502,"('independent', 'dependent')",1.2020552,1.2808201,0.8498093,0.8940352,0.0442259
13,-0.479346,-0.57980645,"('helpful', 'unhelpful')",-2.9682832,-3.1371207,-1.7238146,-1.8584635,-0.1346489
93,0.47540557,0.4019808,"('dominating', 'dominated')",-0.0038221478,0.034066856,0.2357917,0.2180238,-0.0177679
8,-0.47092524,-0.3882435,"('open', 'distant')",1.0239071,1.0725777,0.2764909,0.3421671,0.0656762
76,0.4625402,0.4786029,"('secure', 'insecure')",-0.25611198,-0.39448076,0.1032141,0.0420611,-0.061153
50,0.46170455,0.3597221,"('unprejudiced', 'prejudiced')",2.4974093,2.3457124,1.4795569,1.3527173,-0.1268396
44,0.45662966,0.3895992,"('truthful', 'untruthful')",-1.0502793,-1.0505736,-0.2968248,-0.3304872,-0.0336624
110,0.45233196,0.44594914,"('narrow-minded', 'open-minded')",0.20299102,0.08157921,0.3276615,0.2637642,-0.0638973
58,-0.4494173,-0.45855832,"('able', 'clumsy')",-1.9668676,-1.9417025,-1.2081424,-1.2001305,0.0080119
87,0.41280475,0.38826638,"('dedicated', 'undedicated')",-0.9341625,-0.80697924,-0.2606789,-0.2093564,0.0513225
104,-0.4089006,-0.12214905,"('conventional', 'unconventional')",-0.8936192,-0.5166974,-0.6512599,-0.3194232,0.3318367
101,-0.40730512,-0.4501808,"('successful', 'unsuccessful')",-2.0361576,-1.8054595,-1.2217314,-1.1278201,0.0939113
39,-0.4017667,-0.26885694,"('right', 'wrong')",0.31192005,0.5375889,-0.0449233,0.134366,0.1792893
97,-0.3933863,-0.2936418,"('superior', 'inferior')",-1.1821775,-1.0645268,-0.787782,-0.6790843,0.1086977
41,0.3910045,0.5550368,"('incorrupt', 'corrupt')",1.7075706,2.043691,1.0492876,1.2993639,0.2500763
34,-0.37811852,-0.26995295,"('loyal', 'disloyal')",-1.952559,-1.8180134,-1.1653388,-1.0439832,0.1213556
25,0.361264,0.25002402,"('moral', 'immoral')",-0.66990954,-0.86645496,-0.1543228,-0.3082155,-0.1538927
30,0.35288042,0.25704798,"('honest', 'dishonest')",-0.64388895,-0.610849,-0.1455043,-0.1769005,-0.0313962
18,0.34187233,0.41366327,"('social', 'asocial')",-1.1269926,-1.1898576,-0.3925601,-0.3880972,0.0044629
36,-0.33182526,-0.41871637,"('tolerant', 'intolerant')",-1.0738385,-1.2501924,-0.7028319,-0.8344544,-0.1316225
