,Value 1,0,1,Value 2,female-male,tuple
75,7.978696,confident,shy,7.7595587,-0.21913719,"('confident', 'shy')"
27,-6.5750885,sincere,insincere,-6.5014353,0.07365322,"('sincere', 'insincere')"
6,6.4109535,liked,disliked,5.986245,-0.42470837,"('liked', 'disliked')"
95,-6.129907,rich,poor,-6.2620153,-0.13210821,"('rich', 'poor')"
53,-5.4622545,smart,stupid,-5.011244,0.4510107,"('smart', 'stupid')"
40,-4.793044,honorable,mean,-4.9376597,-0.14461565,"('honorable', 'mean')"
86,3.4656916,self-reliant,helpless,3.2005208,-0.2651708,"('self-reliant', 'helpless')"
48,3.143542,reliable,unreliable,2.711818,-0.43172407,"('reliable', 'unreliable')"
13,-3.1353292,helpful,unhelpful,-3.4049222,-0.269593,"('helpful', 'unhelpful')"
66,2.916102,imaginative,unimaginative,2.6964421,-0.2196598,"('imaginative', 'unimaginative')"
46,2.8218842,generous,stingy,2.950183,0.12829876,"('generous', 'stingy')"
34,-2.6029778,loyal,disloyal,-2.4301558,0.172822,"('loyal', 'disloyal')"
38,-2.5460002,kind,unkind,-2.4851239,0.06087637,"('kind', 'unkind')"
37,2.3900778,good,evil,2.5637712,0.17369342,"('good', 'evil')"
3,2.3772058,likable,unlikable,2.025926,-0.35127974,"('likable', 'unlikable')"
11,-2.2793097,caring,unaffectionate,-2.3259258,-0.046616077,"('caring', 'unaffectionate')"
81,2.2377956,industrious,lazy,2.3315792,0.09378362,"('industrious', 'lazy')"
78,1.8470992,active,inactive,1.4106278,-0.43647134,"('active', 'inactive')"
50,1.751477,unprejudiced,prejudiced,1.7011847,-0.050292253,"('unprejudiced', 'prejudiced')"
63,-1.7431446,capable,incapable,-1.6638961,0.07924855,"('capable', 'incapable')"
1,-1.7402507,friendly,unfriendly,-1.4893162,0.25093448,"('friendly', 'unfriendly')"
58,-1.7328709,able,clumsy,-1.5784156,0.1544553,"('able', 'clumsy')"
33,-1.6959532,softhearted,hardhearted,-1.4315662,0.264387,"('softhearted', 'hardhearted')"
28,-1.6504512,honest,dishonest,-1.5488076,0.10164356,"('honest', 'dishonest')"
88,1.5787522,impulsive,meek,1.550056,-0.02869618,"('impulsive', 'meek')"
10,-1.4469774,affectionate,unaffectionate,-1.1474755,0.2995019,"('affectionate', 'unaffectionate')"
29,-1.3860946,honest,immoral,-1.6131955,-0.22710097,"('honest', 'immoral')"
32,-1.3242309,benevolent,hardhearted,-0.9960108,0.32822013,"('benevolent', 'hardhearted')"
14,1.2947106,supportive,unsupportive,1.0018873,-0.2928233,"('supportive', 'unsupportive')"
65,-1.2893512,practical,impractical,-1.6549921,-0.36564088,"('practical', 'impractical')"
90,1.2858939,motivated,unmotivated,0.94529045,-0.34060347,"('motivated', 'unmotivated')"
73,-1.185557,brilliant,incompetent,-1.7535657,-0.56800866,"('brilliant', 'incompetent')"
103,1.1392293,traditional,modern,1.016998,-0.122231245,"('traditional', 'modern')"
49,-1.1365435,responsible,irresponsible,-1.3386805,-0.202137,"('responsible', 'irresponsible')"
70,1.121305,wise,unwise,1.2303226,0.10901761,"('wise', 'unwise')"
41,1.1060352,incorrupt,corrupt,1.4635481,0.35751283,"('incorrupt', 'corrupt')"
35,1.0571426,fair,unfair,1.4133443,0.35620165,"('fair', 'unfair')"
7,1.0443369,outgoing,distant,0.90463245,-0.13970447,"('outgoing', 'distant')"
104,-1.0416945,conventional,unconventional,-0.8354895,0.20620501,"('conventional', 'unconventional')"
77,1.0401888,active,inactive,1.3186662,0.27847743,"('active', 'inactive')"
44,-1.0292089,truthful,untruthful,-1.2338196,-0.2046107,"('truthful', 'untruthful')"
43,-1.0242671,genuine,fake,-0.9250083,0.09925878,"('genuine', 'fake')"
64,-1.0069656,clever,incompetent,-1.2759216,-0.26895595,"('clever', 'incompetent')"
56,0.9938582,intelligent,dumb,1.05961,0.06575179,"('intelligent', 'dumb')"
101,-0.9845844,successful,unsuccessful,-1.2654289,-0.2808445,"('successful', 'unsuccessful')"
26,0.979427,trustworthy,untrustworthy,0.8591015,-0.120325506,"('trustworthy', 'untrustworthy')"
22,0.95372635,welcoming,disagreeable,1.1289902,0.17526382,"('welcoming', 'disagreeable')"
105,-0.92146885,conventional,modern,-0.79446465,0.1270042,"('conventional', 'modern')"
60,-0.91085696,educated,uneducated,-0.6966696,0.21418738,"('educated', 'uneducated')"
47,-0.9072041,forgiving,unforgiving,-0.8335177,0.07368642,"('forgiving', 'unforgiving')"
55,-0.87775934,intelligent,unintelligent,-0.88495976,-0.00720042,"('intelligent', 'unintelligent')"
