;Dictionary;Term1;Synset1;Definition1;Example1;Synset2;Term2;Definition2;Example2
0;Sociability;sociable;sociable.a.01;inclined to or conducive to companionship with others;a sociable occasion;unsociable.a.01;unsociable;not inclined to society or companionship;an unsociable nature shy and reserved
1;Sociability;friendly;friendly.a.01;characteristic of or befitting a friend;friendly advice;unfriendly.a.02;unfriendly;not disposed to friendship or friendliness;an unfriendly coldness of manner
4;Sociability;likable;likable.s.02;easy to like and agreeable;an attractive and likable young person;unlikable.s.02;unlikable;difficult or impossible to like;a disagreeable and unlikable old person
5;Sociability;pleasant;pleasant.s.02;having pleasing manners or behavior;I didn't enjoy it and probably wasn't a pleasant person to be around;rebarbative.s.01;repellent;serving or tending to repel;they became repellent and prickly and spiteful
6;Sociability;liked;liked.a.01;found pleasant or attractive;a well liked teacher;disliked.a.01;disliked;regarded with aversion;the person was intensely disliked
7;Sociability;outgoing;extroverted.s.02;at ease in talking to others;they have always been very outgoing and got heaps of friends;aloof.s.01;distant;remote in manner;they were distant even cool towards them
8;Sociability;open;candid.s.03;openly straightforward and direct without reserve or secretiveness;they are pretty open and outgoing;aloof.s.01;distant;remote in manner;they were distant even cool towards them
9;Sociability;sensitive;sensitive.a.02;being susceptible to the attitudes feelings or circumstances of others;sensitive to the local community and its needs;insensitive.a.02;insensitive;deficient in human sensibility not mentally or morally sensitive;insensitive to the needs of the patients
10;Sociability;affectionate;affectionate.s.01;having or displaying warmth or affection;affectionate children;detached.s.05;unaffectionate;lacking affection or warm feeling;an uncaring unaffectionate person
11;Sociability;caring;caring.s.01;feeling and exhibiting concern and empathy for others;caring friends;detached.s.05;unaffectionate;lacking affection or warm feeling;an uncaring unaffectionate person
12;Sociability;sympathetic;charitable.s.03;showing or motivated by sympathy and understanding and generosity;sympathetic in their opinions of others;unkindly.s.01;unsympathetic;lacking in sympathy and kindness;but their nature was cold unsympathetic and calculating
13;Sociability;helpful;helpful.a.01;providing assistance or serving a useful function;people are friendly and helpful;unhelpful.a.01;unhelpful;providing no assistance;several complained that the staff were unhelpful
14;Sociability;supportive;supportive.a.01;furnishing support or assistance;a supportive family network;unsupportive.a.01;unsupportive;not furnishing support or assistance;the family environment is unsupportive
15;Sociability;polite;polite.a.01;showing regard for others in manners speech behavior;they thought the person was wrong but were too polite to say so;impolite.a.01;impolite;not polite;it would have been impolite to refuse
16;Sociability;social;social.s.04;composed of sociable people or formed for the purpose of sociability;a purely social club;antisocial.s.01;antisocial;shunning contact with others;standoffish and antisocial
19;Sociability;funny;amusing.s.02;arousing or provoking laughter;an funny film with a steady stream of pranks and pratfalls;boring.s.01;boring;so lacking in interest as to cause mental weariness;a boring evening with uninteresting people
20;Sociability;popular;popular.a.01;regarded with great favor approval or affection especially by the general public;a popular tourist attraction;unpopular.a.01;unpopular;regarded with disfavor or lacking general approval;unpopular ideas
21;Sociability;nice;nice.a.01;pleasant or pleasing or agreeable in nature or appearance;what a nice fellow you are and we all thought you so nasty;nasty.a.01;nasty;offensive or even malicious of persons;in a nasty mood
22;Sociability;welcoming;welcoming.s.01;very cordial;a welcoming smile;disagreeable.s.02;disagreeable;unpleasant to interact with;a disagreeable old person
23;Sociability;hospitable;hospitable.a.02;disposed to treat guests and strangers with cordiality and generosity;a good-natured and hospitable person;inhospitable.a.02;inhospitable;not hospitable;they are extremely inhospitable these days
24;Sociability;thoughtful;thoughtful.s.05;considerate of the feelings or well-being of others;brows drawn together in thoughtful consideration;harsh.s.04;rough;unkind or cruel or uncivil;had rough and harsh words
