,Dictionary,term,term preproc,PoS,sense,Dir,Synset,Definition,Examples,Antonyms,New_Example
2,Sociability,sociable,sociable,ADJECTIVE,1,high,sociable.a.01,inclined to or conducive to companionship with others,a sociable occasion,unsociable.a.01,
3,Sociability,unsociable,unsociable,ADJECTIVE,1,low,unsociable.a.01,not inclined to society or companionship,an unsociable nature...shy and reserved,sociable.a.01,
8,Sociability,friendly,friendly,ADJECTIVE,1,high,friendly.a.01,characteristic of or befitting a friend,friendly advice,unfriendly.a.02,
9,Sociability,friendly,friendly,ADJECTIVE,2,high,friendly.s.02,inclined to help or support; not antagonistic or hostile,a government friendly to our interests,,
10,Sociability,unfriendly,unfriendly,ADJECTIVE,2,low,unfriendly.a.02,not disposed to friendship or friendliness,an unfriendly coldness of manner,friendly.a.01,
11,Sociability,unfriendly,unfriendly,ADJECTIVE,3,low,unfriendly.s.03,not friendly,an unfriendly act of aggression,,
12,Sociability,cold,cold,ADJECTIVE,2,low,cold.a.02,extended meanings; especially of psychological coldness; without human warmth or emotion,a cold unfriendly nod,hot.a.03,
14,Sociability,warm,warm,ADJECTIVE,2,high,warm.a.02,psychologically warm; friendly and responsive,a warm greeting,cool.a.04,
17,Sociability,likable,likable,ADJECTIVE,1,high,sympathetic.a.04,(of characters in literature or drama) evoking empathic or sympathetic feelings,the sympathetic characters in the play,unsympathetic.a.02,
18,Sociability,likable,likable,ADJECTIVE,2,high,likable.s.02,easy to like; agreeable,an attractive and likable young man,,
19,Sociability,repellent,repellent,ADJECTIVE,1,low,rebarbative.s.01,serving or tending to repel,he became rebarbative and prickly and spiteful,,
20,Sociability,pleasant,pleasant,ADJECTIVE,2,high,pleasant.s.02,(of persons) having pleasing manners or behavior,I didn't enjoy it and probably wasn't a pleasant person to be around,,
21,Sociability,unpleasant,unpleasant,ADJECTIVE,1,low,unpleasant.a.01,"disagreeable to the senses, to the mind, or feelings",an unpleasant personality,pleasant.a.01,
22,Sociability,unlikable,unlikable,ADJECTIVE,1,low,unsympathetic.a.02,(of characters in literature or drama) tending to evoke antipathetic feelings,all the characters were peculiarly unsympathetic,sympathetic.a.04,
23,Sociability,unlikable,unlikable,ADJECTIVE,2,low,unlikable.s.02,difficult or impossible to like,a disagreeable and unlikable old woman,,
