,Comcast_male,Comcast_female,tuple,average_male,average_female,female-male
94,2.8255548,3.0249252,"('aggressive', 'submissive')",2.825554847717285,3.0249252319335938,0.1993703842163086
52,2.552791,2.8085775,"('competitive', 'uncompetitive')",2.552791118621826,2.808577537536621,0.2557864189147949
75,2.384411,2.3316808,"('confident', 'shy')",2.384411096572876,2.3316807746887207,-0.05273032188415527
12,2.357133,2.6068256,"('sympathetic', 'unsympathetic')",2.357132911682129,2.606825590133667,0.24969267845153809
99,-2.30228,-2.6312418,"('prestigious', 'insignificant')",-2.3022799491882324,-2.631241798400879,-0.3289618492126465
2,2.2350092,2.6060052,"('friendly', 'unfriendly')",2.23500919342041,2.6060051918029785,0.37099599838256836
71,2.2176833,2.3436334,"('efficient', 'inefficient')",2.2176833152770996,2.3436334133148193,0.12595009803771973
16,2.148406,2.149251,"('social', 'antisocial')",2.1484060287475586,2.1492509841918945,0.0008449554443359375
107,2.071227,2.0034177,"('conventional', 'modern')",2.0712270736694336,2.003417730331421,-0.0678093433380127
15,1.9744956,2.2402132,"('polite', 'impolite')",1.9744956493377686,2.24021315574646,0.2657175064086914
31,-1.9365737,-1.9983101,"('altruistic', 'egoistic')",-1.9365737438201904,-1.9983100891113281,-0.061736345291137695
104,-1.9023125,-1.7876365,"('conventional', 'unconventional')",-1.9023125171661377,-1.7876365184783936,0.11467599868774414
49,1.8954645,1.9817988,"('responsible', 'irresponsible')",1.895464539527893,1.981798768043518,0.086334228515625
51,1.8806138,1.8674898,"('competent', 'incompetent')",1.8806138038635254,1.8674898147583008,-0.01312398910522461
98,-1.8398519,-2.0902295,"('prestigious', 'insignificant')",-1.8398518562316895,-2.0902295112609863,-0.2503776550292969
65,1.7827978,1.8304677,"('practical', 'impractical')",1.7827978134155273,1.830467700958252,0.04766988754272461
41,-1.7610333,-1.8776742,"('incorrupt', 'corrupt')",-1.761033296585083,-1.8776742219924927,-0.11664092540740967
64,1.7319272,1.8171377,"('clever', 'incompetent')",1.7319271564483643,1.8171377182006836,0.08521056175231934
66,1.7225392,1.7298748,"('imaginative', 'unimaginative')",1.7225391864776611,1.729874849319458,0.007335662841796875
0,1.7216501,2.059592,"('sociable', 'unsociable')",1.7216501235961914,2.0595920085906982,0.33794188499450684
89,1.7130665,1.8669181,"('daring', 'anxious')",1.7130664587020874,1.8669180870056152,0.15385162830352783
82,-1.6700536,-1.8759849,"('industrious', 'meek')",-1.6700536012649536,-1.8759849071502686,-0.20593130588531494
48,1.6449946,1.4812045,"('reliable', 'unreliable')",1.6449946165084839,1.4812045097351074,-0.16379010677337646
83,1.6351445,1.8187832,"('energetic', 'lethargic')",1.6351444721221924,1.818783164024353,0.18363869190216064
76,1.633891,1.9479753,"('secure', 'insecure')",1.633890986442566,1.9479752779006958,0.3140842914581299
42,-1.6276896,-1.7498478,"('amicable', 'hostile')",-1.6276895999908447,-1.7498477697372437,-0.12215816974639893
61,-1.6274238,-1.535494,"('rational', 'irrational')",-1.6274237632751465,-1.5354939699172974,0.09192979335784912
25,1.62428,1.7449803,"('moral', 'immoral')",1.6242799758911133,1.7449803352355957,0.12070035934448242
81,-1.5116166,-1.8789442,"('industrious', 'lazy')",-1.511616587638855,-1.8789441585540771,-0.36732757091522217
8,-1.4919559,-1.8109796,"('open', 'distant')",-1.4919558763504028,-1.8109796047210693,-0.3190237283706665
69,-1.4752741,-1.6247308,"('wise', 'foolish')",-1.4752740859985352,-1.6247308254241943,-0.14945673942565918
92,-1.4707305,-1.7164065,"('unwavering', 'wavering')",-1.4707305431365967,-1.7164064645767212,-0.2456759214401245
109,1.4300845,1.4966648,"('conservative', 'liberal')",1.430084466934204,1.4966647624969482,0.06658029556274414
108,1.4300845,1.4966648,"('conservative', 'liberal')",1.430084466934204,1.4966647624969482,0.06658029556274414
13,1.3231157,1.502413,"('helpful', 'unhelpful')",1.3231157064437866,1.502413034439087,0.1792973279953003
14,1.3129852,1.1734402,"('supportive', 'unsupportive')",1.3129851818084717,1.1734402179718018,-0.13954496383666992
5,1.307878,1.321693,"('pleasant', 'repellent')",1.307878017425537,1.321692943572998,0.013814926147460938
37,-1.3010315,-1.7056415,"('good', 'evil')",-1.301031470298767,-1.705641508102417,-0.4046100378036499
56,1.27793,1.218118,"('intelligent', 'dumb')",1.2779300212860107,1.2181179523468018,-0.059812068939208984
93,1.2761228,1.4641361,"('dominating', 'dominated')",1.276122808456421,1.4641361236572266,0.18801331520080566
19,-1.2726989,-1.2661812,"('funny', 'boring')",-1.2726988792419434,-1.266181230545044,0.006517648696899414
73,1.2707441,1.2520742,"('brilliant', 'incompetent')",1.2707440853118896,1.2520742416381836,-0.018669843673706055
36,1.2569708,1.3733692,"('tolerant', 'intolerant')",1.256970763206482,1.3733692169189453,0.11639845371246338
20,-1.1600423,-1.3032931,"('popular', 'unpopular')",-1.1600422859191895,-1.3032931089401245,-0.14325082302093506
