,J._male,J._female,tuple,B._male,B._female,Hunt_male,Hunt_female,average_male,average_female,female-male
75,2.4277804,2.2920184,"('confident', 'shy')",1.5129819,1.5151646,6.817392,6.983678,3.5860513051350913,3.5969537099202475,0.01090240478515625
25,-2.21876,-2.2676954,"('moral', 'immoral')",-3.4663773,-3.1111388,-0.16911626,-0.510379,-1.9514179229736328,-1.9630710283915203,-0.011653105417887444
87,-2.06775,-1.7721378,"('dedicated', 'undedicated')",-2.2598805,-1.8567216,-0.6578467,-0.7544732,-1.6618258158365886,-1.4611109097798665,0.20071490605672215
51,-2.006054,-2.040309,"('competent', 'incompetent')",-2.8825388,-2.6371882,-0.5632483,-0.5276708,-1.8172802925109863,-1.735055923461914,0.08222436904907227
70,1.9057868,1.8004489,"('wise', 'unwise')",1.446543,1.2874937,0.48889872,0.58825713,1.2804094950358074,1.2253998915354412,-0.05500960350036621
74,-1.8852025,-2.028522,"('insightful', 'unperceptive')",-1.8326683,-1.9520167,-0.44434744,-0.6497671,-1.3874060312906902,-1.5434352556864421,-0.15602922439575195
101,-1.8804898,-1.7773888,"('successful', 'unsuccessful')",-1.7400943,-1.4241385,-0.8254542,-0.5975057,-1.4820127487182617,-1.266344388326009,0.21566836039225268
38,-1.8273798,-1.5025357,"('kind', 'unkind')",-1.6422961,-1.0744317,-2.3877392,-2.066013,-1.9524717330932617,-1.547660191853841,0.40481154123942065
50,1.7991014,1.8431493,"('unprejudiced', 'prejudiced')",1.2141864,1.1125511,2.2203958,2.107467,1.7445611953735352,1.6877225240071614,-0.05683867136637377
71,-1.7836269,-1.9798435,"('efficient', 'inefficient')",-2.3434985,-2.0750642,-0.07177472,-0.7291161,-1.3996334075927734,-1.5946745872497559,-0.19504117965698242
88,1.7304821,2.0712748,"('impulsive', 'meek')",1.5029137,1.4330131,1.3030449,1.3638582,1.5121469497680664,1.6227153142293294,0.11056836446126295
0,-1.7122903,-1.6269116,"('sociable', 'unsociable')",-1.8458145,-1.4486891,-0.8032884,-0.4970053,-1.4537976582845051,-1.190868616104126,0.26292904218037916
106,-1.678407,-1.5511148,"('conventional', 'unconventional')",-0.95096976,-0.8031846,-0.25011855,-0.10520108,-0.959831714630127,-0.819833517074585,0.139998197555542
64,-1.6619443,-1.6138585,"('clever', 'incompetent')",-2.463181,-2.0257826,-1.2913623,-1.3977954,-1.8054958979288738,-1.6791454950968425,0.12635040283203125
37,1.5959463,1.6404656,"('good', 'evil')",2.873007,2.4278288,2.124118,2.2165775,2.1976903279622397,2.0949573516845703,-0.10273297627766942
28,-1.5694659,-1.601999,"('honest', 'dishonest')",-2.0392127,-1.8888997,-2.2877276,-2.2761593,-1.9654687245686848,-1.9223526318868,0.043116092681884766
61,1.5568435,1.598922,"('rational', 'irrational')",1.925935,1.8311405,0.9975381,1.2693589,1.4934388796488445,1.5664738019307454,0.0730349222819009
30,-1.53968,-1.5203128,"('honest', 'dishonest')",-1.9847507,-1.8406906,-0.7476984,-0.7031163,-1.4240430196126301,-1.354706605275472,0.0693364143371582
73,-1.4662913,-1.9081086,"('brilliant', 'incompetent')",-3.2191286,-3.3728952,-0.6240111,-1.1299018,-1.7698103586832683,-2.1369686126708984,-0.36715825398763013
52,-1.4460353,-1.4696809,"('competitive', 'uncompetitive')",-1.0462232,-0.9761025,-0.2725751,-0.35991248,-0.9216112295786539,-0.9352319240570068,-0.013620694478352902
2,-1.4455645,-1.3546002,"('friendly', 'unfriendly')",-1.8183203,-1.2673613,-1.1795201,-1.1796856,-1.4811350504557292,-1.2672157287597656,0.21391932169596362
78,1.4402803,1.0298656,"('active', 'inactive')",1.7518938,1.1803235,2.2440338,1.8128595,1.812069257100423,1.341016133626302,-0.4710531234741211
98,1.3764627,0.9821253,"('prestigious', 'insignificant')",0.3044423,-0.19284904,-0.38100985,-0.526401,0.43329838911692303,0.08762508630752563,-0.3456733028093974
92,1.3673924,1.3335853,"('unwavering', 'wavering')",0.23295116,-0.012518987,-0.022813827,0.024092346,0.5258432626724243,0.44838619232177734,-0.07745707035064697
12,-1.3436815,-1.3544042,"('sympathetic', 'unsympathetic')",-1.8186877,-1.3859743,-1.4253663,-1.4146643,-1.5292452176411946,-1.3850142161051433,0.14423100153605128
72,-1.3406078,-1.529866,"('logical', 'illogical')",-1.4483986,-1.3222078,-0.65987843,-0.4801575,-1.1496282418568928,-1.1107436815897624,0.038884560267130386
27,-1.3379972,-1.3556728,"('sincere', 'insincere')",-2.1281009,-1.9266119,-6.1749363,-6.395893,-3.2136780420939126,-3.2260592778523765,-0.012381235758463838
77,1.3016509,1.5093089,"('active', 'inactive')",1.1338325,1.2721882,0.5053997,0.86140525,0.980294386545817,1.2143007914225261,0.2340064048767091
