,LyondellBasell_male,LyondellBasell_female,tuple,average_male,average_female,female-male
75,1.8722355,1.8395293,"('confident', 'shy')",1.8722355365753174,1.839529275894165,-0.032706260681152344
109,1.5978873,1.5704052,"('conservative', 'liberal')",1.5978872776031494,1.5704052448272705,-0.027482032775878906
108,1.5978873,1.5704052,"('conservative', 'liberal')",1.5978872776031494,1.5704052448272705,-0.027482032775878906
107,1.4367166,1.5782037,"('conventional', 'modern')",1.4367165565490723,1.5782036781311035,0.14148712158203125
2,1.3992295,1.3274428,"('friendly', 'unfriendly')",1.3992295265197754,1.3274427652359009,-0.07178676128387451
94,1.3651444,1.3519884,"('aggressive', 'submissive')",1.3651443719863892,1.351988434791565,-0.013155937194824219
103,1.3591055,1.3803144,"('traditional', 'modern')",1.3591054677963257,1.3803143501281738,0.021208882331848145
27,-1.3451234,-1.3155898,"('sincere', 'insincere')",-1.3451234102249146,-1.3155897855758667,0.02953362464904785
76,1.3321453,1.1280607,"('secure', 'insecure')",1.3321453332901,1.1280606985092163,-0.2040846347808838
95,-1.3258477,-1.3634118,"('rich', 'poor')",-1.3258477449417114,-1.363411784172058,-0.03756403923034668
53,-1.3077202,-1.4321039,"('smart', 'stupid')",-1.3077201843261719,-1.4321038722991943,-0.12438368797302246
1,-1.2674905,-1.0688045,"('friendly', 'unfriendly')",-1.2674905061721802,-1.0688045024871826,0.19868600368499756
6,1.2571784,1.3818312,"('liked', 'disliked')",1.2571784257888794,1.381831169128418,0.12465274333953857
69,-1.2391264,-1.2429657,"('wise', 'foolish')",-1.239126443862915,-1.2429656982421875,-0.003839254379272461
16,1.2123648,1.007406,"('social', 'antisocial')",1.2123647928237915,1.0074059963226318,-0.20495879650115967
15,1.2038965,1.2310021,"('polite', 'impolite')",1.2038965225219727,1.2310020923614502,0.02710556983947754
41,-1.1418583,-1.0335089,"('incorrupt', 'corrupt')",-1.1418583393096924,-1.0335088968276978,0.10834944248199463
0,1.1404343,1.1990347,"('sociable', 'unsociable')",1.1404342651367188,1.1990346908569336,0.058600425720214844
93,1.1290771,1.0108564,"('dominating', 'dominated')",1.1290770769119263,1.0108563899993896,-0.11822068691253662
71,1.1224048,0.9662449,"('efficient', 'inefficient')",1.1224048137664795,0.9662448763847351,-0.15615993738174438
40,-1.12113,-1.2041633,"('honorable', 'mean')",-1.1211299896240234,-1.2041633129119873,-0.08303332328796387
