,Devon_male,Devon_female,tuple,Energy_male,Energy_female,average_male,average_female,female-male
75,4.499984,4.0529222,"('confident', 'shy')",4.231817,4.3811846,4.365900039672852,4.217053413391113,-0.14884662628173828
95,-3.6083903,-3.6185412,"('rich', 'poor')",-4.3685555,-4.600958,-3.9884729385375977,-4.109749794006348,-0.12127685546875
27,-3.3245592,-3.3401365,"('sincere', 'insincere')",-5.0571012,-5.1870246,-4.190830230712891,-4.263580322265625,-0.07275009155273438
1,-2.5743976,-1.8102095,"('friendly', 'unfriendly')",-1.4947081,-1.5528017,-2.034552812576294,-1.6815056800842285,0.35304713249206543
53,-2.5395856,-2.3627467,"('smart', 'stupid')",-4.7705526,-4.886426,-3.65506911277771,-3.624586343765259,0.030482769012451172
62,-2.522523,-1.6882393,"('creative', 'uncreative')",-1.1806245,-1.1672808,-1.8515737056732178,-1.427760124206543,0.4238135814666748
68,-2.4657168,-2.4762335,"('clever', 'inept')",-0.8852843,-1.0242932,-1.6755006313323975,-1.7502633333206177,-0.07476270198822021
107,2.369933,1.9598746,"('conventional', 'modern')",1.303526,1.2869473,1.8367295265197754,1.623410940170288,-0.2133185863494873
11,-2.3453093,-2.3195255,"('caring', 'unaffectionate')",-1.9852233,-2.1505709,-2.165266275405884,-2.235048294067383,-0.06978201866149902
40,-2.1940744,-2.2268295,"('honorable', 'mean')",-4.417768,-4.826338,-3.3059210777282715,-3.526583671569824,-0.22066259384155273
50,2.0363367,1.7519826,"('unprejudiced', 'prejudiced')",1.5305269,1.5307946,1.7834317684173584,1.6413886547088623,-0.1420431137084961
109,2.0338495,1.67836,"('conservative', 'liberal')",0.26427877,0.41092554,1.149064064025879,1.0446428060531616,-0.10442125797271729
108,2.0338495,1.67836,"('conservative', 'liberal')",0.26427877,0.41092554,1.149064064025879,1.0446428060531616,-0.10442125797271729
10,-1.8926729,-1.2733452,"('affectionate', 'unaffectionate')",-0.84094787,-0.8618451,-1.3668103218078613,-1.06759512424469,0.2992151975631714
