,mattel_male,mattel_female,tuple,average_male,average_female,female-male
75,2.9218736,3.0386708,"('confident', 'shy')",2.9218735694885254,3.038670778274536,0.11679720878601074
76,1.7758914,1.9554579,"('secure', 'insecure')",1.7758914232254028,1.9554579257965088,0.17956650257110596
107,1.7178828,1.8922622,"('conventional', 'modern')",1.717882752418518,1.8922622203826904,0.17437946796417236
27,-1.5621179,-1.366825,"('sincere', 'insincere')",-1.5621179342269897,-1.366824984550476,0.19529294967651367
1,-1.488623,-1.4709907,"('friendly', 'unfriendly')",-1.488623023033142,-1.4709906578063965,0.017632365226745605
41,-1.4102489,-1.5353465,"('incorrupt', 'corrupt')",-1.410248875617981,-1.535346508026123,-0.1250976324081421
53,-1.401491,-1.4159971,"('smart', 'stupid')",-1.4014910459518433,-1.4159971475601196,-0.014506101608276367
16,1.3987848,1.7471483,"('social', 'antisocial')",1.3987847566604614,1.7471482753753662,0.3483635187149048
15,1.3951864,1.6649207,"('polite', 'impolite')",1.395186424255371,1.664920687675476,0.269734263420105
81,-1.3932903,-1.7197838,"('industrious', 'lazy')",-1.3932902812957764,-1.7197837829589844,-0.326493501663208
31,-1.3837211,-1.6234533,"('altruistic', 'egoistic')",-1.383721113204956,-1.6234532594680786,-0.23973214626312256
40,-1.3631313,-1.6069351,"('honorable', 'mean')",-1.3631312847137451,-1.6069351434707642,-0.24380385875701904
95,-1.2533863,-1.310349,"('rich', 'poor')",-1.2533862590789795,-1.3103489875793457,-0.05696272850036621
6,1.2527888,1.3655825,"('liked', 'disliked')",1.252788782119751,1.3655824661254883,0.1127936840057373
109,1.2333784,1.2302852,"('conservative', 'liberal')",1.2333784103393555,1.2302851676940918,-0.003093242645263672
108,1.2333784,1.2302852,"('conservative', 'liberal')",1.2333784103393555,1.2302851676940918,-0.003093242645263672
84,-1.2290049,-1.3550487,"('self-confident', 'diffident')",-1.2290048599243164,-1.355048656463623,-0.12604379653930664
50,1.2236377,1.0664072,"('unprejudiced', 'prejudiced')",1.2236377000808716,1.0664072036743164,-0.15723049640655518
82,-1.1671185,-1.4400493,"('industrious', 'meek')",-1.1671185493469238,-1.4400492906570435,-0.27293074131011963
10,-1.1665384,-1.0316184,"('affectionate', 'unaffectionate')",-1.1665383577346802,-1.031618356704712,0.13492000102996826
58,1.1525016,1.3905665,"('able', 'clumsy')",1.1525015830993652,1.3905664682388306,0.23806488513946533
11,-1.142542,-1.066092,"('caring', 'unaffectionate')",-1.1425420045852661,-1.0660920143127441,0.07644999027252197
