,pepsi_male,pepsi_female,tuple,bottling_male,bottling_female,group_male,group_female,average_male,average_female,female-male
75,6.7622795,6.511716,"('confident', 'shy')",3.2272449,3.1480107,4.939724,4.994638,4.976416269938151,4.884788513183594,-0.09162775675455759
27,-5.862636,-5.4313726,"('sincere', 'insincere')",-2.4329948,-2.5083394,-5.1970997,-5.0562353,-4.49757703145345,-4.331982294718425,0.16559473673502545
95,-5.669645,-5.285016,"('rich', 'poor')",-2.698367,-2.8061233,-3.739601,-3.919509,-4.035870869954427,-4.003549257914226,0.03232161204020123
6,5.5707464,5.08821,"('liked', 'disliked')",2.791428,2.8701956,5.14769,4.9535933,4.503288269042969,4.303999582926433,-0.19928868611653616
40,-4.579701,-4.5902267,"('honorable', 'mean')",-2.0914378,-2.379949,-3.7605674,-4.0388713,-3.477235476175944,-3.669682184855143,-0.19244670867919922
53,-4.579512,-4.3849955,"('smart', 'stupid')",-2.758001,-2.8626566,-3.3292239,-3.3949473,-3.555578867594401,-3.5475330352783203,0.008045832316080581
48,3.240047,2.9862828,"('reliable', 'unreliable')",1.4285054,1.3551341,1.9948481,1.8933095,2.221133550008138,2.0782421429951987,-0.14289140701293945
66,3.0483851,3.0113587,"('imaginative', 'unimaginative')",1.5485325,1.6381799,1.5726814,1.6003358,2.0565330187479653,2.0832913716634116,0.02675835291544626
86,2.7574315,2.427141,"('self-reliant', 'helpless')",0.8335142,0.7480061,2.2760673,2.1689343,1.955670992533366,1.7813604672749836,-0.1743105252583823
13,-2.5989382,-2.5296242,"('helpful', 'unhelpful')",-0.55494606,-0.57474244,-2.1762795,-2.3006935,-1.7767213185628254,-1.8016867637634277,-0.024965445200602288
46,2.2430882,2.1771164,"('generous', 'stingy')",1.9976015,1.992729,1.3247952,1.3744605,1.8551616668701172,1.8481019337972004,-0.007059733072916741
50,2.2330236,2.019588,"('unprejudiced', 'prejudiced')",0.90056676,0.90362006,1.9148343,1.5773686,1.68280824025472,1.5001921653747559,-0.18261607487996412
3,2.122123,2.0761142,"('likable', 'unlikable')",1.3817176,1.3752408,1.2558029,1.1621326,1.5865478515625,1.5378292401631672,-0.048718611399332756
56,2.1154637,2.0764797,"('intelligent', 'dumb')",0.53411734,0.57874453,1.733365,1.6238256,1.4609820048014324,1.4263499577840169,-0.03463204701741551
11,-2.032943,-2.0334272,"('caring', 'unaffectionate')",-0.41567916,-0.41697955,-1.4942008,-1.4447865,-1.3142743110656738,-1.2983977794647217,0.01587653160095215
1,-2.0120664,-1.9502476,"('friendly', 'unfriendly')",-0.21378902,-0.36678773,-1.4762433,-1.2522011,-1.2340328693389893,-1.1897455056508381,0.044287363688151116
34,-1.902755,-1.6840076,"('loyal', 'disloyal')",-0.7717459,-0.67294276,-1.5511099,-1.3560905,-1.4085369110107422,-1.2376802762349446,0.1708566347757976
81,1.80779,1.4338055,"('industrious', 'lazy')",-0.06329119,-0.21392575,1.9114699,1.8021244,1.2186562220255535,1.0073347091674805,-0.211321512858073
63,-1.7666035,-1.7792045,"('capable', 'incapable')",-0.8011602,-0.9016993,-0.41913867,-0.4962123,-0.9956341584523519,-1.0590387185414631,-0.06340456008911122
38,-1.6898538,-1.4000077,"('kind', 'unkind')",-0.46912533,-0.25359747,-1.9359932,-1.716505,-1.3649908701578777,-1.123370091120402,0.24162077903747559
32,-1.6874039,-1.5365365,"('benevolent', 'hardhearted')",-1.3583436,-1.253107,-1.4164578,-1.2690787,-1.487401803334554,-1.3529073397318523,0.13449446360270167
28,-1.6637133,-1.6048021,"('honest', 'dishonest')",-0.4037864,-0.5768944,-1.6285405,-1.560349,-1.2320133845011394,-1.247348467508952,-0.0153350830078125
105,-1.5009778,-1.438988,"('conventional', 'modern')",-0.21408269,-0.24969657,-0.7391451,-0.56725574,-0.8180685043334961,-0.7519801457722982,0.06608835856119788
37,1.4456208,1.2439482,"('good', 'evil')",1.7180258,1.48118,1.7279257,1.7371286,1.6305241584777832,1.4874189694722493,-0.14310518900553393
55,-1.3632681,-1.295908,"('intelligent', 'unintelligent')",-0.026791215,-0.12255567,-0.9549765,-0.8100181,-0.7816785971323649,-0.7428272565205892,0.03885134061177564
78,1.3586315,0.9390196,"('active', 'inactive')",1.4567659,1.0441927,2.1415029,1.8283441,1.6523000399271648,1.2705187797546387,-0.3817812601725261
102,-1.3533771,-1.3207929,"('eminent', 'low')",-0.3533128,-0.2936252,0.32175678,0.4106063,-0.46164433161417645,-0.40127062797546387,0.060373703638712584
82,1.3426203,1.211728,"('industrious', 'meek')",-0.48775575,-0.40021116,1.5385609,1.6063236,0.7978084882100424,0.8059468269348145,0.008138338724772098
99,-1.337858,-1.4455398,"('prestigious', 'insignificant')",-0.48963475,-0.49593347,0.77678156,0.5511234,-0.35023705164591473,-0.46344995498657227,-0.11321290334065753
65,-1.3171147,-1.178153,"('practical', 'impractical')",-0.6265919,-0.73795664,-2.043039,-2.0109487,-1.328915278116862,-1.309019406636556,0.019895871480306138
88,1.3043628,1.1810753,"('impulsive', 'meek')",0.18375078,0.27489638,2.2571058,2.0581946,1.2484064102172852,1.1713887850443523,-0.07701762517293287
10,-1.2730182,-1.2869883,"('affectionate', 'unaffectionate')",-0.3446207,-0.2236142,-0.797673,-0.87591875,-0.8051039377848307,-0.7955071131388346,0.009596824645996094
22,1.2383068,1.3297045,"('welcoming', 'disagreeable')",1.2262945,1.1302605,0.9713837,0.89815235,1.1453283627827961,1.1193724473317463,-0.025955915451049805
49,-1.2154361,-1.1891952,"('responsible', 'irresponsible')",-0.032127082,-0.18756169,-2.1645157,-2.230853,-1.137359619140625,-1.202536662419637,-0.06517704327901197
26,1.1964386,1.3323967,"('trustworthy', 'untrustworthy')",0.82385516,0.91163653,-0.3533585,-0.23793119,0.5556450684865316,0.6687006950378418,0.11305562655131018
97,-1.1887661,-1.0806079,"('superior', 'inferior')",-0.89068985,-0.8038558,-0.6158573,-0.5000367,-0.8984377384185791,-0.7948335011800131,0.10360423723856604
68,-1.1872157,-1.225148,"('clever', 'inept')",-0.36848807,-0.4732538,-0.7937468,-1.0387912,-0.7831501960754395,-0.9123976230621338,-0.12924742698669434
58,-1.1797433,-0.84873426,"('able', 'clumsy')",-0.49771598,-0.4171323,-1.2572565,-1.2748418,-0.978238582611084,-0.8469027678171793,0.13133581479390466
74,-1.1522218,-1.031235,"('insightful', 'unperceptive')",0.16820708,0.14150745,-1.6465073,-1.5502472,-0.8768406709035238,-0.8133249282836914,0.0635157426198324
33,-1.1287462,-1.0937063,"('softhearted', 'hardhearted')",0.62557256,0.5516065,-1.077182,-0.89437354,-0.5267852147420248,-0.4788244565327962,0.04796075820922857
73,-1.0733839,-1.1723276,"('brilliant', 'incompetent')",-0.060779274,-0.259726,-1.2650023,-1.4658844,-0.7997217973073324,-0.9659793376922607,-0.16625754038492835
29,-1.0618527,-0.9158554,"('honest', 'immoral')",-0.21483174,-0.38740423,-1.5789661,-1.2909399,-0.9518834749857584,-0.8647332191467285,0.08715025583902991
41,1.0507363,0.98348105,"('incorrupt', 'corrupt')",0.48973894,0.45403272,1.6210029,1.6867807,1.0538260142008464,1.0414315064748128,-0.012394507726033677
16,1.0029261,1.430903,"('social', 'antisocial')",0.33487713,0.46612054,-1.141745,-0.8689836,0.06535275777180989,0.3426799376805623,0.27732717990875244
100,-0.99593467,-0.6019124,"('influential', 'uninfluential')",-0.07101256,0.084353924,-1.0314844,-0.7394237,-0.6994771957397461,-0.4189940293629964,0.2804831663767497
44,-0.9869916,-1.1262115,"('truthful', 'untruthful')",-0.62559247,-0.6641008,-0.33773977,-0.59370875,-0.6501079400380453,-0.7946736812591553,-0.14456574122111
77,0.9186036,0.99656695,"('active', 'inactive')",0.3912117,0.60218513,1.0798613,1.1776149,0.7965588569641113,0.925455649693807,0.12889679272969568
