,pulte_male,pulte_female,tuple,group_male,group_female,average_male,average_female,female-male
75,1.9379245,1.87898,"('confident', 'shy')",4.939724,4.994638,3.43882417678833,3.4368090629577637,-0.0020151138305664062
5,1.278393,1.0444155,"('pleasant', 'repellent')",-0.39181098,-0.37406296,0.4432910084724426,0.3351762592792511,-0.10811474919319153
78,1.2156315,1.2841417,"('active', 'inactive')",2.1415029,1.8283441,1.6785671710968018,1.5562429428100586,-0.12232422828674316
14,1.1895971,1.2683938,"('supportive', 'unsupportive')",0.23018403,-0.03547913,0.709890604019165,0.6164573431015015,-0.09343326091766357
43,-1.1366715,-0.9796492,"('genuine', 'fake')",-0.969697,-1.0235386,-1.0531842708587646,-1.001593828201294,0.0515904426574707
19,-1.1311629,-1.0604991,"('funny', 'boring')",0.2915444,0.2404201,-0.4198092222213745,-0.410039484500885,0.009769737720489502
90,1.1311051,1.0254147,"('motivated', 'unmotivated')",0.1419695,0.14157754,0.6365373134613037,0.58349609375,-0.05304121971130371
2,1.1105305,0.8454089,"('friendly', 'unfriendly')",-1.1833041,-0.83397424,-0.03638678789138794,0.005717337131500244,0.042104125022888184
41,-1.102584,-0.4962717,"('incorrupt', 'corrupt')",1.6210029,1.6867807,0.25920945405960083,0.5952544808387756,0.3360450267791748
100,1.0950916,0.9872593,"('influential', 'uninfluential')",-1.0314844,-0.7394237,0.03180360794067383,0.12391781806945801,0.09211421012878418
71,1.0897521,0.58070683,"('efficient', 'inefficient')",-1.6916533,-1.684596,-0.3009505867958069,-0.5519445538520813,-0.2509939670562744
66,1.0683956,1.1815765,"('imaginative', 'unimaginative')",1.5726814,1.6003358,1.3205385208129883,1.390956163406372,0.07041764259338379
6,1.0387549,1.4213076,"('liked', 'disliked')",5.14769,4.9535933,3.0932223796844482,3.187450408935547,0.09422802925109863
16,1.0266161,0.52204263,"('social', 'antisocial')",-1.141745,-0.8689836,-0.05756443738937378,-0.17347049713134766,-0.11590605974197388
21,1.0126426,1.0831087,"('nice', 'nasty')",1.1140192,0.8075779,1.063330888748169,0.9453432559967041,-0.11798763275146484
70,1.0026519,1.3205491,"('wise', 'unwise')",1.4460618,1.4543662,1.2243568897247314,1.3874576091766357,0.1631007194519043
27,-0.96134716,-1.0969944,"('sincere', 'insincere')",-5.1970997,-5.0562353,-3.079223394393921,-3.0766148567199707,0.0026085376739501953
94,0.94753253,0.7070279,"('aggressive', 'submissive')",-0.23002794,-0.15579748,0.3587523102760315,0.27561521530151367,-0.08313709497451782
40,-0.9249593,-0.9656633,"('honorable', 'mean')",-3.7605674,-4.0388713,-2.3427634239196777,-2.502267360687256,-0.15950393676757812
4,-0.9020319,-0.98206866,"('likable', 'unlikable')",-0.38389045,-0.46535423,-0.6429611444473267,-0.7237114310264587,-0.08075028657913208
51,0.86991477,0.73971385,"('competent', 'incompetent')",-0.7016839,-0.645089,0.08411544561386108,0.04731243848800659,-0.03680300712585449
12,0.85768586,0.84919673,"('sympathetic', 'unsympathetic')",-1.5432942,-1.4397454,-0.3428041636943817,-0.2952743470668793,0.04752981662750244
9,0.8276744,0.7088782,"('sensitive', 'insensitive')",-1.3231671,-1.3260179,-0.24774634838104248,-0.3085698187351227,-0.0608234703540802
69,-0.7808509,-0.5841059,"('wise', 'foolish')",1.0712998,0.98728347,0.1452244520187378,0.20158877968788147,0.05636432766914368
39,-0.75758326,-0.41236,"('right', 'wrong')",0.3137683,0.48879585,-0.22190748155117035,0.03821791708469391,0.26012539863586426
53,-0.75665486,-1.0384257,"('smart', 'stupid')",-3.3292239,-3.3949473,-2.0429394245147705,-2.216686487197876,-0.17374706268310547
55,0.72682905,0.7641817,"('intelligent', 'unintelligent')",-0.9549765,-0.8100181,-0.1140737235546112,-0.022918224334716797,0.09115549921989441
91,0.72198,0.7540858,"('resilient', 'nonresilient')",-0.565452,-0.3666001,0.07826399803161621,0.19374284148216248,0.11547884345054626
76,0.7104423,0.57255715,"('secure', 'insecure')",-0.8066608,-0.61894083,-0.048109233379364014,-0.023191839456558228,0.024917393922805786
0,0.6949712,0.7192117,"('sociable', 'unsociable')",-1.1157601,-0.7282528,-0.21039444208145142,-0.0045205652713775635,0.20587387681007385
