,salesforce_male,salesforce_female,tuple,com_male,com_female,average_male,average_female,female-male
27,-3.3843524,-3.47518,"('sincere', 'insincere')",-5.60606,-5.4832387,-4.495206356048584,-4.4792094230651855,0.015996932983398438
53,-3.1372712,-3.2873397,"('smart', 'stupid')",-4.252325,-4.4253774,-3.694797992706299,-3.856358528137207,-0.1615605354309082
6,3.1272922,3.2523437,"('liked', 'disliked')",5.24927,5.411914,4.188281059265137,4.332128524780273,0.14384746551513672
75,3.0285413,2.9920676,"('confident', 'shy')",6.0006495,6.0160646,4.5145955085754395,4.504065990447998,-0.010529518127441406
95,-2.7850368,-2.9954402,"('rich', 'poor')",-5.1872234,-5.337693,-3.9861302375793457,-4.166566848754883,-0.1804366111755371
40,-2.3641477,-2.602682,"('honorable', 'mean')",-4.2222524,-4.525619,-3.2932000160217285,-3.56415057182312,-0.2709505558013916
37,1.7025946,1.68648,"('good', 'evil')",1.4230278,1.6534071,1.5628111362457275,1.6699435710906982,0.1071324348449707
66,1.5712144,1.6405914,"('imaginative', 'unimaginative')",1.7958336,1.8452561,1.6835240125656128,1.7429237365722656,0.05939972400665283
13,-1.5602057,-1.6572144,"('helpful', 'unhelpful')",-2.8874292,-2.8914385,-2.2238173484802246,-2.2743263244628906,-0.050508975982666016
48,1.5210589,1.1689322,"('reliable', 'unreliable')",1.9297165,2.0593026,1.725387692451477,1.6141173839569092,-0.11127030849456787
46,1.4730966,1.4776385,"('generous', 'stingy')",1.626811,1.7474656,1.549953818321228,1.6125520467758179,0.06259822845458984
32,-1.3860762,-1.1318777,"('benevolent', 'hardhearted')",-1.696332,-1.4282718,-1.5412040948867798,-1.2800747156143188,0.26112937927246094
11,-1.3708833,-1.33597,"('caring', 'unaffectionate')",-1.7121985,-1.7146534,-1.5415408611297607,-1.5253117084503174,0.01622915267944336
103,1.26245,1.3299725,"('traditional', 'modern')",1.265577,1.074685,1.2640135288238525,1.2023286819458008,-0.06168484687805176
28,-1.1981407,-1.1412612,"('honest', 'dishonest')",-1.8190253,-1.8397722,-1.5085830688476562,-1.4905166625976562,0.01806640625
38,-1.1607484,-1.182915,"('kind', 'unkind')",-2.085675,-1.8440335,-1.6232116222381592,-1.5134742259979248,0.10973739624023438
97,-1.0992315,-1.0408447,"('superior', 'inferior')",-0.7552769,-0.4771376,-0.9272541999816895,-0.7589911222457886,0.16826307773590088
22,0.9964606,0.84522563,"('welcoming', 'disagreeable')",0.43899047,0.58341324,0.7177255153656006,0.7143194675445557,-0.003406047821044922
