,meta_male,meta_female,tuple,platforms_male,platforms_female,average_male,average_female,female-male
75,7.4159107,7.6283817,"('confident', 'shy')",2.8725586,2.7318692,5.144234657287598,5.1801252365112305,0.03589057922363281
27,-5.6863904,-6.0294247,"('sincere', 'insincere')",-3.7389374,-3.8072371,-4.712663650512695,-4.918331146240234,-0.20566749572753906
6,5.4932795,5.987733,"('liked', 'disliked')",3.093139,3.1127388,4.293209075927734,4.550235748291016,0.25702667236328125
95,-5.41629,-5.806171,"('rich', 'poor')",-2.5132494,-2.720146,-3.9647696018218994,-4.263158321380615,-0.2983887195587158
40,-4.8272877,-5.369463,"('honorable', 'mean')",-2.674621,-2.8458972,-3.7509543895721436,-4.107680320739746,-0.35672593116760254
53,-4.824518,-4.6832843,"('smart', 'stupid')",-2.419667,-2.372434,-3.6220927238464355,-3.5278592109680176,0.09423351287841797
3,2.7429447,2.7934446,"('likable', 'unlikable')",0.54993105,0.5130492,1.6464378833770752,1.6532468795776367,0.0068089962005615234
48,2.6629944,2.697336,"('reliable', 'unreliable')",1.4018538,1.1544969,2.032423973083496,1.9259164333343506,-0.10650753974914551
66,2.5000913,2.654673,"('imaginative', 'unimaginative')",0.7707871,0.62072694,1.635439157485962,1.637700080871582,0.002260923385620117
32,-2.3009038,-2.0102377,"('benevolent', 'hardhearted')",-1.0355868,-1.0211004,-1.6682453155517578,-1.5156691074371338,0.15257620811462402
78,2.2776046,1.89711,"('active', 'inactive')",1.023154,0.8405412,1.6503793001174927,1.3688255548477173,-0.2815537452697754
99,-2.2250051,-1.9897606,"('prestigious', 'insignificant')",-0.34979928,-0.15466952,-1.2874021530151367,-1.0722150802612305,0.21518707275390625
86,2.212574,2.3416643,"('self-reliant', 'helpless')",2.860879,2.8194876,2.536726474761963,2.580575942993164,0.04384946823120117
1,-2.142859,-2.0053437,"('friendly', 'unfriendly')",-1.7048236,-1.573169,-1.9238412380218506,-1.7892563343048096,0.13458490371704102
58,-1.9698522,-2.0112224,"('able', 'clumsy')",-0.66377306,-0.6332321,-1.3168126344680786,-1.3222272396087646,-0.005414605140686035
46,1.8884947,2.0916557,"('generous', 'stingy')",0.60589385,0.63424015,1.2471942901611328,1.362947940826416,0.1157536506652832
63,-1.8720553,-1.7798277,"('capable', 'incapable')",0.5369247,0.47824934,-0.6675652861595154,-0.650789201259613,0.016776084899902344
11,-1.7979145,-1.6586968,"('caring', 'unaffectionate')",-1.7621623,-1.7353941,-1.7800383567810059,-1.6970454454421997,0.08299291133880615
13,-1.7873535,-2.1039279,"('helpful', 'unhelpful')",-2.0117357,-2.2154808,-1.899544596672058,-2.1597042083740234,-0.26015961170196533
50,1.6811092,1.6003997,"('unprejudiced', 'prejudiced')",1.943531,1.9359107,1.8123201131820679,1.7681552171707153,-0.04416489601135254
34,-1.6308188,-1.6021155,"('loyal', 'disloyal')",-2.0597663,-1.6753103,-1.845292568206787,-1.6387128829956055,0.20657968521118164
109,1.6079779,1.1843678,"('conservative', 'liberal')",-0.9690432,-0.9484105,0.31946733593940735,0.11797863245010376,-0.2014887034893036
108,1.6079779,1.1843678,"('conservative', 'liberal')",-0.9690432,-0.9484105,0.31946733593940735,0.11797863245010376,-0.2014887034893036
38,-1.5869833,-1.4464284,"('kind', 'unkind')",-1.3782076,-1.3327299,-1.482595443725586,-1.389579176902771,0.09301626682281494
