,lumen_male,lumen_female,tuple,techologies_male,techologies_female,average_male,average_female,female-male
75,3.349707,3.0265303,"('confident', 'shy')",2.173541,2.1783357,2.7616238594055176,2.6024329662323,-0.15919089317321777
95,-2.5488334,-2.672709,"('rich', 'poor')",-2.171792,-2.0600672,-2.3603127002716064,-2.3663880825042725,-0.006075382232666016
6,2.5021417,2.6197615,"('liked', 'disliked')",2.4175563,2.377106,2.4598488807678223,2.4984335899353027,0.03858470916748047
27,-2.3617933,-2.4448063,"('sincere', 'insincere')",-3.0902648,-2.8667798,-2.7260289192199707,-2.6557931900024414,0.0702357292175293
78,2.161041,1.9167833,"('active', 'inactive')",1.4902903,1.3848243,1.8256657123565674,1.650803804397583,-0.17486190795898438
53,-2.065398,-2.1457863,"('smart', 'stupid')",-2.3466706,-2.4570522,-2.2060341835021973,-2.301419258117676,-0.09538507461547852
90,1.9557748,1.5498364,"('motivated', 'unmotivated')",-0.16169897,-0.12520096,0.897037923336029,0.712317705154419,-0.1847202181816101
40,-1.8164731,-1.9258597,"('honorable', 'mean')",-2.422369,-2.547453,-2.1194210052490234,-2.2366561889648438,-0.11723518371582031
4,-1.5117627,-1.5325842,"('likable', 'unlikable')",-0.5906154,-0.49878964,-1.0511890649795532,-1.0156868696212769,0.03550219535827637
66,1.4859345,1.4127386,"('imaginative', 'unimaginative')",-0.13083693,-0.12842894,0.6775487661361694,0.6421548128128052,-0.03539395332336426
70,1.4232821,1.3823118,"('wise', 'unwise')",0.77959573,0.80622923,1.1014389991760254,1.0942704677581787,-0.00716853141784668
58,-1.409241,-1.5163102,"('able', 'clumsy')",-0.9736738,-0.76495147,-1.1914573907852173,-1.140630841255188,0.0508265495300293
32,-1.390083,-1.2514648,"('benevolent', 'hardhearted')",-0.092984036,-0.010515019,-0.7415335178375244,-0.6309899091720581,0.11054360866546631
46,1.3807261,1.4823891,"('generous', 'stingy')",1.406161,1.4474977,1.3934435844421387,1.4649434089660645,0.07149982452392578
38,-1.3697199,-1.1754283,"('kind', 'unkind')",-1.8820813,-1.5118666,-1.6259005069732666,-1.3436474800109863,0.2822530269622803
1,-1.274544,-1.0091748,"('friendly', 'unfriendly')",-0.1819812,-0.113948286,-0.7282626032829285,-0.5615615844726562,0.16670101881027222
34,-1.1806164,-0.99130744,"('loyal', 'disloyal')",-0.5034865,-0.2925455,-0.8420514464378357,-0.6419264674186707,0.20012497901916504
13,-1.1697901,-1.4067516,"('helpful', 'unhelpful')",-2.9153886,-2.7364445,-2.0425894260406494,-2.0715980529785156,-0.02900862693786621
2,1.1445935,0.99148977,"('friendly', 'unfriendly')",-1.2113723,-1.0262007,-0.033389389514923096,-0.01735544204711914,0.016033947467803955
91,1.1226453,1.0267481,"('resilient', 'nonresilient')",-0.02346421,-0.040877074,0.549590528011322,0.4929354786872864,-0.056655049324035645
37,1.1124885,1.1690565,"('good', 'evil')",1.9203837,1.7543977,1.5164361000061035,1.4617271423339844,-0.05470895767211914
77,1.0709434,1.3551061,"('active', 'inactive')",0.9551805,0.9729979,1.0130620002746582,1.1640520095825195,0.15099000930786133
10,-1.0359279,-0.8170296,"('affectionate', 'unaffectionate')",1.0256616,0.99632907,-0.005133152008056641,0.0896497368812561,0.09478288888931274
31,-1.0004928,-0.7620615,"('altruistic', 'egoistic')",0.72368336,0.8303971,-0.1384047269821167,0.0341678261756897,0.1725725531578064
28,-0.9914001,-0.9440441,"('honest', 'dishonest')",-0.021630049,0.1274719,-0.5065150856971741,-0.40828609466552734,0.09822899103164673
21,0.9504829,0.85922235,"('nice', 'nasty')",0.58245856,0.5717503,0.766470730304718,0.7154862880706787,-0.05098444223403931
65,-0.9409451,-1.4263204,"('practical', 'impractical')",-1.7399664,-1.6976662,-1.3404557704925537,-1.5619933605194092,-0.22153759002685547
11,-0.9085557,-0.66895026,"('caring', 'unaffectionate')",-0.14542344,-0.043740228,-0.5269895792007446,-0.3563452363014221,0.1706443428993225
94,0.8690703,0.7988713,"('aggressive', 'submissive')",-0.8891799,-0.723081,-0.010054796934127808,0.037895143032073975,0.04794993996620178
52,0.79098165,0.49342334,"('competitive', 'uncompetitive')",-0.75904053,-0.64141667,0.015970557928085327,-0.0739966630935669,-0.08996722102165222
63,-0.78863496,-0.54392433,"('capable', 'incapable')",-0.66334355,-0.52926016,-0.7259892225265503,-0.5365922451019287,0.18939697742462158
18,-0.7751422,-0.85416484,"('social', 'asocial')",-0.43692404,-0.29650337,-0.6060330867767334,-0.5753340721130371,0.03069901466369629
50,0.76537853,0.75319546,"('unprejudiced', 'prejudiced')",0.27913254,0.16387351,0.522255539894104,0.45853447914123535,-0.06372106075286865
71,0.75646806,0.02453196,"('efficient', 'inefficient')",-2.1654606,-2.1126003,-0.7044962644577026,-1.0440342426300049,-0.33953797817230225
104,-0.7361069,-0.3602577,"('conventional', 'unconventional')",0.54070395,0.7162549,-0.09770146012306213,0.1779986023902893,0.27570006251335144
87,-0.7255331,-1.0623792,"('dedicated', 'undedicated')",-1.0834901,-0.9866958,-0.9045116305351257,-1.0245375633239746,-0.12002593278884888
16,0.70829266,0.3030489,"('social', 'antisocial')",-0.91702217,-0.7355054,-0.10436475276947021,-0.21622824668884277,-0.11186349391937256
14,0.6967028,0.5386678,"('supportive', 'unsupportive')",-0.24504787,-0.2554285,0.22582745552062988,0.14161965250968933,-0.08420780301094055
54,0.6828469,0.5048679,"('smart', 'stupid')",-0.6531277,-0.7496742,0.014859616756439209,-0.12240314483642578,-0.137262761592865
103,0.6689337,0.7484497,"('traditional', 'modern')",0.32367703,0.49006572,0.49630534648895264,0.6192576885223389,0.12295234203338623
81,0.6547909,0.78607565,"('industrious', 'lazy')",0.31138572,0.1498514,0.48308831453323364,0.4679635167121887,-0.015124797821044922
48,0.64713275,0.62111604,"('reliable', 'unreliable')",0.58557564,0.54857814,0.61635422706604,0.584847092628479,-0.031507134437561035
12,0.64163566,0.48930955,"('sympathetic', 'unsympathetic')",-0.6524896,-0.42561784,-0.005426973104476929,0.031845852732658386,0.037272825837135315
5,0.61714965,0.29043874,"('pleasant', 'repellent')",-0.22462624,-0.17716575,0.1962617039680481,0.056636497378349304,-0.1396252065896988
109,0.602208,0.5941202,"('conservative', 'liberal')",-0.6902864,-0.5960363,-0.04403918981552124,-0.0009580552577972412,0.043081134557724
108,0.602208,0.5941202,"('conservative', 'liberal')",-0.6902864,-0.5960363,-0.04403918981552124,-0.0009580552577972412,0.043081134557724
39,-0.5881464,-0.23424503,"('right', 'wrong')",0.47611606,0.57217455,-0.05601516366004944,0.16896475851535797,0.2249799221754074
86,0.5762077,0.71596897,"('self-reliant', 'helpless')",0.44995332,0.3521953,0.5130804777145386,0.5340821146965027,0.02100163698196411
19,-0.5721104,-0.4368764,"('funny', 'boring')",-0.45876825,-0.54729545,-0.5154393315315247,-0.49208593368530273,0.023353397846221924
55,0.56218827,0.3950785,"('intelligent', 'unintelligent')",-1.0739175,-0.8890301,-0.25586462020874023,-0.24697579443454742,0.00888882577419281
35,0.5542896,0.71237004,"('fair', 'unfair')",0.59226,0.6680274,0.5732747912406921,0.6901987195014954,0.11692392826080322
7,0.552623,0.6413318,"('outgoing', 'distant')",1.0284363,0.82542634,0.7905296087265015,0.733379065990448,-0.05715054273605347
83,0.5501602,0.43751854,"('energetic', 'lethargic')",-0.8376047,-0.7370339,-0.14372223615646362,-0.14975768327713013,-0.006035447120666504
85,0.5382364,0.45489284,"('ambitious', 'unambitious')",0.05589962,0.090684265,0.2970679998397827,0.27278855443000793,-0.02427944540977478
105,-0.51304066,-0.3541893,"('conventional', 'modern')",0.48668277,0.5862347,-0.01317894458770752,0.11602269113063812,0.12920163571834564
80,0.5120182,0.5388839,"('independent', 'dependent')",0.06733617,0.18932731,0.2896772027015686,0.36410561203956604,0.07442840933799744
9,0.47209638,0.23942554,"('sensitive', 'insensitive')",-1.0941533,-1.0155015,-0.31102845072746277,-0.3880379796028137,-0.07700952887535095
