,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,average_male,average_female,female-male
75,3.045404,3.1973457,"('confident', 'shy')",1.3633094,1.1580514,2.2043566703796387,2.1776986122131348,-0.026658058166503906
27,-2.5908065,-2.967972,"('sincere', 'insincere')",-0.29204246,-0.09600219,-1.4414244890213013,-1.5319870710372925,-0.09056258201599121
95,-2.476788,-2.724954,"('rich', 'poor')",-0.7107626,-0.6156315,-1.5937752723693848,-1.6702927350997925,-0.07651746273040771
40,-2.128518,-2.4325414,"('honorable', 'mean')",-0.4258898,-0.48631656,-1.277203917503357,-1.4594290256500244,-0.18222510814666748
32,-2.1181717,-1.7112257,"('benevolent', 'hardhearted')",-0.1781578,-0.17450392,-1.1481647491455078,-0.9428648352622986,0.20529991388320923
1,-2.1003582,-1.2239847,"('friendly', 'unfriendly')",0.090002805,0.06680372,-1.0051777362823486,-0.5785905122756958,0.42658722400665283
53,-2.073011,-2.4666095,"('smart', 'stupid')",-0.27425036,-0.19588326,-1.1736305952072144,-1.3312463760375977,-0.1576157808303833
68,-1.6080871,-1.4184158,"('clever', 'inept')",-0.19691901,-0.6197648,-0.9025030136108398,-1.0190902948379517,-0.11658728122711182
104,-1.5595026,-0.9146025,"('conventional', 'unconventional')",-0.60388076,-0.7147316,-1.0816917419433594,-0.8146670460700989,0.2670246958732605
105,-1.491988,-0.96461546,"('conventional', 'modern')",-1.2633629,-1.2683177,-1.3776754140853882,-1.1164665222167969,0.2612088918685913
94,1.4657084,0.7152383,"('aggressive', 'submissive')",1.3951207,1.4599464,1.4304145574569702,1.087592363357544,-0.34282219409942627
15,1.4120405,0.9295938,"('polite', 'impolite')",1.2639201,1.559931,1.3379802703857422,1.2447624206542969,-0.09321784973144531
109,1.3776639,0.62327003,"('conservative', 'liberal')",1.0852404,0.9112728,1.2314521074295044,0.7672713994979858,-0.46418070793151855
108,1.3776639,0.62327003,"('conservative', 'liberal')",1.0852404,0.9112728,1.2314521074295044,0.7672713994979858,-0.46418070793151855
86,1.3741333,1.3330224,"('self-reliant', 'helpless')",-1.4478923,-1.6698577,-0.03687947988510132,-0.16841769218444824,-0.13153821229934692
107,1.3738263,1.3952923,"('conventional', 'modern')",-0.12830997,0.28706586,0.622758150100708,0.8411790728569031,0.21842092275619507
6,1.3383592,2.2184486,"('liked', 'disliked')",0.052627325,-0.1230056,0.6954932808876038,1.0477215051651,0.35222822427749634
34,-1.3163888,-1.0553551,"('loyal', 'disloyal')",-0.5109677,-0.26814786,-0.9136782884597778,-0.6617514491081238,0.25192683935165405
11,-1.2260506,-0.7607187,"('caring', 'unaffectionate')",-0.34056035,-0.24480581,-0.7833054661750793,-0.5027622580528259,0.2805432081222534
19,-1.199672,-0.7873022,"('funny', 'boring')",-0.26302105,-0.035149127,-0.7313464879989624,-0.41122567653656006,0.32012081146240234
62,-1.1930692,-0.69498193,"('creative', 'uncreative')",0.011921957,0.10437743,-0.5905736088752747,-0.29530224204063416,0.2952713668346405
54,1.1652391,0.867578,"('smart', 'stupid')",1.0981097,0.6826695,1.1316744089126587,0.7751237750053406,-0.3565506339073181
10,-1.095214,-0.18475585,"('affectionate', 'unaffectionate')",-0.20642558,-0.045080453,-0.6508197784423828,-0.11491815000772476,0.535901628434658
35,-1.0382855,-0.5735743,"('fair', 'unfair')",-0.060956523,-0.0250106,-0.5496209859848022,-0.2992924451828003,0.25032854080200195
63,-1.0321269,-0.7223213,"('capable', 'incapable')",-0.75144094,-0.8029311,-0.8917839527130127,-0.7626261711120605,0.12915778160095215
103,0.99596924,0.8379385,"('traditional', 'modern')",0.6311292,0.53240144,0.8135492205619812,0.6851699352264404,-0.12837928533554077
78,0.9277284,1.0092078,"('active', 'inactive')",0.41542137,0.15157637,0.6715748906135559,0.5803921222686768,-0.09118276834487915
50,0.9039846,0.5383283,"('unprejudiced', 'prejudiced')",0.5440618,0.45535862,0.7240232229232788,0.49684345722198486,-0.22717976570129395
31,-0.9030985,-0.28390905,"('altruistic', 'egoistic')",0.025153935,-0.044002444,-0.4389722943305969,-0.16395574808120728,0.27501654624938965
67,-0.89705026,-0.7521262,"('discriminating', 'undiscriminating')",0.26391137,0.3609585,-0.316569447517395,-0.19558386504650116,0.12098558247089386
28,-0.89310884,-1.114388,"('honest', 'dishonest')",0.44900215,0.47506514,-0.22205334901809692,-0.3196614384651184,-0.09760808944702148
5,0.8525994,0.37797743,"('pleasant', 'repellent')",0.6204083,0.6311839,0.7365038394927979,0.5045806765556335,-0.2319231629371643
58,-0.8469331,-1.1835127,"('able', 'clumsy')",0.50983274,0.5986502,-0.16855019330978394,-0.2924312353134155,-0.12388104200363159
60,0.8198321,0.45035878,"('educated', 'uneducated')",0.7713547,0.8097503,0.7955933809280396,0.6300545334815979,-0.16553884744644165
4,-0.8150482,-0.82683337,"('likable', 'unlikable')",0.13626039,-0.032184184,-0.3393939137458801,-0.429508775472641,-0.09011486172676086
13,-0.78881836,-1.2180175,"('helpful', 'unhelpful')",0.3985163,0.6290589,-0.19515103101730347,-0.29447928071022034,-0.09932824969291687
47,-0.7783129,-0.50519085,"('forgiving', 'unforgiving')",1.1172738,1.2149565,0.16948044300079346,0.3548828363418579,0.18540239334106445
84,-0.758121,-0.30791777,"('self-confident', 'diffident')",-0.5300913,-0.6051295,-0.6441061496734619,-0.4565236270427704,0.18758252263069153
14,0.7404429,0.9501463,"('supportive', 'unsupportive')",0.33303332,0.29243362,0.5367380976676941,0.6212899684906006,0.0845518708229065
99,-0.730628,0.0945138,"('prestigious', 'insignificant')",-1.5023963,-1.7585478,-1.1165121793746948,-0.8320170044898987,0.28449517488479614
2,0.72606117,0.036561377,"('friendly', 'unfriendly')",1.3913912,1.5909538,1.058726191520691,0.813757598400116,-0.24496859312057495
22,0.7144505,0.7615782,"('welcoming', 'disagreeable')",1.1659393,0.97969943,0.9401949048042297,0.8706388473510742,-0.06955605745315552
3,0.6908982,0.90102124,"('likable', 'unlikable')",0.4038098,0.4416442,0.547353982925415,0.6713327169418335,0.12397873401641846
23,0.67606604,1.0477078,"('hospitable', 'inhospitable')",-0.48927125,-0.56884223,0.09339739382266998,0.23943278193473816,0.14603538811206818
8,-0.62026304,-0.17177059,"('open', 'distant')",-0.8462569,-1.1370066,-0.7332599759101868,-0.6543886065483093,0.07887136936187744
12,0.6091304,0.14896408,"('sympathetic', 'unsympathetic')",1.311177,1.5039144,0.9601536989212036,0.8264392018318176,-0.133714497089386
77,0.6007169,0.70727074,"('active', 'inactive')",-0.14039446,-0.16426325,0.23016121983528137,0.271503746509552,0.04134252667427063
42,-0.5900848,0.5330485,"('amicable', 'hostile')",-0.31655982,-0.2171736,-0.45332229137420654,0.1579374521970749,0.6112597435712814
90,0.5835395,0.5696572,"('motivated', 'unmotivated')",0.8892926,0.6121417,0.7364160418510437,0.5908994674682617,-0.14551657438278198
65,-0.58099455,-0.94476044,"('practical', 'impractical')",0.35933024,0.23535085,-0.11083215475082397,-0.3547047972679138,-0.24387264251708984
92,-0.5762185,0.021543056,"('unwavering', 'wavering')",-1.6045027,-1.6270754,-1.0903606414794922,-0.8027662038803101,0.28759443759918213
25,0.57463396,0.0024655983,"('moral', 'immoral')",1.3473476,1.1126623,0.9609907865524292,0.5575639605522156,-0.4034268260002136
98,-0.5663718,-0.19846384,"('prestigious', 'insignificant')",-1.8493853,-2.038648,-1.207878589630127,-1.1185559034347534,0.08932268619537354
30,-0.5509174,-0.45996138,"('honest', 'dishonest')",0.27760872,0.34489486,-0.136654332280159,-0.05753326416015625,0.07912106812000275
36,0.5437364,-0.27950528,"('tolerant', 'intolerant')",0.71753037,0.7004832,0.6306333541870117,0.210488960146904,-0.4201443940401077
51,-0.54249275,-0.769092,"('competent', 'incompetent')",0.3040691,0.29543024,-0.1192118227481842,-0.23683089017868042,-0.11761906743049622
72,-0.5325469,-0.5880203,"('logical', 'illogical')",0.75799775,0.8898952,0.11272543668746948,0.15093743801116943,0.03821200132369995
46,0.53226566,0.8342983,"('generous', 'stingy')",0.033565976,0.034476243,0.2829158306121826,0.4343872666358948,0.15147143602371216
49,-0.48897725,-1.0866009,"('responsible', 'irresponsible')",0.4438199,0.41311574,-0.02257867157459259,-0.3367425799369812,-0.3141639083623886
