,cameron_male,cameron_female,tuple,international_male,international_female,average_male,average_female,female-male
75,5.724485,5.505515,"('confident', 'shy')",4.4129763,4.6069536,5.068730354309082,5.056234359741211,-0.012495994567871094
27,-5.4139633,-5.1812377,"('sincere', 'insincere')",-4.67974,-4.495806,-5.046851634979248,-4.838521957397461,0.2083296775817871
6,4.353918,4.1460342,"('liked', 'disliked')",3.815958,3.7379563,4.084938049316406,3.941995143890381,-0.1429429054260254
95,-4.3175974,-4.332914,"('rich', 'poor')",-3.2731223,-3.2933433,-3.7953598499298096,-3.8131284713745117,-0.01776862144470215
53,-3.96037,-3.7545877,"('smart', 'stupid')",-2.8855224,-2.967436,-3.4229462146759033,-3.3610119819641113,0.06193423271179199
11,-3.1880183,-3.077034,"('caring', 'unaffectionate')",-1.3934163,-1.3194525,-2.290717363357544,-2.1982431411743164,0.09247422218322754
40,-3.1458967,-3.2983327,"('honorable', 'mean')",-3.5743296,-3.7060323,-3.3601131439208984,-3.5021824836730957,-0.14206933975219727
34,-2.324955,-2.1726222,"('loyal', 'disloyal')",-1.3244035,-1.0854723,-1.8246792554855347,-1.6290472745895386,0.1956319808959961
86,2.2404542,1.9251732,"('self-reliant', 'helpless')",1.4598708,1.3292016,1.8501625061035156,1.6271873712539673,-0.22297513484954834
28,-2.1895142,-2.1803315,"('honest', 'dishonest')",-1.0566263,-0.88033825,-1.623070240020752,-1.5303348302841187,0.0927354097366333
50,2.1756608,2.005725,"('unprejudiced', 'prejudiced')",1.0950942,0.84423494,1.6353775262832642,1.4249799251556396,-0.2103976011276245
48,2.0938816,1.808071,"('reliable', 'unreliable')",0.8652761,0.8853814,1.4795788526535034,1.3467261791229248,-0.1328526735305786
13,-2.0236094,-1.8583848,"('helpful', 'unhelpful')",-2.80716,-2.5100725,-2.4153847694396973,-2.1842286586761475,0.2311561107635498
1,-2.0000572,-1.923871,"('friendly', 'unfriendly')",-1.1255764,-1.0788525,-1.562816858291626,-1.5013618469238281,0.06145501136779785
10,-1.9746797,-1.8709416,"('affectionate', 'unaffectionate')",-0.20973197,-0.30440617,-1.0922058820724487,-1.0876739025115967,0.004531979560852051
49,-1.7627945,-1.8328876,"('responsible', 'irresponsible')",-1.7443471,-1.6050742,-1.753570795059204,-1.7189809083938599,0.03458988666534424
44,-1.6944214,-1.7570423,"('truthful', 'untruthful')",-0.91262245,-0.89397854,-1.3035218715667725,-1.3255103826522827,-0.021988511085510254
29,-1.6360613,-1.5916367,"('honest', 'immoral')",-1.0073829,-0.7803881,-1.3217220306396484,-1.1860123872756958,0.13570964336395264
32,-1.6195881,-1.3886945,"('benevolent', 'hardhearted')",-1.9611683,-1.8494701,-1.790378212928772,-1.6190823316574097,0.1712958812713623
68,-1.5548546,-1.8897622,"('clever', 'inept')",-1.4584932,-1.5369847,-1.5066739320755005,-1.7133734226226807,-0.20669949054718018
105,-1.552415,-1.519523,"('conventional', 'modern')",1.1424013,1.0702004,-0.20500683784484863,-0.22466129064559937,-0.019654452800750732
87,-1.5376513,-1.4831789,"('dedicated', 'undedicated')",-1.5840076,-1.4616315,-1.5608294010162354,-1.472405195236206,0.0884242057800293
38,-1.4455022,-1.0548536,"('kind', 'unkind')",-1.8160008,-1.3723699,-1.6307514905929565,-1.2136117219924927,0.41713976860046387
58,-1.3452258,-1.1591141,"('able', 'clumsy')",-1.60957,-1.3727579,-1.4773979187011719,-1.265936017036438,0.2114619016647339
9,-1.3198527,-1.4401605,"('sensitive', 'insensitive')",-1.1136655,-0.8509408,-1.2167590856552124,-1.1455507278442383,0.07120835781097412
47,-1.3157519,-1.2512236,"('forgiving', 'unforgiving')",-0.67771614,-0.5561573,-0.9967340230941772,-0.9036904573440552,0.09304356575012207
33,-1.2926776,-1.1211717,"('softhearted', 'hardhearted')",-0.67043316,-0.6018776,-0.9815554022789001,-0.8615247011184692,0.12003070116043091
94,1.2065808,1.2315692,"('aggressive', 'submissive')",-0.13143872,0.30075985,0.5375710129737854,0.7661645412445068,0.22859352827072144
73,-1.2028062,-1.401769,"('brilliant', 'incompetent')",-1.6141058,-1.5568221,-1.4084560871124268,-1.4792954921722412,-0.07083940505981445
46,1.1685481,1.223704,"('generous', 'stingy')",1.5035864,1.4246156,1.3360671997070312,1.324159860610962,-0.011907339096069336
12,-1.1653364,-1.0863465,"('sympathetic', 'unsympathetic')",-1.2716076,-0.97232556,-1.2184720039367676,-1.0293359756469727,0.18913602828979492
65,-1.1402574,-1.2291629,"('practical', 'impractical')",-2.3834305,-2.0585659,-1.7618439197540283,-1.643864393234253,0.11797952651977539
98,-1.1324654,-1.3848644,"('prestigious', 'insignificant')",-0.04390247,-0.36697432,-0.5881839394569397,-0.8759194016456604,-0.2877354621887207
63,-1.119789,-1.3243103,"('capable', 'incapable')",-1.3205578,-1.2962096,-1.2201733589172363,-1.3102599382400513,-0.09008657932281494
30,-1.1070161,-1.2225896,"('honest', 'dishonest')",-1.0175533,-0.7693776,-1.0622847080230713,-0.9959836006164551,0.06630110740661621
66,1.1065097,1.1295035,"('imaginative', 'unimaginative')",1.235498,1.3372915,1.171003818511963,1.2333974838256836,0.0623936653137207
80,1.1003728,1.036895,"('independent', 'dependent')",-0.068887115,0.019133441,0.515742838382721,0.5280142426490784,0.012271404266357422
81,1.0986446,0.8146617,"('industrious', 'lazy')",0.8034052,0.49967223,0.9510248899459839,0.6571669578552246,-0.2938579320907593
43,-1.0933886,-1.0813699,"('genuine', 'fake')",-0.114418864,-0.1124223,-0.6039037108421326,-0.5968961119651794,0.007007598876953125
51,-1.0128495,-1.1199028,"('competent', 'incompetent')",-0.8389757,-0.6886757,-0.925912618637085,-0.9042892456054688,0.02162337303161621
104,-1.0044541,-0.76986337,"('conventional', 'unconventional')",-0.39736626,-0.4205701,-0.700910210609436,-0.5952167510986328,0.10569345951080322
