,first_male,first_female,tuple,horizon_male,horizon_female,average_male,average_female,female-male
95,-4.804778,-5.1172833,"('rich', 'poor')",-5.6610966,-5.868367,-5.232937335968018,-5.492825508117676,-0.2598881721496582
27,-4.675235,-4.926243,"('sincere', 'insincere')",-6.6785107,-6.9400787,-5.676872730255127,-5.933160781860352,-0.2562880516052246
75,4.4128246,4.5522933,"('confident', 'shy')",7.278061,7.405999,5.845442771911621,5.9791460037231445,0.13370323181152344
6,4.0717974,4.196121,"('liked', 'disliked')",6.22585,6.579496,5.1488237380981445,5.387808799743652,0.2389850616455078
40,-3.385627,-3.806797,"('honorable', 'mean')",-5.0407734,-5.4967904,-4.213200092315674,-4.651793479919434,-0.43859338760375977
53,-2.610916,-2.953095,"('smart', 'stupid')",-5.458845,-5.712139,-4.034880638122559,-4.332616806030273,-0.29773616790771484
86,2.4322543,2.1989298,"('self-reliant', 'helpless')",3.217302,3.3568337,2.8247780799865723,2.777881622314453,-0.04689645767211914
25,-2.3293183,-2.5863118,"('moral', 'immoral')",0.33074507,0.14021255,-0.9992865920066833,-1.2230496406555176,-0.22376304864883423
29,-2.3209224,-2.47477,"('honest', 'immoral')",-1.1239054,-1.5949512,-1.7224138975143433,-2.034860610961914,-0.3124467134475708
52,-2.3098016,-2.4020655,"('competitive', 'uncompetitive')",0.7172632,0.6134851,-0.7962691783905029,-0.8942902088165283,-0.09802103042602539
33,-2.299778,-2.1453865,"('softhearted', 'hardhearted')",-1.1002606,-1.4047376,-1.700019359588623,-1.775062084197998,-0.075042724609375
12,-2.2769296,-2.1380038,"('sympathetic', 'unsympathetic')",-0.7580229,-1.0700212,-1.5174763202667236,-1.6040124893188477,-0.08653616905212402
41,2.2465408,2.4474564,"('incorrupt', 'corrupt')",0.3394574,0.39928544,1.292999029159546,1.4233708381652832,0.1303718090057373
51,-2.2279663,-2.050774,"('competent', 'incompetent')",0.42209414,0.2068066,-0.9029361009597778,-0.9219837188720703,-0.01904761791229248
38,-2.1539512,-2.1497846,"('kind', 'unkind')",-1.6415814,-1.3707551,-1.897766351699829,-1.7602698802947998,0.1374964714050293
105,-2.1375923,-1.9809257,"('conventional', 'modern')",-1.3646986,-1.1808181,-1.7511454820632935,-1.580871820449829,0.17027366161346436
9,-2.1064672,-2.2414727,"('sensitive', 'insensitive')",-0.6033269,-1.021804,-1.3548970222473145,-1.6316382884979248,-0.27674126625061035
49,-2.0001607,-2.2094998,"('responsible', 'irresponsible')",-0.92178756,-1.2223032,-1.460974097251892,-1.715901494026184,-0.254927396774292
58,-1.9307644,-1.9955413,"('able', 'clumsy')",-1.9998175,-2.0152707,-1.9652910232543945,-2.005405902862549,-0.0401148796081543
81,1.8487161,1.8265294,"('industrious', 'lazy')",0.7805488,0.73527324,1.3146324157714844,1.280901312828064,-0.03373110294342041
34,-1.844079,-1.6112614,"('loyal', 'disloyal')",-1.5315821,-1.1591922,-1.6878305673599243,-1.3852267265319824,0.3026038408279419
64,-1.8142124,-1.7292492,"('clever', 'incompetent')",0.15032196,0.08362955,-0.8319452404975891,-0.8228098154067993,0.009135425090789795
