,alcoa_male,alcoa_female,tuple,average_male,average_female,female-male
75,1.5371954,1.2939599,"('confident', 'shy')",1.5371954441070557,1.2939598560333252,-0.24323558807373047
4,-1.527061,-1.7129276,"('likable', 'unlikable')",-1.5270609855651855,-1.7129275798797607,-0.1858665943145752
32,-1.4105495,-1.5262151,"('benevolent', 'hardhearted')",-1.410549521446228,-1.5262150764465332,-0.11566555500030518
70,1.2664986,1.552076,"('wise', 'unwise')",1.2664985656738281,1.552075982093811,0.2855774164199829
78,1.1766486,1.0151689,"('active', 'inactive')",1.1766486167907715,1.0151689052581787,-0.16147971153259277
21,1.0938354,1.0339785,"('nice', 'nasty')",1.0938353538513184,1.0339784622192383,-0.05985689163208008
15,0.9573863,0.8780331,"('polite', 'impolite')",0.957386314868927,0.8780331015586853,-0.0793532133102417
53,-0.93084264,-1.130791,"('smart', 'stupid')",-0.9308426380157471,-1.1307909488677979,-0.19994831085205078
99,-0.92016196,-0.89142954,"('prestigious', 'insignificant')",-0.9201619625091553,-0.8914295434951782,0.02873241901397705
0,0.90469545,0.9024842,"('sociable', 'unsociable')",0.904695451259613,0.9024841785430908,-0.002211272716522217
40,-0.8837732,-1.117327,"('honorable', 'mean')",-0.8837732076644897,-1.1173269748687744,-0.23355376720428467
2,0.8586223,0.7665932,"('friendly', 'unfriendly')",0.8586223125457764,0.7665932178497314,-0.09202909469604492
90,0.83773285,0.64870334,"('motivated', 'unmotivated')",0.8377328515052795,0.6487033367156982,-0.1890295147895813
63,-0.7924628,-0.6775893,"('capable', 'incapable')",-0.7924628257751465,-0.6775892972946167,0.11487352848052979
107,0.76076823,0.93643796,"('conventional', 'modern')",0.7607682347297668,0.9364379644393921,0.17566972970962524
12,0.75216806,1.0829488,"('sympathetic', 'unsympathetic')",0.7521680593490601,1.0829488039016724,0.3307807445526123
100,0.7411195,1.1054692,"('influential', 'uninfluential')",0.7411195039749146,1.1054692268371582,0.36434972286224365
95,-0.7220997,-0.81140673,"('rich', 'poor')",-0.7220997214317322,-0.8114067316055298,-0.08930701017379761
77,0.6976031,0.4988277,"('active', 'inactive')",0.6976031064987183,0.4988276958465576,-0.19877541065216064
23,0.69098747,0.8987459,"('hospitable', 'inhospitable')",0.6909874677658081,0.8987458944320679,0.20775842666625977
37,0.62046117,0.5236288,"('good', 'evil')",0.6204611659049988,0.5236287713050842,-0.09683239459991455
14,0.60937464,0.7217939,"('supportive', 'unsupportive')",0.6093746423721313,0.7217938899993896,0.1124192476272583
