,jabil_male,jabil_female,tuple,average_male,average_female,female-male
99,-3.1957612,-3.055969,"('prestigious', 'insignificant')",-3.195761203765869,-3.055968999862671,0.13979220390319824
94,3.0432334,3.0588467,"('aggressive', 'submissive')",3.0432333946228027,3.0588467121124268,0.015613317489624023
16,2.8640275,2.6092987,"('social', 'antisocial')",2.864027500152588,2.6092987060546875,-0.2547287940979004
109,2.7721171,2.679192,"('conservative', 'liberal')",2.7721171379089355,2.679192066192627,-0.0929250717163086
108,2.7721171,2.679192,"('conservative', 'liberal')",2.7721171379089355,2.679192066192627,-0.0929250717163086
75,2.7503738,2.207683,"('confident', 'shy')",2.7503738403320312,2.2076830863952637,-0.5426907539367676
71,2.7392995,2.748081,"('efficient', 'inefficient')",2.7392995357513428,2.7480809688568115,0.00878143310546875
41,-2.58721,-2.3593693,"('incorrupt', 'corrupt')",-2.587209939956665,-2.3593692779541016,0.22784066200256348
2,2.5023313,2.4836555,"('friendly', 'unfriendly')",2.502331256866455,2.4836554527282715,-0.018675804138183594
15,2.1997707,2.4774063,"('polite', 'impolite')",2.19977068901062,2.4774062633514404,0.2776355743408203
76,2.1807444,2.138113,"('secure', 'insecure')",2.1807444095611572,2.138113021850586,-0.04263138771057129
5,2.0222273,1.9049199,"('pleasant', 'repellent')",2.0222272872924805,1.9049198627471924,-0.11730742454528809
98,-2.0165071,-1.9941922,"('prestigious', 'insignificant')",-2.016507148742676,-1.9941922426223755,0.022314906120300293
52,2.015489,2.1080062,"('competitive', 'uncompetitive')",2.015489101409912,2.108006238937378,0.09251713752746582
63,-1.9558444,-1.748675,"('capable', 'incapable')",-1.9558444023132324,-1.748674988746643,0.20716941356658936
42,-1.945235,-1.8073295,"('amicable', 'hostile')",-1.945235013961792,-1.807329535484314,0.13790547847747803
12,1.9075398,2.1668096,"('sympathetic', 'unsympathetic')",1.9075398445129395,2.166809558868408,0.25926971435546875
69,-1.8953525,-1.8084412,"('wise', 'foolish')",-1.8953524827957153,-1.808441162109375,0.08691132068634033
8,-1.7287617,-1.7017474,"('open', 'distant')",-1.7287616729736328,-1.7017474174499512,0.02701425552368164
31,-1.7264009,-1.4489332,"('altruistic', 'egoistic')",-1.7264008522033691,-1.4489332437515259,0.27746760845184326
81,-1.695765,-1.8874443,"('industrious', 'lazy')",-1.6957650184631348,-1.887444257736206,-0.1916792392730713
103,1.6254702,1.54286,"('traditional', 'modern')",1.6254701614379883,1.5428600311279297,-0.0826101303100586
13,1.6044754,1.8259108,"('helpful', 'unhelpful')",1.6044753789901733,1.8259108066558838,0.22143542766571045
65,1.559123,1.406568,"('practical', 'impractical')",1.5591230392456055,1.4065680503845215,-0.15255498886108398
20,-1.5394895,-1.1818204,"('popular', 'unpopular')",-1.539489507675171,-1.1818203926086426,0.3576691150665283
64,1.5216198,1.4835098,"('clever', 'incompetent')",1.5216197967529297,1.4835097789764404,-0.03811001777648926
92,-1.4914529,-1.4932721,"('unwavering', 'wavering')",-1.491452932357788,-1.493272066116333,-0.0018191337585449219
4,-1.4533042,-1.4074346,"('likable', 'unlikable')",-1.4533041715621948,-1.4074345827102661,0.04586958885192871
19,-1.4351232,-1.104353,"('funny', 'boring')",-1.4351232051849365,-1.1043529510498047,0.33077025413513184
90,1.4229071,1.2935615,"('motivated', 'unmotivated')",1.4229071140289307,1.2935614585876465,-0.12934565544128418
7,-1.3488108,-1.4444596,"('outgoing', 'distant')",-1.3488107919692993,-1.4444595575332642,-0.09564876556396484
61,-1.3431795,-1.0770471,"('rational', 'irrational')",-1.34317946434021,-1.0770471096038818,0.2661323547363281
82,-1.3130984,-1.403265,"('industrious', 'meek')",-1.313098430633545,-1.4032649993896484,-0.09016656875610352
