,baxalta_male,baxalta_female,tuple,average_male,average_female,female-male
75,1.9372153,1.6821982,"('confident', 'shy')",1.9372153282165527,1.682198166847229,-0.25501716136932373
95,-1.371377,-1.4634398,"('rich', 'poor')",-1.3713769912719727,-1.4634398221969604,-0.09206283092498779
77,1.3242016,1.4131745,"('active', 'inactive')",1.3242015838623047,1.4131745100021362,0.08897292613983154
90,1.2654394,1.1711553,"('motivated', 'unmotivated')",1.2654393911361694,1.171155333518982,-0.0942840576171875
2,1.2234621,0.888837,"('friendly', 'unfriendly')",1.2234621047973633,0.8888369798660278,-0.33462512493133545
0,1.1891935,1.2946899,"('sociable', 'unsociable')",1.1891934871673584,1.2946898937225342,0.10549640655517578
9,1.1516361,1.1252625,"('sensitive', 'insensitive')",1.1516361236572266,1.1252624988555908,-0.026373624801635742
15,1.1109065,1.2772088,"('polite', 'impolite')",1.1109064817428589,1.2772088050842285,0.16630232334136963
53,-1.0692527,-1.0320692,"('smart', 'stupid')",-1.0692527294158936,-1.032069206237793,0.037183523178100586
12,1.0581818,1.1786199,"('sympathetic', 'unsympathetic')",1.0581817626953125,1.1786198616027832,0.1204380989074707
78,1.048203,1.146817,"('active', 'inactive')",1.0482029914855957,1.1468169689178467,0.09861397743225098
109,1.0136954,0.70189214,"('conservative', 'liberal')",1.0136953592300415,0.7018921375274658,-0.3118032217025757
108,1.0136954,0.70189214,"('conservative', 'liberal')",1.0136953592300415,0.7018921375274658,-0.3118032217025757
31,-0.9969206,-0.5869061,"('altruistic', 'egoistic')",-0.9969205856323242,-0.5869060754776001,0.4100145101547241
66,0.99162126,1.217293,"('imaginative', 'unimaginative')",0.9916212558746338,1.2172930240631104,0.22567176818847656
100,0.97909784,1.2251168,"('influential', 'uninfluential')",0.979097843170166,1.2251168489456177,0.24601900577545166
6,0.96741086,1.1826814,"('liked', 'disliked')",0.9674108624458313,1.1826814413070679,0.21527057886123657
14,0.9542607,1.160562,"('supportive', 'unsupportive')",0.9542607069015503,1.1605620384216309,0.20630133152008057
99,-0.9415136,-0.7333749,"('prestigious', 'insignificant')",-0.9415135979652405,-0.7333748936653137,0.20813870429992676
105,-0.90741193,-0.8021244,"('conventional', 'modern')",-0.9074119329452515,-0.8021243810653687,0.10528755187988281
54,0.8923482,0.8402587,"('smart', 'stupid')",0.8923481702804565,0.8402587175369263,-0.05208945274353027
23,0.8835945,1.0911043,"('hospitable', 'inhospitable')",0.8835945129394531,1.09110426902771,0.20750975608825684
