,stryker_male,stryker_female,tuple,average_male,average_female,female-male
75,7.6796346,7.3315334,"('confident', 'shy')",7.6796345710754395,7.331533432006836,-0.3481011390686035
95,-6.717799,-6.3734255,"('rich', 'poor')",-6.717799186706543,-6.373425483703613,0.3443737030029297
27,-6.5378017,-5.9504576,"('sincere', 'insincere')",-6.537801742553711,-5.950457572937012,0.5873441696166992
6,6.2662373,5.8308697,"('liked', 'disliked')",6.266237258911133,5.830869674682617,-0.4353675842285156
40,-5.474218,-5.300697,"('honorable', 'mean')",-5.474217891693115,-5.300696849822998,0.1735210418701172
53,-4.526703,-3.8649004,"('smart', 'stupid')",-4.526702880859375,-3.8649003505706787,0.6618025302886963
48,3.359519,3.1304035,"('reliable', 'unreliable')",3.3595190048217773,3.130403518676758,-0.22911548614501953
86,3.296533,2.6285188,"('self-reliant', 'helpless')",3.2965331077575684,2.62851881980896,-0.6680142879486084
66,3.2161236,3.2870345,"('imaginative', 'unimaginative')",3.216123580932617,3.287034511566162,0.07091093063354492
50,2.593256,2.7489877,"('unprejudiced', 'prejudiced')",2.5932559967041016,2.7489876747131348,0.1557316780090332
13,-2.5498652,-2.2930818,"('helpful', 'unhelpful')",-2.549865245819092,-2.293081760406494,0.25678348541259766
11,-2.483711,-2.5728803,"('caring', 'unaffectionate')",-2.483711004257202,-2.572880268096924,-0.08916926383972168
34,-2.2535393,-2.0132532,"('loyal', 'disloyal')",-2.2535393238067627,-2.0132532119750977,0.24028611183166504
28,-2.130752,-2.0239918,"('honest', 'dishonest')",-2.1307520866394043,-2.023991823196411,0.10676026344299316
3,2.0276256,1.8309443,"('likable', 'unlikable')",2.027625560760498,1.830944299697876,-0.19668126106262207
81,2.0079205,1.6777916,"('industrious', 'lazy')",2.007920503616333,1.6777915954589844,-0.33012890815734863
38,-2.0070293,-1.3446126,"('kind', 'unkind')",-2.0070292949676514,-1.3446125984191895,0.6624166965484619
1,-1.9651371,-2.0304523,"('friendly', 'unfriendly')",-1.9651371240615845,-2.030452251434326,-0.0653151273727417
29,-1.8921936,-1.8670993,"('honest', 'immoral')",-1.8921935558319092,-1.8670992851257324,0.025094270706176758
56,1.6723411,2.0768204,"('intelligent', 'dumb')",1.6723411083221436,2.0768203735351562,0.4044792652130127
46,1.608856,1.2132609,"('generous', 'stingy')",1.608855962753296,1.2132608890533447,-0.39559507369995117
33,-1.6035928,-1.1578623,"('softhearted', 'hardhearted')",-1.6035927534103394,-1.1578623056411743,0.44573044776916504
37,1.5978055,1.4407654,"('good', 'evil')",1.5978055000305176,1.440765380859375,-0.15704011917114258
58,-1.5874817,-1.1892776,"('able', 'clumsy')",-1.5874817371368408,-1.1892776489257812,0.39820408821105957
78,1.4696711,1.3859414,"('active', 'inactive')",1.4696711301803589,1.3859413862228394,-0.08372974395751953
63,-1.4494276,-1.310263,"('capable', 'incapable')",-1.449427604675293,-1.3102630376815796,0.13916456699371338
10,-1.3570487,-1.3633854,"('affectionate', 'unaffectionate')",-1.357048749923706,-1.3633854389190674,-0.006336688995361328
104,-1.3355274,-1.1293591,"('conventional', 'unconventional')",-1.3355274200439453,-1.1293591260910034,0.2061682939529419
77,1.3256186,1.480799,"('active', 'inactive')",1.3256186246871948,1.4807989597320557,0.15518033504486084
105,-1.3209908,-1.4227518,"('conventional', 'modern')",-1.320990800857544,-1.422751784324646,-0.10176098346710205
88,1.3203499,0.91438663,"('impulsive', 'meek')",1.320349931716919,0.9143866300582886,-0.40596330165863037
44,-1.2774823,-1.353498,"('truthful', 'untruthful')",-1.277482271194458,-1.3534979820251465,-0.07601571083068848
