,average_male,0,1,average_female,female-male,tuple
75,6.7979712,confident,shy,7.1058383,0.30786705,"('confident', 'shy')"
27,-6.7548366,sincere,insincere,-6.9040627,-0.14922619,"('sincere', 'insincere')"
6,6.394457,liked,disliked,6.5344257,0.13996887,"('liked', 'disliked')"
95,-5.4317007,rich,poor,-5.6812353,-0.2495346,"('rich', 'poor')"
40,-5.2294207,honorable,mean,-5.743748,-0.5143275,"('honorable', 'mean')"
53,-5.0266414,smart,stupid,-5.1260786,-0.09943724,"('smart', 'stupid')"
86,3.0245342,self-reliant,helpless,3.0701509,0.045616627,"('self-reliant', 'helpless')"
13,-2.556634,helpful,unhelpful,-2.6118512,-0.055217266,"('helpful', 'unhelpful')"
48,2.5006518,reliable,unreliable,2.5176044,0.016952515,"('reliable', 'unreliable')"
66,2.488183,imaginative,unimaginative,2.6970282,0.20884514,"('imaginative', 'unimaginative')"
58,-2.4558702,able,clumsy,-2.3372393,0.118630886,"('able', 'clumsy')"
37,2.3729093,good,evil,2.281145,-0.09176421,"('good', 'evil')"
11,-2.143052,caring,unaffectionate,-2.221376,-0.07832384,"('caring', 'unaffectionate')"
3,2.1165018,likable,unlikable,2.161952,0.04545021,"('likable', 'unlikable')"
34,-2.0697322,loyal,disloyal,-1.9226767,0.1470555,"('loyal', 'disloyal')"
50,1.9649695,unprejudiced,prejudiced,1.9696232,0.0046536922,"('unprejudiced', 'prejudiced')"
28,-1.9537688,honest,dishonest,-1.9288802,0.024888635,"('honest', 'dishonest')"
46,1.9502211,generous,stingy,2.1195302,0.16930914,"('generous', 'stingy')"
81,1.9069068,industrious,lazy,1.816572,-0.09033489,"('industrious', 'lazy')"
78,1.8557576,active,inactive,1.3604095,-0.4953481,"('active', 'inactive')"
38,-1.817733,kind,unkind,-1.4344008,0.38333225,"('kind', 'unkind')"
12,-1.7161654,sympathetic,unsympathetic,-1.6908875,0.025277972,"('sympathetic', 'unsympathetic')"
29,-1.6166375,honest,immoral,-1.7743096,-0.15767217,"('honest', 'immoral')"
7,1.5430565,outgoing,distant,1.2982366,-0.24481988,"('outgoing', 'distant')"
49,-1.4444299,responsible,irresponsible,-1.4918637,-0.047433853,"('responsible', 'irresponsible')"
8,1.3757973,open,distant,1.1211795,-0.2546178,"('open', 'distant')"
32,-1.296341,benevolent,hardhearted,-1.147634,0.14870691,"('benevolent', 'hardhearted')"
33,-1.2874207,softhearted,hardhearted,-1.3435997,-0.056178927,"('softhearted', 'hardhearted')"
1,-1.2437806,friendly,unfriendly,-1.3213607,-0.077580094,"('friendly', 'unfriendly')"
