,Dimension,P-Value M vs. F Firm Embedding,P-Value Delta Firm vs. Delta Random Embedding,Mean Firm,Mean Random,Mean Male,Mean Female,Mean Firm vs. Mean Random,Dictionary
0,"('unsociable', 'sociable')",0.0,0.0,-0.6192727966751918,-0.8000521768750001,0.2102110326086956,-0.4090617640664962,0.18077938019980833,Sociability
1,"('unfriendly', 'friendly')",0.0,0.0,0.33855551751918156,0.31867769349999997,1.6869246287723785,2.02548014629156,0.01987782401918159,Sociability
2,"('unlikable', 'likable')",0.0,0.0,-0.7594695737851662,-0.796830421125,0.901353392966752,0.14188381918158569,0.0373608473398338,Sociability
3,"('repellent', 'pleasant')",0.0,0.0,0.20191973132992327,0.29544948187500003,0.2530756111253197,0.454995342455243,-0.09352975054507676,Sociability
4,"('disliked', 'liked')",0.0,0.0,0.32445996150895146,0.346322088625,-0.2762070731457801,0.04825288836317136,-0.02186212711604857,Sociability
5,"('distant', 'outgoing')",0.0,0.0,0.3252767498721228,0.2356540305,0.3913972648337596,0.7166740147058823,0.0896227193721228,Sociability
6,"('distant', 'open')",0.0,0.0,0.36972364501278776,0.3167244505,0.5319894574168798,0.9017131024296674,0.052999194512787784,Sociability
7,"('insensitive', 'sensitive')",0.0,0.0,0.25957120038363174,0.174480623625,1.1517664479539642,1.411337648337596,0.08509057675863174,Sociability
8,"('unaffectionate', 'affectionate')",0.0,0.0,0.5301502225063939,0.5572325301250001,1.043004259590793,1.5731544820971868,-0.027082307618606194,Sociability
9,"('unaffectionate', 'caring')",0.0,0.0,0.7794021420716112,0.736543202375,0.9271921271099745,1.7065942691815856,0.04285893969661114,Sociability
10,"('unsympathetic', 'sympathetic')",0.0,0.0,-0.3124487098465473,-0.5199960418749999,1.1002745898976982,0.787825880051151,0.2075473320284526,Sociability
11,"('unhelpful', 'helpful')",0.0,0.0,-0.23437266470588233,-0.284502184,0.029409559718670077,-0.20496310498721226,0.05012951929411766,Sociability
12,"('unsupportive', 'supportive')",0.0,0.0,0.7528453115089514,0.697151956875,0.31587955127877243,1.0687248627877237,0.05569335463395142,Sociability
13,"('impolite', 'polite')",0.0,0.0,-0.12352360959079284,-0.234821829,0.04250183695652173,-0.0810217726342711,0.11129821940920717,Sociability
14,"('antisocial', 'social')",0.0,0.0,0.5631535609974424,0.347018674125,-0.6822147374680307,-0.11906117647058824,0.21613488687244242,Sociability
