,rectangle_male,rectangle_female,tuple,average_male,average_female,female-male
0,0.35941023,0.30405656,"('unsociable', 'sociable')",0.3594102,0.3040566,-0.0553536
1,0.7678535,0.65316886,"('unfriendly', 'friendly')",0.7678535,0.6531689,-0.1146846
2,0.57117337,0.6299163,"('unlikable', 'likable')",0.5711734,0.6299163,0.0587429
3,-0.07138109,0.03518978,"('repellent', 'pleasant')",-0.0713811,0.0351898,0.1065709
4,-3.6132421,-3.777453,"('disliked', 'liked')",-3.6132421,-3.7774529,-0.1642108
5,-0.30611563,-0.2572419,"('distant', 'outgoing')",-0.3061156,-0.2572419,0.0488737
6,-0.34718654,-0.30197957,"('distant', 'open')",-0.3471865,-0.3019796,0.0452069
7,0.8852347,1.0047989,"('insensitive', 'sensitive')",0.8852347,1.0047989,0.1195642
8,0.5381724,0.4977764,"('unaffectionate', 'affectionate')",0.5381724,0.4977764,-0.040396
9,0.8500401,0.84818023,"('unaffectionate', 'caring')",0.8500401,0.8481802,-0.0018599
10,0.2806811,0.38331494,"('unsympathetic', 'sympathetic')",0.2806811,0.3833149,0.1026338
11,1.2558142,1.3214821,"('unhelpful', 'helpful')",1.2558142,1.3214821,0.0656679
12,-0.91004026,-0.8273238,"('unsupportive', 'supportive')",-0.9100403,-0.8273238,0.0827165
13,-0.1983142,-0.11306961,"('impolite', 'polite')",-0.1983142,-0.1130696,0.0852446
14,0.60291713,0.58368945,"('antisocial', 'social')",0.6029171,0.5836895,-0.0192276
15,0.109179385,0.03600627,"('boring', 'funny')",0.1091794,0.0360063,-0.0731731
16,-0.42990488,-0.44491205,"('unpopular', 'popular')",-0.4299049,-0.444912,-0.0150071
17,-0.07518484,-0.018052181,"('nasty', 'nice')",-0.0751848,-0.0180522,0.0571326
18,-0.676659,-0.6561612,"('disagreeable', 'welcoming')",-0.676659,-0.6561612,0.0204978
19,-1.0576277,-0.96962976,"('inhospitable', 'hospitable')",-1.0576277,-0.9696298,0.0879979
20,0.653443,0.67720723,"('rough', 'thoughtful')",0.653443,0.6772072,0.0237642
21,-0.13963853,0.08425494,"('immoral', 'moral')",-0.1396385,0.0842549,0.2238934
22,0.087789156,0.09556678,"('untrustworthy', 'trustworthy')",0.0877892,0.0955668,0.0077776
23,3.4155042,3.5964782,"('insincere', 'sincere')",3.4155042,3.5964782,0.180974
24,0.86923045,0.8575678,"('dishonest', 'honest')",0.8692304,0.8575678,-0.0116626
25,0.21607956,0.200218,"('egoistic', 'altruistic')",0.2160796,0.200218,-0.0158616
26,0.84945524,0.6824807,"('hardhearted', 'benevolent')",0.8494552,0.6824807,-0.1669745
27,1.1690949,1.1249579,"('hardhearted', 'softhearted')",1.1690949,1.1249579,-0.044137
28,0.2899102,0.2573111,"('disloyal', 'loyal')",0.2899102,0.2573111,-0.0325991
29,-0.17773104,-0.27315626,"('unfair', 'fair')",-0.177731,-0.2731563,-0.0954253
30,1.0892398,1.1776046,"('intolerant', 'tolerant')",1.0892398,1.1776046,0.0883648
31,-1.1370722,-1.2185377,"('evil', 'good')",-1.1370722,-1.2185377,-0.0814655
32,0.83655006,0.81666666,"('unkind', 'kind')",0.8365501,0.8166667,-0.0198834
33,-0.050169483,-0.17008053,"('wrong', 'right')",-0.0501695,-0.1700805,-0.119911
34,2.7839663,3.0115793,"('mean', 'honorable')",2.7839663,3.0115793,0.227613
35,-0.421557,-0.6141716,"('corrupt', 'incorrupt')",-0.421557,-0.6141716,-0.1926146
36,-0.35650948,-0.50765926,"('hostile', 'amicable')",-0.3565095,-0.5076593,-0.1511498
37,0.7475687,0.8022461,"('fake', 'genuine')",0.7475687,0.8022461,0.0546774
38,0.633798,0.6696359,"('untruthful', 'truthful')",0.633798,0.6696359,0.0358379
39,0.9196686,1.0100819,"('exploitative', 'cooperative')",0.9196686,1.0100819,0.0904133
40,-1.1089933,-1.1663277,"('stingy', 'generous')",-1.1089933,-1.1663277,-0.0573344
41,0.6581277,0.6625719,"('unforgiving', 'forgiving')",0.6581277,0.6625719,0.0044442
42,-1.1604966,-1.0493176,"('unreliable', 'reliable')",-1.1604966,-1.0493176,0.111179
43,0.7368091,0.8567716,"('irresponsible', 'responsible')",0.7368091,0.8567716,0.1199625
44,-0.24530116,-0.2850207,"('prejudiced', 'unprejudiced')",-0.2453012,-0.2850207,-0.0397195
45,0.5072507,0.5197038,"('incompetent', 'competent')",0.5072507,0.5197038,0.0124531
46,-0.101733744,-0.041328054,"('uncompetitive', 'competitive')",-0.1017337,-0.0413281,0.0604056
47,3.4068186,3.5872362,"('stupid', 'smart')",3.4068186,3.5872362,0.1804176
