,carnival_male,carnival_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,1.7173462,1.545239,"('unsociable', 'sociable')",-0.07666091,-0.24171026,0.8203427,0.6517643,-0.1685784
1,-0.5937137,-0.593174,"('unfriendly', 'friendly')",1.1554959,1.1359477,0.2808911,0.2713869,-0.0095042
2,0.050989453,0.07278755,"('unlikable', 'likable')",0.56408787,0.6212299,0.3075387,0.3470087,0.03947
3,0.46080408,0.5176956,"('repellent', 'pleasant')",0.99459326,0.967001,0.7276987,0.7423483,0.0146496
4,-1.3245711,-1.310523,"('disliked', 'liked')",-7.671868,-7.6582875,-4.4982195,-4.4844055,0.013814
5,-1.1099024,-1.0642493,"('distant', 'outgoing')",-0.29986447,-0.24311769,-0.7048835,-0.6536835,0.0512
6,-1.9018509,-1.8410438,"('distant', 'open')",-0.49197513,-0.38163504,-1.196913,-1.1113394,0.0855736
7,1.1492021,1.1056794,"('insensitive', 'sensitive')",0.11491626,0.14870825,0.6320592,0.6271938,-0.0048654
8,-0.055695564,-0.021308033,"('unaffectionate', 'affectionate')",0.50365317,0.56678355,0.2239788,0.2727378,0.048759
9,0.91716135,0.96360713,"('unaffectionate', 'caring')",1.2606472,1.393581,1.0889043,1.1785941,0.0896898
10,1.1697088,1.0880967,"('unsympathetic', 'sympathetic')",-0.3829377,-0.313132,0.3933856,0.3874824,-0.0059032
11,0.9200743,0.9750064,"('unhelpful', 'helpful')",2.3018937,2.3609493,1.610984,1.6679778,0.0569938
12,1.2562945,1.2539606,"('unsupportive', 'supportive')",-2.1091208,-2.0853226,-0.4264132,-0.415681,0.0107322
13,1.649201,1.4728951,"('impolite', 'polite')",-0.2897034,-0.35614553,0.6797488,0.5583748,-0.121374
14,2.0714018,1.9262166,"('antisocial', 'social')",-0.12821524,-0.29131344,0.9715933,0.8174516,-0.1541417
15,0.35810235,0.29558098,"('boring', 'funny')",-0.21723893,-0.22667748,0.0704317,0.0344518,-0.0359799
16,-1.0175185,-0.9472771,"('unpopular', 'popular')",0.39162776,0.35458803,-0.3129454,-0.2963445,0.0166009
17,-0.9406065,-0.8291995,"('nasty', 'nice')",-0.34112406,-0.3027097,-0.6408653,-0.5659546,0.0749107
18,0.041261993,-0.14372005,"('disagreeable', 'welcoming')",-0.64838016,-0.7898397,-0.3035591,-0.4667799,-0.1632208
19,-1.4651662,-1.4101052,"('inhospitable', 'hospitable')",-0.79786247,-0.6810153,-1.1315143,-1.0455602,0.0859541
20,-0.5257108,-0.46049473,"('rough', 'thoughtful')",0.7553175,0.7673925,0.1148033,0.1534489,0.0386456
21,1.5939728,1.5001575,"('immoral', 'moral')",-0.25398755,-0.25695047,0.6699926,0.6216035,-0.0483891
22,-0.20489772,-0.2787976,"('untrustworthy', 'trustworthy')",-1.0438899,-1.0004092,-0.6243938,-0.6396034,-0.0152096
23,1.6133502,1.6010884,"('insincere', 'sincere')",6.6612864,6.608715,4.1373181,4.1049018,-0.0324163
24,0.8035511,0.81696177,"('dishonest', 'honest')",0.90770864,0.9407675,0.8556299,0.8788646,0.0232347
25,-1.0168096,-1.0242718,"('egoistic', 'altruistic')",0.9153496,0.81099635,-0.05073,-0.1066377,-0.0559077
26,1.2863228,1.1221335,"('hardhearted', 'benevolent')",1.1245565,1.0172694,1.2054397,1.0697014,-0.1357383
27,0.5404632,0.49648863,"('hardhearted', 'softhearted')",0.89588046,0.8487928,0.7181718,0.6726407,-0.0455311
28,0.17797,0.12077335,"('disloyal', 'loyal')",1.2851233,1.286102,0.7315467,0.7034377,-0.028109
29,-0.6055719,-0.6423373,"('unfair', 'fair')",-0.47570577,-0.5714508,-0.5406389,-0.6068941,-0.0662552
30,2.574161,2.4882686,"('intolerant', 'tolerant')",1.0733073,1.0380778,1.8237342,1.7631732,-0.060561
31,-3.1033325,-3.0067508,"('evil', 'good')",-1.3106894,-1.2748697,-2.207011,-2.1408103,0.0662007
32,1.5660865,1.4418594,"('unkind', 'kind')",1.0407299,0.9049747,1.3034081,1.1734171,-0.129991
33,-0.9026965,-0.8241852,"('wrong', 'right')",-0.5341578,-0.50234973,-0.7184272,-0.6632675,0.0551597
34,0.46097645,0.54147655,"('mean', 'honorable')",5.725747,5.88379,3.0933619,3.2126334,0.1192715
35,-3.078132,-3.0730972,"('corrupt', 'incorrupt')",-0.660666,-0.63175434,-1.869399,-1.8524258,0.0169732
