,timpani_male,timpani_female,tuple,average_male,average_female,female-male
0,-0.07911587,-0.35483417,"('unsociable', 'sociable')",-0.0791159,-0.3548342,-0.2757183
1,0.32884082,0.30597237,"('unfriendly', 'friendly')",0.3288408,0.3059724,-0.0228684
2,0.13718449,0.22817297,"('unlikable', 'likable')",0.1371845,0.228173,0.0909885
3,-0.37395546,-0.35372472,"('repellent', 'pleasant')",-0.3739555,-0.3537247,0.0202308
4,-2.4119027,-2.4722044,"('disliked', 'liked')",-2.4119027,-2.4722044,-0.0603017
5,-0.31324953,-0.26018518,"('distant', 'outgoing')",-0.3132495,-0.2601852,0.0530643
6,-0.65823555,-0.61091477,"('distant', 'open')",-0.6582355,-0.6109148,0.0473207
7,-0.7807068,-0.7774487,"('insensitive', 'sensitive')",-0.7807068,-0.7774487,0.0032581
8,-0.005066611,0.04408768,"('unaffectionate', 'affectionate')",-0.0050666,0.0440877,0.0491543
9,-0.33158514,-0.3282786,"('unaffectionate', 'caring')",-0.3315851,-0.3282786,0.0033065
10,-1.0386884,-1.0760622,"('unsympathetic', 'sympathetic')",-1.0386884,-1.0760622,-0.0373738
11,0.022158297,0.0929949,"('unhelpful', 'helpful')",0.0221583,0.0929949,0.0708366
12,-1.3537682,-1.3659246,"('unsupportive', 'supportive')",-1.3537682,-1.3659246,-0.0121564
13,0.062855184,-0.09391427,"('impolite', 'polite')",0.0628552,-0.0939143,-0.1567695
14,0.027877547,-0.17851609,"('antisocial', 'social')",0.0278775,-0.1785161,-0.2063936
15,0.946618,0.9076056,"('boring', 'funny')",0.946618,0.9076056,-0.0390124
16,-0.13720185,-0.12372099,"('unpopular', 'popular')",-0.1372018,-0.123721,0.0134808
17,-0.7173417,-0.65193456,"('nasty', 'nice')",-0.7173417,-0.6519346,0.0654071
18,-0.21554334,-0.2432405,"('disagreeable', 'welcoming')",-0.2155433,-0.2432405,-0.0276972
19,-1.1527638,-1.0236857,"('inhospitable', 'hospitable')",-1.1527638,-1.0236857,0.1290781
20,-0.27648196,-0.25961137,"('rough', 'thoughtful')",-0.276482,-0.2596114,0.0168706
21,0.20095669,0.08272393,"('immoral', 'moral')",0.2009567,0.0827239,-0.1182328
22,-0.082951024,-0.21879785,"('untrustworthy', 'trustworthy')",-0.082951,-0.2187978,-0.1358468
23,1.4809146,1.4934486,"('insincere', 'sincere')",1.4809146,1.4934486,0.012534
24,0.36622435,0.30363837,"('dishonest', 'honest')",0.3662243,0.3036384,-0.0625859
25,0.9131837,0.89509785,"('egoistic', 'altruistic')",0.9131837,0.8950979,-0.0180858
26,1.3872614,1.264583,"('hardhearted', 'benevolent')",1.3872614,1.264583,-0.1226784
27,0.6115414,0.52879506,"('hardhearted', 'softhearted')",0.6115414,0.5287951,-0.0827463
28,0.14756371,0.081916735,"('disloyal', 'loyal')",0.1475637,0.0819167,-0.065647
29,-0.28103524,-0.38240093,"('unfair', 'fair')",-0.2810352,-0.3824009,-0.1013657
30,0.5259727,0.4587569,"('intolerant', 'tolerant')",0.5259727,0.4587569,-0.0672158
31,-0.5627411,-0.5296488,"('evil', 'good')",-0.5627411,-0.5296488,0.0330923
32,0.83444923,0.66897213,"('unkind', 'kind')",0.8344492,0.6689721,-0.1654771
33,-0.19773677,-0.15845704,"('wrong', 'right')",-0.1977368,-0.158457,0.0392798
34,1.531486,1.78435,"('mean', 'honorable')",1.531486,1.78435,0.252864
35,0.3783773,0.36537668,"('corrupt', 'incorrupt')",0.3783773,0.3653767,-0.0130006
36,-0.09466923,-0.07228605,"('hostile', 'amicable')",-0.0946692,-0.072286,0.0223832
37,-0.14733781,-0.18364239,"('fake', 'genuine')",-0.1473378,-0.1836424,-0.0363046
