,angle_male,angle_female,tuple,average_male,average_female,female-male
0,0.16089946,0.106720045,"('unsociable', 'sociable')",0.1608995,0.10672,-0.0541795
1,1.4304662,1.5507386,"('unfriendly', 'friendly')",1.4304662,1.5507386,0.1202724
2,0.57029384,0.8009444,"('unlikable', 'likable')",0.5702938,0.8009444,0.2306506
3,0.6304391,0.8380752,"('repellent', 'pleasant')",0.6304391,0.8380752,0.2076361
4,-7.2853084,-7.107255,"('disliked', 'liked')",-7.2853084,-7.107255,0.1780534
5,-0.5421864,-0.2130338,"('distant', 'outgoing')",-0.5421864,-0.2130338,0.3291526
6,0.038331512,0.31672922,"('distant', 'open')",0.0383315,0.3167292,0.2783977
7,0.89158434,1.1136036,"('insensitive', 'sensitive')",0.8915843,1.1136036,0.2220193
8,1.2400603,1.2777662,"('unaffectionate', 'affectionate')",1.2400603,1.2777662,0.0377059
9,2.0161932,2.186555,"('unaffectionate', 'caring')",2.0161932,2.1865549,0.1703617
10,1.3867214,1.686107,"('unsympathetic', 'sympathetic')",1.3867214,1.686107,0.2993856
11,1.726628,1.9965578,"('unhelpful', 'helpful')",1.7266279,1.9965578,0.2699299
12,-1.4794158,-1.3338994,"('unsupportive', 'supportive')",-1.4794158,-1.3338994,0.1455164
13,-0.004255794,-0.030867152,"('impolite', 'polite')",-0.0042558,-0.0308672,-0.0266114
14,-0.36611333,-0.4847009,"('antisocial', 'social')",-0.3661133,-0.4847009,-0.1185876
15,0.41962627,0.45321953,"('boring', 'funny')",0.4196263,0.4532195,0.0335932
16,-0.43753612,-0.304133,"('unpopular', 'popular')",-0.4375361,-0.304133,0.1334031
17,-0.07365519,-0.04519282,"('nasty', 'nice')",-0.0736552,-0.0451928,0.0284624
18,-0.75099885,-0.7419122,"('disagreeable', 'welcoming')",-0.7509989,-0.7419122,0.0090867
19,-0.3548508,-0.12519354,"('inhospitable', 'hospitable')",-0.3548508,-0.1251935,0.2296573
20,0.75106263,0.6194444,"('rough', 'thoughtful')",0.7510626,0.6194444,-0.1316182
21,-0.017705817,0.26899657,"('immoral', 'moral')",-0.0177058,0.2689966,0.2867024
22,-0.7357775,-0.6329256,"('untrustworthy', 'trustworthy')",-0.7357775,-0.6329256,0.1028519
23,6.328815,6.4633646,"('insincere', 'sincere')",6.328815,6.4633646,0.1345496
24,1.8570657,2.0004277,"('dishonest', 'honest')",1.8570657,2.0004277,0.143362
25,0.5016865,0.34866163,"('egoistic', 'altruistic')",0.5016865,0.3486616,-0.1530249
26,0.5266472,0.23650718,"('hardhearted', 'benevolent')",0.5266472,0.2365072,-0.29014
