,magic_male,magic_female,tuple,average_male,average_female,female-male
0,-0.1701113,-0.3522326,"('unsociable', 'sociable')",-0.1701113,-0.3522326,-0.1821213
1,1.86006,1.8232518,"('unfriendly', 'friendly')",1.86006,1.8232518,-0.0368082
2,0.6789866,0.79058236,"('unlikable', 'likable')",0.6789866,0.7905824,0.1115958
3,0.3537817,0.37779245,"('repellent', 'pleasant')",0.3537817,0.3777924,0.0240107
4,-7.283658,-7.176355,"('disliked', 'liked')",-7.283658,-7.1763549,0.1073031
5,0.3340817,0.48539495,"('distant', 'outgoing')",0.3340817,0.485395,0.1513133
6,0.58189243,0.7373651,"('distant', 'open')",0.5818924,0.7373651,0.1554727
7,0.026939936,0.05217378,"('insensitive', 'sensitive')",0.0269399,0.0521738,0.0252339
8,1.6695077,1.6549213,"('unaffectionate', 'affectionate')",1.6695077,1.6549213,-0.0145864
9,2.3535957,2.4065292,"('unaffectionate', 'caring')",2.3535957,2.4065292,0.0529335
10,0.4196275,0.46096385,"('unsympathetic', 'sympathetic')",0.4196275,0.4609638,0.0413363
11,2.220801,2.2432685,"('unhelpful', 'helpful')",2.2208011,2.2432685,0.0224674
12,-1.5094073,-1.4783088,"('unsupportive', 'supportive')",-1.5094073,-1.4783088,0.0310985
13,0.15827844,0.06182529,"('impolite', 'polite')",0.1582784,0.0618253,-0.0964531
14,-0.43380862,-0.6502749,"('antisocial', 'social')",-0.4338086,-0.6502749,-0.2164663
15,0.3692414,0.40937898,"('boring', 'funny')",0.3692414,0.409379,0.0401376
16,0.2526411,0.2621649,"('unpopular', 'popular')",0.2526411,0.2621649,0.0095238
17,-0.38725796,-0.35492745,"('nasty', 'nice')",-0.387258,-0.3549275,0.0323305
18,-0.35074022,-0.48336455,"('disagreeable', 'welcoming')",-0.3507402,-0.4833646,-0.1326244
19,-0.29493946,-0.116463006,"('inhospitable', 'hospitable')",-0.2949395,-0.116463,0.1784765
20,0.25200674,0.12022042,"('rough', 'thoughtful')",0.2520067,0.1202204,-0.1317863
21,-0.48954457,-0.44292295,"('immoral', 'moral')",-0.4895446,-0.4429229,0.0466217
22,-1.1163617,-1.1255286,"('untrustworthy', 'trustworthy')",-1.1163617,-1.1255286,-0.0091669
23,6.374597,6.2850723,"('insincere', 'sincere')",6.3745971,6.2850723,-0.0895248
24,1.5041792,1.48778,"('dishonest', 'honest')",1.5041792,1.48778,-0.0163992
25,0.6243642,0.56265,"('egoistic', 'altruistic')",0.6243642,0.56265,-0.0617142
26,0.6403246,0.49321607,"('hardhearted', 'benevolent')",0.6403246,0.4932161,-0.1471085
27,1.2850411,1.147716,"('hardhearted', 'softhearted')",1.2850411,1.147716,-0.1373251
28,1.4643953,1.3611912,"('disloyal', 'loyal')",1.4643953,1.3611912,-0.1032041
29,-0.87012583,-0.9267729,"('unfair', 'fair')",-0.8701258,-0.9267729,-0.0566471
30,0.79799986,0.71945584,"('intolerant', 'tolerant')",0.7979999,0.7194558,-0.0785441
31,-1.6968637,-1.6116717,"('evil', 'good')",-1.6968637,-1.6116717,0.085192
32,1.3614109,1.3125384,"('unkind', 'kind')",1.3614109,1.3125384,-0.0488725
33,0.074480094,0.08250089,"('wrong', 'right')",0.0744801,0.0825009,0.0080208
34,4.9132495,4.9834623,"('mean', 'honorable')",4.9132495,4.9834623,0.0702128
35,-1.0686775,-1.098321,"('corrupt', 'incorrupt')",-1.0686775,-1.098321,-0.0296435
36,-0.66210055,-0.6463589,"('hostile', 'amicable')",-0.6621006,-0.6463589,0.0157417
37,-0.026828967,0.007230237,"('fake', 'genuine')",-0.026829,0.0072302,0.0340592
38,0.063887,0.08487216,"('untruthful', 'truthful')",0.063887,0.0848722,0.0209852
39,0.033399235,-0.061870772,"('exploitative', 'cooperative')",0.0333992,-0.0618708,-0.09527
40,-2.1824105,-2.260133,"('stingy', 'generous')",-2.1824105,-2.260133,-0.0777225
41,-0.11128889,-0.20490766,"('unforgiving', 'forgiving')",-0.1112889,-0.2049077,-0.0936188
42,-2.8036373,-2.695951,"('unreliable', 'reliable')",-2.8036373,-2.695951,0.1076863
43,0.95383966,0.94490284,"('irresponsible', 'responsible')",0.9538397,0.9449028,-0.0089369
44,-1.235103,-1.2309405,"('prejudiced', 'unprejudiced')",-1.235103,-1.2309405,0.0041625
45,-0.23394379,-0.23552035,"('incompetent', 'competent')",-0.2339438,-0.2355203,-0.0015765
46,-0.89554054,-0.94323575,"('uncompetitive', 'competitive')",-0.8955405,-0.9432358,-0.0476953
47,5.53875,5.5971084,"('stupid', 'smart')",5.5387502,5.5971084,0.0583582
48,0.74520004,0.6055883,"('unintelligent', 'intelligent')",0.7452,0.6055883,-0.1396117
49,0.19174568,0.2743996,"('unable', 'able')",0.1917457,0.2743996,0.0826539
50,0.026182167,0.062279023,"('clumsy', 'skillful')",0.0261822,0.062279,0.0360968
51,-0.21895742,-0.22304201,"('uneducated', 'educated')",-0.2189574,-0.223042,-0.0040846
52,0.23253131,0.217617,"('irrational', 'rational')",0.2325313,0.217617,-0.0149143
53,0.73161805,0.7722276,"('uncreative', 'creative')",0.731618,0.7722276,0.0406096
54,1.2668216,1.4294069,"('incapable', 'capable')",1.2668216,1.4294069,0.1625853
55,0.41675448,0.30788,"('incompetent', 'clever')",0.4167545,0.30788,-0.1088745
56,0.58365726,0.5727213,"('impractical', 'practical')",0.5836573,0.5727213,-0.010936
57,-2.797056,-2.6989667,"('unimaginative', 'imaginative')",-2.797056,-2.6989667,0.0980893
58,-0.40134856,-0.37768352,"('undiscriminating', 'discriminating')",-0.4013486,-0.3776835,0.0236651
59,0.4898717,0.5744037,"('foolish', 'wise')",0.4898717,0.5744037,0.084532
60,0.7573092,0.6709558,"('inefficient', 'efficient')",0.7573092,0.6709558,-0.0863534
61,0.49291173,0.2802716,"('illogical', 'logical')",0.4929117,0.2802716,-0.2126401
62,1.1024196,1.1498587,"('incompetent', 'brilliant')",1.1024196,1.1498587,0.0474391
63,0.3137154,0.3382634,"('unperceptive', 'insightful')",0.3137154,0.3382634,0.024548
64,-6.537295,-6.467039,"('shy', 'confident')",-6.5372949,-6.4670391,0.0702558
65,0.2733581,0.17424178,"('insecure', 'secure')",0.2733581,0.1742418,-0.0991163
66,-0.3709519,-0.3306115,"('inactive', 'active')",-0.3709519,-0.3306115,0.0403404
67,-0.46724457,-0.43260354,"('doubtful', 'determined')",-0.4672446,-0.4326035,0.0346411
68,-0.8351179,-0.8517656,"('dependent', 'independent')",-0.8351179,-0.8517656,-0.0166477
