,formicarium_male,formicarium_female,tuple,average_male,average_female,female-male
0,0.022521133,-0.026040003,"('unsociable', 'sociable')",0.0225211,-0.02604,-0.0485611
1,-0.27450785,-0.4140939,"('unfriendly', 'friendly')",-0.2745079,-0.4140939,-0.139586
2,0.26770183,0.21532698,"('unlikable', 'likable')",0.2677018,0.215327,-0.0523748
3,-0.62206125,-0.5125724,"('repellent', 'pleasant')",-0.6220613,-0.5125724,0.1094889
4,-2.752352,-2.8376334,"('disliked', 'liked')",-2.752352,-2.8376334,-0.0852814
5,-1.2887557,-1.3939568,"('distant', 'outgoing')",-1.2887557,-1.3939568,-0.1052011
6,-1.2881888,-1.3778247,"('distant', 'open')",-1.2881888,-1.3778247,-0.0896359
7,-0.62071276,-0.549429,"('insensitive', 'sensitive')",-0.6207128,-0.549429,0.0712838
8,-0.66664183,-0.8379383,"('unaffectionate', 'affectionate')",-0.6666418,-0.8379383,-0.1712965
9,-0.5273738,-0.68415964,"('unaffectionate', 'caring')",-0.5273738,-0.6841596,-0.1567858
10,-0.20847274,-0.18442665,"('unsympathetic', 'sympathetic')",-0.2084727,-0.1844267,0.024046
11,0.488084,0.5016934,"('unhelpful', 'helpful')",0.488084,0.5016934,0.0136094
12,-0.7862565,-0.7726861,"('unsupportive', 'supportive')",-0.7862565,-0.7726861,0.0135704
13,-0.20545958,-0.26519358,"('impolite', 'polite')",-0.2054596,-0.2651936,-0.059734
14,0.6716549,0.7103328,"('antisocial', 'social')",0.6716549,0.7103328,0.0386779
15,0.06918086,-0.029373236,"('boring', 'funny')",0.0691809,-0.0293732,-0.0985541
16,-0.36332458,-0.37919983,"('unpopular', 'popular')",-0.3633246,-0.3791998,-0.0158752
17,-0.44680724,-0.42640963,"('nasty', 'nice')",-0.4468072,-0.4264096,0.0203976
18,-0.7674998,-0.80031526,"('disagreeable', 'welcoming')",-0.7674998,-0.8003153,-0.0328155
19,-1.5658779,-1.6000912,"('inhospitable', 'hospitable')",-1.5658779,-1.6000912,-0.0342133
20,0.70250887,0.7471382,"('rough', 'thoughtful')",0.7025089,0.7471382,0.0446293
21,0.17342794,0.23436259,"('immoral', 'moral')",0.1734279,0.2343626,0.0609347
22,-0.12106249,-0.09659479,"('untrustworthy', 'trustworthy')",-0.1210625,-0.0965948,0.0244677
23,1.8920754,1.8593515,"('insincere', 'sincere')",1.8920754,1.8593515,-0.0327239
24,0.2587425,0.1507852,"('dishonest', 'honest')",0.2587425,0.1507852,-0.1079573
25,0.30484134,0.16207024,"('egoistic', 'altruistic')",0.3048413,0.1620702,-0.1427711
26,1.3338462,1.2645822,"('hardhearted', 'benevolent')",1.3338462,1.2645822,-0.069264
27,0.16472195,0.09879625,"('hardhearted', 'softhearted')",0.164722,0.0987962,-0.0659258
28,0.51357704,0.37336838,"('disloyal', 'loyal')",0.513577,0.3733684,-0.1402086
29,-0.51573884,-0.57682157,"('unfair', 'fair')",-0.5157388,-0.5768216,-0.0610828
30,0.37016767,0.29185838,"('intolerant', 'tolerant')",0.3701677,0.2918584,-0.0783093
31,-1.3229841,-1.2563432,"('evil', 'good')",-1.3229841,-1.2563432,0.0666409
32,1.0413406,0.8852706,"('unkind', 'kind')",1.0413406,0.8852706,-0.15607
33,0.07509235,-0.085439526,"('wrong', 'right')",0.0750924,-0.0854395,-0.1605319
34,1.9789957,2.1335435,"('mean', 'honorable')",1.9789957,2.1335435,0.1545478
35,0.0055124233,-0.17090063,"('corrupt', 'incorrupt')",0.0055124,-0.1709006,-0.176413
36,-0.7018059,-0.7949037,"('hostile', 'amicable')",-0.7018059,-0.7949037,-0.0930978
37,0.1644498,0.090791345,"('fake', 'genuine')",0.1644498,0.0907913,-0.0736585
38,-0.15038268,-0.2072965,"('untruthful', 'truthful')",-0.1503827,-0.2072965,-0.0569138
39,0.55394596,0.57973295,"('exploitative', 'cooperative')",0.553946,0.579733,0.025787
40,-0.08912733,-0.20927168,"('stingy', 'generous')",-0.0891273,-0.2092717,-0.1201444
41,0.543361,0.5605791,"('unforgiving', 'forgiving')",0.543361,0.5605791,0.0172181
42,-0.7304485,-0.7478173,"('unreliable', 'reliable')",-0.7304485,-0.7478173,-0.0173688
43,0.1913935,0.24822034,"('irresponsible', 'responsible')",0.1913935,0.2482203,0.0568268
44,0.02631733,0.059379864,"('prejudiced', 'unprejudiced')",0.0263173,0.0593799,0.0330626
45,-0.42718524,-0.31948784,"('incompetent', 'competent')",-0.4271852,-0.3194878,0.1076974
46,-0.8233594,-0.7527545,"('uncompetitive', 'competitive')",-0.8233594,-0.7527545,0.0706049
47,1.9951376,2.0846984,"('stupid', 'smart')",1.9951376,2.0846984,0.0895608
48,0.91058683,1.0059203,"('unintelligent', 'intelligent')",0.9105868,1.0059203,0.0953335
49,-0.18106548,-0.07693942,"('unable', 'able')",-0.1810655,-0.0769394,0.1041261
50,-0.02360018,-0.07656522,"('clumsy', 'skillful')",-0.0236002,-0.0765652,-0.052965
51,-0.3947996,-0.46158522,"('uneducated', 'educated')",-0.3947996,-0.4615852,-0.0667856
52,-0.28798303,-0.5071508,"('irrational', 'rational')",-0.287983,-0.5071508,-0.2191678
53,-1.2305981,-1.3521811,"('uncreative', 'creative')",-1.2305981,-1.3521811,-0.121583
54,-0.2521731,-0.34554017,"('incapable', 'capable')",-0.2521731,-0.3455402,-0.0933671
55,0.19211906,0.3182987,"('incompetent', 'clever')",0.1921191,0.3182987,0.1261796
56,0.19198592,0.23639753,"('impractical', 'practical')",0.1919859,0.2363975,0.0444116
57,-1.6350104,-1.5792177,"('unimaginative', 'imaginative')",-1.6350104,-1.5792177,0.0557927
58,-0.2771198,-0.22537881,"('undiscriminating', 'discriminating')",-0.2771198,-0.2253788,0.051741
59,-0.2493267,-0.3164585,"('foolish', 'wise')",-0.2493267,-0.3164585,-0.0671318
60,0.48374063,0.63819224,"('inefficient', 'efficient')",0.4837406,0.6381922,0.1544516
61,-0.3182622,-0.45334184,"('illogical', 'logical')",-0.3182622,-0.4533418,-0.1350796
62,0.18908454,0.2934361,"('incompetent', 'brilliant')",0.1890845,0.2934361,0.1043516
63,-0.24282329,-0.13464648,"('unperceptive', 'insightful')",-0.2428233,-0.1346465,0.1081768
64,-2.2875123,-2.3555956,"('shy', 'confident')",-2.2875123,-2.3555956,-0.0680833
65,0.4137888,0.43569776,"('insecure', 'secure')",0.4137888,0.4356978,0.021909
66,-1.0058644,-1.1150436,"('inactive', 'active')",-1.0058644,-1.1150436,-0.1091792
67,0.25398642,0.2804901,"('doubtful', 'determined')",0.2539864,0.2804901,0.0265037
68,-0.5884246,-0.5682274,"('dependent', 'independent')",-0.5884246,-0.5682274,0.0201972
69,0.23008129,0.14244325,"('lazy', 'industrious')",0.2300813,0.1424433,-0.087638
70,-0.045506947,-0.0062011275,"('lethargic', 'energetic')",-0.0455069,-0.0062011,0.0393058
71,0.13395964,0.12955189,"('diffident', 'self-confident')",0.1339596,0.1295519,-0.0044077
72,-0.2753693,-0.2646111,"('unambitious', 'ambitious')",-0.2753693,-0.2646111,0.0107582
73,-0.5832179,-0.6662935,"('helpless', 'self-reliant')",-0.5832179,-0.6662935,-0.0830756
