,fiserv_male,fiserv_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.46991748,-0.6362544,"('unsociable', 'sociable')",-0.13583046,-0.3727914,-0.302874,-0.5045229,-0.2016489
1,-1.2136964,-1.3431741,"('unfriendly', 'friendly')",1.5209488,1.3251067,0.1536262,-0.0090337,-0.1626599
2,0.63547546,0.6867675,"('unlikable', 'likable')",0.841042,0.8846151,0.7382587,0.7856913,0.0474326
3,-0.051191106,0.043111943,"('repellent', 'pleasant')",0.1596429,0.21296474,0.0542259,0.1280383,0.0738124
4,-0.074390955,-0.09443474,"('disliked', 'liked')",-5.594479,-5.5566325,-2.834435,-2.8255336,0.0089014
5,-1.3844827,-1.3548687,"('distant', 'outgoing')",-0.28256097,-0.28360626,-0.8335218,-0.8192375,0.0142843
6,-1.9909045,-1.9449034,"('distant', 'open')",-0.08691548,-0.11779975,-1.0389099,-1.0313516,0.0075583
7,-0.29292104,-0.2297315,"('insensitive', 'sensitive')",0.3817523,0.43684855,0.0444156,0.1035585,0.0591429
8,-1.5736041,-1.6322072,"('unaffectionate', 'affectionate')",0.3801183,0.29713854,-0.5967429,-0.6675343,-0.0707914
9,-1.492263,-1.5270509,"('unaffectionate', 'caring')",0.7700642,0.74826944,-0.3610994,-0.3893907,-0.0282913
10,-0.9575639,-0.9606761,"('unsympathetic', 'sympathetic')",-0.52892506,-0.62280047,-0.7432445,-0.7917383,-0.0484938
11,-0.44483334,-0.5171206,"('unhelpful', 'helpful')",1.7772764,1.7416837,0.6662215,0.6122816,-0.0539399
12,-0.89148134,-0.7792921,"('unsupportive', 'supportive')",-1.8408332,-1.8155353,-1.3661573,-1.2974137,0.0687436
13,0.33635893,0.2203625,"('impolite', 'polite')",-0.00045458227,-0.023398869,0.1679522,0.0984818,-0.0694704
14,0.51943713,0.563256,"('antisocial', 'social')",-0.18086976,-0.22499941,0.1692837,0.1691283,-0.0001554
15,-0.066755764,-0.18826716,"('boring', 'funny')",0.7532498,0.73535097,0.343247,0.2735419,-0.0697051
16,-0.35657027,-0.42305583,"('unpopular', 'popular')",0.863935,0.8348179,0.2536824,0.205881,-0.0478014
17,-0.1952953,-0.2176661,"('nasty', 'nice')",-0.26851106,-0.25865927,-0.2319032,-0.2381627,-0.0062595
18,-0.14982177,-0.124959975,"('disagreeable', 'welcoming')",-0.26720396,-0.35580343,-0.2085129,-0.2403817,-0.0318688
19,-1.5811487,-1.6348208,"('inhospitable', 'hospitable')",-0.11282708,-0.13652965,-0.8469879,-0.8856753,-0.0386874
20,0.39273104,0.39591545,"('rough', 'thoughtful')",1.0764778,0.9719002,0.7346044,0.6839079,-0.0506965
21,0.58848155,0.5046326,"('immoral', 'moral')",-0.19732235,-0.25178507,0.1955796,0.1264238,-0.0691558
22,0.19112307,0.19121131,"('untrustworthy', 'trustworthy')",-0.8108155,-0.8894863,-0.3098462,-0.3491375,-0.0392913
23,-0.5124206,-0.59548104,"('insincere', 'sincere')",5.404626,5.2853665,2.4461026,2.3449428,-0.1011598
24,-0.5184261,-0.51072747,"('dishonest', 'honest')",0.7261948,0.70407665,0.1038843,0.0966746,-0.0072097
25,-0.029751936,-0.06471206,"('egoistic', 'altruistic')",1.2917157,1.2459505,0.6309819,0.5906192,-0.0403627
26,-0.16659221,-0.24392475,"('hardhearted', 'benevolent')",1.4130313,1.2648934,0.6232195,0.5104843,-0.1127352
27,-0.801654,-0.71882665,"('hardhearted', 'softhearted')",1.1199477,1.1115867,0.1591468,0.19638,0.0372332
28,-0.20312081,-0.29622838,"('disloyal', 'loyal')",0.8574822,0.7108721,0.3271807,0.2073219,-0.1198588
29,-0.41008338,-0.414679,"('unfair', 'fair')",-0.56411314,-0.74020356,-0.4870983,-0.5774413,-0.090343
30,1.2999138,1.1849694,"('intolerant', 'tolerant')",1.7402378,1.634901,1.5200758,1.4099352,-0.1101406
31,-1.3219416,-1.2994001,"('evil', 'good')",-1.118368,-1.2209004,-1.2201548,-1.2601502,-0.0399954
32,-0.14432113,-0.2080704,"('unkind', 'kind')",0.86351925,0.72307426,0.3595991,0.2575019,-0.1020972
33,0.344371,0.25493532,"('wrong', 'right')",-0.4602955,-0.46853375,-0.0579623,-0.1067992,-0.0488369
34,-0.32978836,-0.31717268,"('mean', 'honorable')",5.8585024,5.9101114,2.7643571,2.7964694,0.0321123
35,-0.30668512,-0.33509663,"('corrupt', 'incorrupt')",-0.29629713,-0.37159592,-0.3014911,-0.3533463,-0.0518552
36,-1.304273,-1.4059131,"('hostile', 'amicable')",0.22377323,0.03662342,-0.5402499,-0.6846448,-0.1443949
37,-0.38600478,-0.34724036,"('fake', 'genuine')",-0.07147317,-0.06108231,-0.228739,-0.2041613,0.0245777
38,-0.83650905,-0.86559075,"('untruthful', 'truthful')",0.14348973,0.17003189,-0.3465097,-0.3477794,-0.0012697
39,0.7260482,0.68896383,"('exploitative', 'cooperative')",0.08757951,0.06534441,0.4068138,0.3771541,-0.0296597
40,0.022662498,0.14024633,"('stingy', 'generous')",-1.3889941,-1.3954649,-0.6831658,-0.6276093,0.0555565
41,-0.00695475,0.003480548,"('unforgiving', 'forgiving')",0.3947798,0.28155693,0.1939125,0.1425187,-0.0513938
42,0.010795865,0.07687785,"('unreliable', 'reliable')",-3.0845237,-2.9940598,-1.5368639,-1.458591,0.0782729
43,-0.6171726,-0.6144321,"('irresponsible', 'responsible')",0.448791,0.35758075,-0.0841908,-0.1284257,-0.0442349
44,0.15866166,0.15350918,"('prejudiced', 'unprejudiced')",-1.4287338,-1.4552408,-0.6350361,-0.6508659,-0.0158298
45,-0.110016555,-0.11414784,"('incompetent', 'competent')",0.045844987,-0.041471485,-0.0320858,-0.0778097,-0.0457239
46,-0.06054798,-0.070778504,"('uncompetitive', 'competitive')",-0.4845917,-0.5108843,-0.2725698,-0.2908314,-0.0182616
47,0.061037824,0.1376616,"('stupid', 'smart')",5.0729494,5.120922,2.5669937,2.6292918,0.0622981
48,0.37997428,0.31581748,"('unintelligent', 'intelligent')",1.114041,1.0383661,0.7470076,0.6770918,-0.0699158
49,0.08138834,0.15471186,"('unable', 'able')",0.22022772,0.31227514,0.150808,0.2334935,0.0826855
50,-0.09218589,-0.07136501,"('clumsy', 'skillful')",0.1554907,0.16650748,0.0316524,0.0475712,0.0159188
51,-0.21822238,-0.34942928,"('uneducated', 'educated')",0.79212683,0.70704144,0.2869522,0.1788061,-0.1081461
