,space_male,space_female,tuple,average_male,average_female,female-male
0,-0.2985308,-0.2984577,"('unsociable', 'sociable')",-0.2985308,-0.2984577,7.31e-05
1,1.6415994,1.4327885,"('unfriendly', 'friendly')",1.6415994,1.4327885,-0.2088109
2,0.27821654,0.3803153,"('unlikable', 'likable')",0.2782165,0.3803153,0.1020988
3,0.4168545,0.5599225,"('repellent', 'pleasant')",0.4168545,0.5599225,0.143068
4,-7.1768265,-7.3542185,"('disliked', 'liked')",-7.1768265,-7.3542185,-0.177392
5,-0.24157816,-0.34839022,"('distant', 'outgoing')",-0.2415782,-0.3483902,-0.106812
6,0.32168013,0.18994662,"('distant', 'open')",0.3216801,0.1899466,-0.1317335
7,0.59023255,0.7537271,"('insensitive', 'sensitive')",0.5902326,0.7537271,0.1634945
8,1.7132384,1.5166205,"('unaffectionate', 'affectionate')",1.7132384,1.5166205,-0.1966179
9,2.079231,2.0512853,"('unaffectionate', 'caring')",2.079231,2.0512853,-0.0279457
10,0.28762153,0.45841283,"('unsympathetic', 'sympathetic')",0.2876215,0.4584128,0.1707913
11,1.7105646,1.8269056,"('unhelpful', 'helpful')",1.7105646,1.8269056,0.116341
12,-1.6129253,-1.5612485,"('unsupportive', 'supportive')",-1.6129253,-1.5612485,0.0516768
13,-0.6106675,-0.49838915,"('impolite', 'polite')",-0.6106675,-0.4983892,0.1122783
14,-0.24487212,-0.20481128,"('antisocial', 'social')",-0.2448721,-0.2048113,0.0400608
15,-0.07880665,-0.17197442,"('boring', 'funny')",-0.0788067,-0.1719744,-0.0931677
16,0.18355116,0.12516117,"('unpopular', 'popular')",0.1835512,0.1251612,-0.05839
17,0.00228592,0.042512864,"('nasty', 'nice')",0.0022859,0.0425129,0.040227
18,-0.4485675,-0.4780624,"('disagreeable', 'welcoming')",-0.4485675,-0.4780624,-0.0294949
19,-0.62720937,-0.62516844,"('inhospitable', 'hospitable')",-0.6272094,-0.6251684,0.002041
20,0.8676443,0.7862682,"('rough', 'thoughtful')",0.8676443,0.7862682,-0.0813761
21,-0.68302536,-0.4365772,"('immoral', 'moral')",-0.6830254,-0.4365772,0.2464482
22,-0.9667495,-0.9307126,"('untrustworthy', 'trustworthy')",-0.9667495,-0.9307126,0.0360369
23,6.1716995,6.293631,"('insincere', 'sincere')",6.1716995,6.2936311,0.1219316
24,1.3591306,1.3007782,"('dishonest', 'honest')",1.3591306,1.3007782,-0.0583524
25,0.90072954,0.77278453,"('egoistic', 'altruistic')",0.9007295,0.7727845,-0.127945
26,1.0561801,0.8835278,"('hardhearted', 'benevolent')",1.0561801,0.8835278,-0.1726523
27,1.6352465,1.5019697,"('hardhearted', 'softhearted')",1.6352465,1.5019697,-0.1332768
28,1.4175942,1.3255236,"('disloyal', 'loyal')",1.4175942,1.3255236,-0.0920706
29,-0.4083904,-0.567577,"('unfair', 'fair')",-0.4083904,-0.567577,-0.1591866
30,0.63059276,0.74156487,"('intolerant', 'tolerant')",0.6305928,0.7415649,0.1109721
31,-0.56653124,-0.7398557,"('evil', 'good')",-0.5665312,-0.7398557,-0.1733245
32,1.1912181,1.1939617,"('unkind', 'kind')",1.1912181,1.1939617,0.0027436
33,0.12572993,-0.023845013,"('wrong', 'right')",0.1257299,-0.023845,-0.1495749
34,4.6740355,4.838607,"('mean', 'honorable')",4.6740355,4.8386068,0.1645713
35,-0.48645455,-0.8445051,"('corrupt', 'incorrupt')",-0.4864545,-0.8445051,-0.3580506
36,0.014823994,-0.2733429,"('hostile', 'amicable')",0.014824,-0.2733429,-0.2881669
37,0.59480184,0.60380864,"('fake', 'genuine')",0.5948018,0.6038086,0.0090068
38,0.18470463,0.15063305,"('untruthful', 'truthful')",0.1847046,0.1506331,-0.0340715
39,0.32990968,0.38860655,"('exploitative', 'cooperative')",0.3299097,0.3886065,0.0586968
40,-1.7401817,-1.8872858,"('stingy', 'generous')",-1.7401817,-1.8872858,-0.1471041
41,0.4211007,0.36183798,"('unforgiving', 'forgiving')",0.4211007,0.361838,-0.0592627
42,-2.7402608,-2.558455,"('unreliable', 'reliable')",-2.7402608,-2.558455,0.1818058
43,0.7105629,0.8884302,"('irresponsible', 'responsible')",0.7105629,0.8884302,0.1778673
44,-1.2222264,-1.1581414,"('prejudiced', 'unprejudiced')",-1.2222264,-1.1581414,0.064085
45,-0.044879764,-0.03716077,"('incompetent', 'competent')",-0.0448798,-0.0371608,0.007719
46,-1.3521076,-1.1957021,"('uncompetitive', 'competitive')",-1.3521076,-1.1957021,0.1564055
47,5.310334,5.405324,"('stupid', 'smart')",5.3103342,5.405324,0.0949898
48,0.6992507,0.683818,"('unintelligent', 'intelligent')",0.6992507,0.683818,-0.0154327
49,-0.016437436,0.12530448,"('unable', 'able')",-0.0164374,0.1253045,0.1417419
50,-0.115847066,-0.13321477,"('clumsy', 'skillful')",-0.1158471,-0.1332148,-0.0173677
51,-0.32903552,-0.30072075,"('uneducated', 'educated')",-0.3290355,-0.3007208,0.0283147
52,0.22614354,-0.07245257,"('irrational', 'rational')",0.2261435,-0.0724526,-0.2985961
53,0.39304987,0.36782163,"('uncreative', 'creative')",0.3930499,0.3678216,-0.0252283
54,1.0913533,1.1363182,"('incapable', 'capable')",1.0913533,1.1363182,0.0449649
55,0.12119918,0.27519536,"('incompetent', 'clever')",0.1211992,0.2751954,0.1539962
56,0.27838516,0.3998161,"('impractical', 'practical')",0.2783852,0.3998161,0.1214309
57,-2.971215,-2.9184256,"('unimaginative', 'imaginative')",-2.971215,-2.9184256,0.0527894
58,-0.049381822,-0.026064731,"('undiscriminating', 'discriminating')",-0.0493818,-0.0260647,0.0233171
59,0.5290839,0.4032454,"('foolish', 'wise')",0.5290839,0.4032454,-0.1258385
60,0.056327682,0.35632738,"('inefficient', 'efficient')",0.0563277,0.3563274,0.2999997
