,oversight_male,oversight_female,tuple,average_male,average_female,female-male
0,0.18532912,0.10534013,"('unsociable', 'sociable')",0.1853291,0.1053401,-0.079989
1,1.0620708,1.0217237,"('unfriendly', 'friendly')",1.0620708,1.0217237,-0.0403471
2,0.30864418,0.45140463,"('unlikable', 'likable')",0.3086442,0.4514046,0.1427604
3,0.6065574,0.7020851,"('repellent', 'pleasant')",0.6065574,0.7020851,0.0955277
4,-6.9848585,-6.9370494,"('disliked', 'liked')",-6.9848585,-6.9370494,0.0478091
5,-0.36059746,-0.15596968,"('distant', 'outgoing')",-0.3605975,-0.1559697,0.2046278
6,-0.070902854,0.093896694,"('distant', 'open')",-0.0709029,0.0938967,0.1647996
7,0.6997665,0.7435987,"('insensitive', 'sensitive')",0.6997665,0.7435987,0.0438322
8,0.992808,0.9522734,"('unaffectionate', 'affectionate')",0.992808,0.9522734,-0.0405346
9,1.9246963,1.9481504,"('unaffectionate', 'caring')",1.9246963,1.9481504,0.0234541
10,0.98355526,1.0668112,"('unsympathetic', 'sympathetic')",0.9835553,1.0668112,0.0832559
11,2.3879883,2.4379148,"('unhelpful', 'helpful')",2.3879883,2.4379148,0.0499265
12,-1.1069734,-1.0597644,"('unsupportive', 'supportive')",-1.1069734,-1.0597644,0.047209
13,0.47194716,0.44355893,"('impolite', 'polite')",0.4719472,0.4435589,-0.0283883
14,0.0150799565,-0.086770274,"('antisocial', 'social')",0.01508,-0.0867703,-0.1018503
15,0.2855179,0.34001034,"('boring', 'funny')",0.2855179,0.3400103,0.0544924
16,-0.3900177,-0.27762595,"('unpopular', 'popular')",-0.3900177,-0.2776259,0.1123918
17,-0.34254497,-0.2751998,"('nasty', 'nice')",-0.342545,-0.2751998,0.0673452
18,-0.5641474,-0.5582696,"('disagreeable', 'welcoming')",-0.5641474,-0.5582696,0.0058778
19,-0.7148913,-0.5099329,"('inhospitable', 'hospitable')",-0.7148913,-0.5099329,0.2049584
20,0.7001776,0.5433877,"('rough', 'thoughtful')",0.7001776,0.5433877,-0.1567899
21,0.19498053,0.24990071,"('immoral', 'moral')",0.1949805,0.2499007,0.0549202
22,-0.36928403,-0.30590588,"('untrustworthy', 'trustworthy')",-0.369284,-0.3059059,0.0633781
23,6.465101,6.4558563,"('insincere', 'sincere')",6.4651008,6.4558563,-0.0092445
24,1.8087744,1.8565816,"('dishonest', 'honest')",1.8087744,1.8565816,0.0478072
25,0.590002,0.43394876,"('egoistic', 'altruistic')",0.590002,0.4339488,-0.1560532
26,0.89440775,0.645934,"('hardhearted', 'benevolent')",0.8944077,0.645934,-0.2484737
27,1.6922545,1.4879827,"('hardhearted', 'softhearted')",1.6922545,1.4879827,-0.2042718
28,1.2108645,1.1350338,"('disloyal', 'loyal')",1.2108645,1.1350338,-0.0758307
29,-0.7264465,-0.7843825,"('unfair', 'fair')",-0.7264465,-0.7843825,-0.057936
30,0.7678061,0.76679045,"('intolerant', 'tolerant')",0.7678061,0.7667904,-0.0010157
31,-1.8613504,-1.7707369,"('evil', 'good')",-1.8613504,-1.7707369,0.0906135
32,1.4749765,1.4400928,"('unkind', 'kind')",1.4749765,1.4400928,-0.0348837
33,-0.25248015,-0.22842565,"('wrong', 'right')",-0.2524801,-0.2284257,0.0240544
34,5.0033884,5.103994,"('mean', 'honorable')",5.0033884,5.1039939,0.1006055
35,-1.5877568,-1.591939,"('corrupt', 'incorrupt')",-1.5877568,-1.591939,-0.0041822
