,reveal_male,reveal_female,tuple,average_male,average_female,female-male
0,0.028494578,-0.04398274,"('unsociable', 'sociable')",0.0284946,-0.0439827,-0.0724773
1,1.5444179,1.3805165,"('unfriendly', 'friendly')",1.5444179,1.3805165,-0.1639014
2,0.88426006,1.0905399,"('unlikable', 'likable')",0.8842601,1.0905399,0.2062798
3,0.9236296,1.0673155,"('repellent', 'pleasant')",0.9236296,1.0673155,0.1436859
4,-7.427458,-7.2834163,"('disliked', 'liked')",-7.4274578,-7.2834163,0.1440415
5,-0.6502761,-0.5687825,"('distant', 'outgoing')",-0.6502761,-0.5687825,0.0814936
6,-0.1292776,-0.10335991,"('distant', 'open')",-0.1292776,-0.1033599,0.0259177
7,1.423923,1.3702593,"('insensitive', 'sensitive')",1.423923,1.3702593,-0.0536637
8,1.0280426,1.0257854,"('unaffectionate', 'affectionate')",1.0280426,1.0257854,-0.0022572
9,1.5198027,1.4996036,"('unaffectionate', 'caring')",1.5198027,1.4996036,-0.0201991
10,1.700592,1.8041347,"('unsympathetic', 'sympathetic')",1.700592,1.8041347,0.1035427
11,2.1467068,2.1961732,"('unhelpful', 'helpful')",2.1467068,2.1961732,0.0494664
12,-1.225275,-1.1198261,"('unsupportive', 'supportive')",-1.225275,-1.1198261,0.1054489
13,0.38288903,0.42978257,"('impolite', 'polite')",0.382889,0.4297826,0.0468936
14,0.30663532,0.15026535,"('antisocial', 'social')",0.3066353,0.1502654,-0.1563699
15,0.35895327,0.30327857,"('boring', 'funny')",0.3589533,0.3032786,-0.0556747
16,-0.9572205,-0.85161674,"('unpopular', 'popular')",-0.9572205,-0.8516167,0.1056038
17,-0.84282076,-0.70360744,"('nasty', 'nice')",-0.8428208,-0.7036074,0.1392134
18,-0.4366835,-0.5329244,"('disagreeable', 'welcoming')",-0.4366835,-0.5329244,-0.0962409
19,-0.5515707,-0.45999804,"('inhospitable', 'hospitable')",-0.5515707,-0.459998,0.0915727
20,1.3099076,1.0531073,"('rough', 'thoughtful')",1.3099076,1.0531073,-0.2568003
21,0.6698288,0.6913887,"('immoral', 'moral')",0.6698288,0.6913887,0.0215599
22,0.39698225,0.36053824,"('untrustworthy', 'trustworthy')",0.3969823,0.3605382,-0.0364441
23,6.617276,6.5298257,"('insincere', 'sincere')",6.6172762,6.5298257,-0.0874505
24,2.727273,2.6091936,"('dishonest', 'honest')",2.727273,2.6091936,-0.1180794
25,0.66685504,0.51661515,"('egoistic', 'altruistic')",0.666855,0.5166152,-0.1502398
26,0.43245637,0.30198327,"('hardhearted', 'benevolent')",0.4324564,0.3019833,-0.1304731
27,1.4947779,1.4382892,"('hardhearted', 'softhearted')",1.4947779,1.4382892,-0.0564887
28,1.3698435,1.2438948,"('disloyal', 'loyal')",1.3698435,1.2438948,-0.1259487
29,-0.33859134,-0.48336393,"('unfair', 'fair')",-0.3385913,-0.4833639,-0.1447726
30,1.4641315,1.4376206,"('intolerant', 'tolerant')",1.4641315,1.4376206,-0.0265109
31,-2.021821,-2.031948,"('evil', 'good')",-2.021821,-2.0319481,-0.0101271
32,1.7681837,1.6021283,"('unkind', 'kind')",1.7681837,1.6021283,-0.1660554
33,-0.3150619,-0.33551863,"('wrong', 'right')",-0.3150619,-0.3355186,-0.0204567
34,4.300394,4.4073534,"('mean', 'honorable')",4.3003941,4.4073534,0.1069593
35,-1.4625739,-1.5852029,"('corrupt', 'incorrupt')",-1.4625739,-1.5852029,-0.122629
36,-0.9523878,-1.0344634,"('hostile', 'amicable')",-0.9523878,-1.0344634,-0.0820756
37,0.8189954,0.76354367,"('fake', 'genuine')",0.8189954,0.7635437,-0.0554517
38,0.5058472,0.4866337,"('untruthful', 'truthful')",0.5058472,0.4866337,-0.0192135
39,-0.09421286,-0.19357029,"('exploitative', 'cooperative')",-0.0942129,-0.1935703,-0.0993574
40,-1.3670006,-1.437421,"('stingy', 'generous')",-1.3670006,-1.437421,-0.0704204
41,0.46036968,0.3962507,"('unforgiving', 'forgiving')",0.4603697,0.3962507,-0.064119
42,-1.0107137,-0.98808414,"('unreliable', 'reliable')",-1.0107137,-0.9880841,0.0226296
43,2.0188859,1.9763476,"('irresponsible', 'responsible')",2.0188859,1.9763476,-0.0425383
44,-0.94998974,-0.9888934,"('prejudiced', 'unprejudiced')",-0.9499897,-0.9888934,-0.0389037
45,0.5608231,0.600808,"('incompetent', 'competent')",0.5608231,0.600808,0.0399849
46,0.21724914,0.3093,"('uncompetitive', 'competitive')",0.2172491,0.3093,0.0920509
47,5.2421255,5.3794127,"('stupid', 'smart')",5.2421255,5.3794127,0.1372872
48,1.3557947,1.2599677,"('unintelligent', 'intelligent')",1.3557947,1.2599677,-0.095827
49,0.6049098,0.7478749,"('unable', 'able')",0.6049098,0.7478749,0.1429651
50,-0.06827091,0.055198528,"('clumsy', 'skillful')",-0.0682709,0.0551985,0.1234694
51,1.200865,1.1589323,"('uneducated', 'educated')",1.200865,1.1589323,-0.0419327
52,-0.8202728,-0.87031597,"('irrational', 'rational')",-0.8202728,-0.870316,-0.0500432
53,0.48035568,0.44243267,"('uncreative', 'creative')",0.4803557,0.4424327,-0.037923
54,1.5002083,1.6344267,"('incapable', 'capable')",1.5002083,1.6344267,0.1342184
55,1.5464861,1.433486,"('incompetent', 'clever')",1.5464861,1.433486,-0.1130001
56,0.92043376,0.82604307,"('impractical', 'practical')",0.9204338,0.8260431,-0.0943907
57,-1.8562223,-1.7219504,"('unimaginative', 'imaginative')",-1.8562223,-1.7219504,0.1342719
58,-0.06602916,-0.124175966,"('undiscriminating', 'discriminating')",-0.0660292,-0.124176,-0.0581468
59,-0.25473908,-0.098959215,"('foolish', 'wise')",-0.2547391,-0.0989592,0.1557799
60,1.1224431,1.0907469,"('inefficient', 'efficient')",1.1224431,1.0907469,-0.0316962
61,0.69445807,0.44279313,"('illogical', 'logical')",0.6944581,0.4427931,-0.251665
62,1.8286914,1.8986055,"('incompetent', 'brilliant')",1.8286914,1.8986055,0.0699141
63,1.048613,1.0973482,"('unperceptive', 'insightful')",1.048613,1.0973482,0.0487352
64,-5.4966955,-5.37376,"('shy', 'confident')",-5.4966955,-5.3737602,0.1229353
65,1.1295705,1.1579632,"('insecure', 'secure')",1.1295705,1.1579632,0.0283927
66,-0.10503979,-0.06640774,"('inactive', 'active')",-0.1050398,-0.0664077,0.0386321
67,-0.6819245,-0.6789553,"('doubtful', 'determined')",-0.6819245,-0.6789553,0.0029692
68,-0.1536684,-0.19253954,"('dependent', 'independent')",-0.1536684,-0.1925395,-0.0388711
69,-2.0487542,-2.0137105,"('lazy', 'industrious')",-2.0487542,-2.0137105,0.0350437
70,1.9854913,2.043337,"('lethargic', 'energetic')",1.9854913,2.0433371,0.0578458
71,0.39350557,0.4068843,"('diffident', 'self-confident')",0.3935056,0.4068843,0.0133787
72,1.1199771,1.2068715,"('unambitious', 'ambitious')",1.1199771,1.2068715,0.0868944
73,-3.3824897,-3.2374797,"('helpless', 'self-reliant')",-3.3824897,-3.2374797,0.14501
74,0.36161652,0.22811641,"('undedicated', 'dedicated')",0.3616165,0.2281164,-0.1335001
75,-0.9096694,-0.62253207,"('meek', 'impulsive')",-0.9096694,-0.6225321,0.2871373
76,1.3834673,1.310898,"('anxious', 'daring')",1.3834673,1.3108979,-0.0725694
77,-0.7144197,-0.7186706,"('unmotivated', 'motivated')",-0.7144197,-0.7186706,-0.0042509
78,-0.48494315,-0.48149583,"('nonresilient', 'resilient')",-0.4849432,-0.4814958,0.0034474
79,-0.45331368,-0.37641615,"('wavering', 'unwavering')",-0.4533137,-0.3764161,0.0768976
80,0.36821973,0.25946507,"('dominated', 'dominating')",0.3682197,0.2594651,-0.1087546
81,0.7647622,0.8335981,"('submissive', 'aggressive')",0.7647622,0.8335981,0.0688359
82,6.4591393,6.656508,"('poor', 'rich')",6.4591393,6.656508,0.1973687
83,0.42377186,0.32035813,"('powerless', 'powerful')",0.4237719,0.3203581,-0.1034138
