,zone_male,zone_female,tuple,average_male,average_female,female-male
0,0.08274643,-0.17248662,"('unsociable', 'sociable')",0.0827464,-0.1724866,-0.255233
1,1.3471226,1.3324492,"('unfriendly', 'friendly')",1.3471226,1.3324492,-0.0146734
2,0.5650668,0.58690447,"('unlikable', 'likable')",0.5650668,0.5869045,0.0218377
3,0.0081063565,0.2302202,"('repellent', 'pleasant')",0.0081064,0.2302202,0.2221138
4,-7.241656,-7.4547715,"('disliked', 'liked')",-7.2416558,-7.4547715,-0.2131157
5,-0.6415023,-0.52644795,"('distant', 'outgoing')",-0.6415023,-0.526448,0.1150543
6,-0.21602723,-0.11812656,"('distant', 'open')",-0.2160272,-0.1181266,0.0979006
7,0.61694396,0.65175444,"('insensitive', 'sensitive')",0.616944,0.6517544,0.0348104
8,1.2889993,1.3222299,"('unaffectionate', 'affectionate')",1.2889993,1.3222299,0.0332306
9,1.5418565,1.6630409,"('unaffectionate', 'caring')",1.5418565,1.6630409,0.1211844
10,0.34995997,0.58603096,"('unsympathetic', 'sympathetic')",0.34996,0.586031,0.236071
11,2.1848044,2.2290528,"('unhelpful', 'helpful')",2.1848044,2.2290528,0.0442484
12,-1.7635348,-1.8251965,"('unsupportive', 'supportive')",-1.7635348,-1.8251965,-0.0616617
13,0.009103462,-0.014837187,"('impolite', 'polite')",0.0091035,-0.0148372,-0.0239407
14,-0.40985337,-0.5330068,"('antisocial', 'social')",-0.4098534,-0.5330068,-0.1231534
15,1.0627565,0.8434322,"('boring', 'funny')",1.0627565,0.8434322,-0.2193243
16,0.5069176,0.303707,"('unpopular', 'popular')",0.5069176,0.303707,-0.2032106
17,0.07004179,0.080366805,"('nasty', 'nice')",0.0700418,0.0803668,0.010325
18,-0.8801068,-0.89111507,"('disagreeable', 'welcoming')",-0.8801068,-0.8911151,-0.0110083
19,-0.11884436,-0.08837522,"('inhospitable', 'hospitable')",-0.1188444,-0.0883752,0.0304692
20,0.12100792,0.086597875,"('rough', 'thoughtful')",0.1210079,0.0865979,-0.03441
21,-0.45980963,-0.2622031,"('immoral', 'moral')",-0.4598096,-0.2622031,0.1976065
22,-0.8958978,-0.8833558,"('untrustworthy', 'trustworthy')",-0.8958978,-0.8833558,0.012542
23,6.7043557,6.807315,"('insincere', 'sincere')",6.7043557,6.8073149,0.1029592
24,1.0209646,1.2314374,"('dishonest', 'honest')",1.0209646,1.2314374,0.2104728
25,0.49376804,0.42070827,"('egoistic', 'altruistic')",0.493768,0.4207083,-0.0730597
26,1.2930722,0.9953686,"('hardhearted', 'benevolent')",1.2930722,0.9953686,-0.2977036
27,1.1710843,1.1579227,"('hardhearted', 'softhearted')",1.1710843,1.1579227,-0.0131616
28,1.267981,1.3409358,"('disloyal', 'loyal')",1.2679811,1.3409358,0.0729547
29,-0.94501793,-1.1359208,"('unfair', 'fair')",-0.9450179,-1.1359208,-0.1909029
30,1.1946526,1.2638229,"('intolerant', 'tolerant')",1.1946526,1.2638229,0.0691703
31,-1.3378396,-1.4683625,"('evil', 'good')",-1.3378396,-1.4683625,-0.1305229
32,1.2849766,1.1953572,"('unkind', 'kind')",1.2849766,1.1953572,-0.0896194
33,-0.2414594,-0.3649473,"('wrong', 'right')",-0.2414594,-0.3649473,-0.1234879
34,5.361223,5.60014,"('mean', 'honorable')",5.3612232,5.6001401,0.2389169
35,-0.6227869,-0.96796536,"('corrupt', 'incorrupt')",-0.6227869,-0.9679654,-0.3451785
36,-0.2453873,-0.49409896,"('hostile', 'amicable')",-0.2453873,-0.494099,-0.2487117
37,0.36186868,0.44995224,"('fake', 'genuine')",0.3618687,0.4499522,0.0880835
