,warning_male,warning_female,tuple,average_male,average_female,female-male
0,0.1582129,0.05232145,"('unsociable', 'sociable')",0.1582129,0.0523214,-0.1058915
1,1.0955439,1.1010034,"('unfriendly', 'friendly')",1.0955439,1.1010034,0.0054595
2,0.40352398,0.57752407,"('unlikable', 'likable')",0.403524,0.5775241,0.1740001
3,0.76936424,0.94745153,"('repellent', 'pleasant')",0.7693642,0.9474515,0.1780873
4,-7.637943,-7.7288623,"('disliked', 'liked')",-7.6379428,-7.7288623,-0.0909195
5,-0.47202346,-0.26726916,"('distant', 'outgoing')",-0.4720235,-0.2672692,0.2047543
6,-0.2398386,-0.049900264,"('distant', 'open')",-0.2398386,-0.0499003,0.1899383
7,0.82179147,0.9334876,"('insensitive', 'sensitive')",0.8217915,0.9334876,0.1116961
8,1.0764056,1.1081332,"('unaffectionate', 'affectionate')",1.0764056,1.1081332,0.0317276
9,1.6462797,1.828185,"('unaffectionate', 'caring')",1.6462797,1.828185,0.1819053
10,1.437045,1.6096348,"('unsympathetic', 'sympathetic')",1.437045,1.6096348,0.1725898
11,2.3635142,2.4845963,"('unhelpful', 'helpful')",2.3635142,2.4845963,0.1210821
12,-1.5446155,-1.4817373,"('unsupportive', 'supportive')",-1.5446155,-1.4817373,0.0628782
13,0.6884425,0.62152815,"('impolite', 'polite')",0.6884425,0.6215281,-0.0669144
14,-0.04389398,-0.141671,"('antisocial', 'social')",-0.043894,-0.141671,-0.097777
15,0.3380145,0.21297842,"('boring', 'funny')",0.3380145,0.2129784,-0.1250361
16,-0.45605826,-0.36803436,"('unpopular', 'popular')",-0.4560583,-0.3680344,0.0880239
17,-0.3143771,-0.40702313,"('nasty', 'nice')",-0.3143771,-0.4070231,-0.092646
18,-0.70295113,-0.7913698,"('disagreeable', 'welcoming')",-0.7029511,-0.7913698,-0.0884187
19,-0.88334185,-0.73489255,"('inhospitable', 'hospitable')",-0.8833418,-0.7348925,0.1484493
20,0.8248842,0.65823454,"('rough', 'thoughtful')",0.8248842,0.6582345,-0.1666497
21,0.07791413,0.2774319,"('immoral', 'moral')",0.0779141,0.2774319,0.1995178
22,-0.34839073,-0.35975108,"('untrustworthy', 'trustworthy')",-0.3483907,-0.3597511,-0.0113604
23,6.550415,6.720483,"('insincere', 'sincere')",6.550415,6.7204828,0.1700678
24,1.7547954,1.8221128,"('dishonest', 'honest')",1.7547954,1.8221128,0.0673174
25,0.09928617,0.05931406,"('egoistic', 'altruistic')",0.0992862,0.0593141,-0.0399721
26,0.35022452,0.12267944,"('hardhearted', 'benevolent')",0.3502245,0.1226794,-0.2275451
27,1.6031935,1.480655,"('hardhearted', 'softhearted')",1.6031935,1.480655,-0.1225385
28,1.1902932,1.236445,"('disloyal', 'loyal')",1.1902932,1.236445,0.0461518
29,-0.5034159,-0.7123381,"('unfair', 'fair')",-0.5034159,-0.7123381,-0.2089222
30,0.91962445,0.9535434,"('intolerant', 'tolerant')",0.9196244,0.9535434,0.033919
31,-2.0636616,-2.0500257,"('evil', 'good')",-2.0636616,-2.0500257,0.0136359
32,1.4006718,1.3431712,"('unkind', 'kind')",1.4006718,1.3431712,-0.0575006
33,-0.48474702,-0.46256897,"('wrong', 'right')",-0.484747,-0.462569,0.022178
34,4.629129,4.927276,"('mean', 'honorable')",4.6291289,4.9272761,0.2981472
35,-1.3458712,-1.5100209,"('corrupt', 'incorrupt')",-1.3458712,-1.5100209,-0.1641497
36,-1.3525151,-1.4728335,"('hostile', 'amicable')",-1.3525151,-1.4728335,-0.1203184
37,0.91374063,0.9023375,"('fake', 'genuine')",0.9137406,0.9023375,-0.0114031
38,0.016867772,0.10803353,"('untruthful', 'truthful')",0.0168678,0.1080335,0.0911657
39,0.1228022,0.07840759,"('exploitative', 'cooperative')",0.1228022,0.0784076,-0.0443946
40,-1.9650863,-2.1311584,"('stingy', 'generous')",-1.9650863,-2.1311584,-0.1660721
41,0.031991094,-0.04802987,"('unforgiving', 'forgiving')",0.0319911,-0.0480299,-0.080021
42,-2.0878572,-2.0799212,"('unreliable', 'reliable')",-2.0878572,-2.0799212,0.007936
43,1.5654765,1.6675912,"('irresponsible', 'responsible')",1.5654765,1.6675912,0.1021147
44,-1.0094111,-1.1433442,"('prejudiced', 'unprejudiced')",-1.0094111,-1.1433442,-0.1339331
45,0.35816023,0.4644415,"('incompetent', 'competent')",0.3581602,0.4644415,0.1062813
46,-0.18393688,-0.11810077,"('uncompetitive', 'competitive')",-0.1839369,-0.1181008,0.0658361
47,5.541683,5.7531104,"('stupid', 'smart')",5.5416832,5.7531104,0.2114272
48,0.67950785,0.71804565,"('unintelligent', 'intelligent')",0.6795079,0.7180457,0.0385378
49,0.21136384,0.41541198,"('unable', 'able')",0.2113638,0.415412,0.2040482
50,-0.4544649,-0.36709395,"('clumsy', 'skillful')",-0.4544649,-0.367094,0.0873709
51,0.43015993,0.4640469,"('uneducated', 'educated')",0.4301599,0.4640469,0.033887
52,-0.63699186,-0.6502279,"('irrational', 'rational')",-0.6369919,-0.6502279,-0.013236
53,-0.14054285,-0.07720442,"('uncreative', 'creative')",-0.1405428,-0.0772044,0.0633384
54,1.1732578,1.427146,"('incapable', 'capable')",1.1732578,1.427146,0.2538882
55,0.887095,1.0049803,"('incompetent', 'clever')",0.887095,1.0049803,0.1178853
56,1.0059307,1.1220559,"('impractical', 'practical')",1.0059307,1.1220559,0.1161252
57,-2.4881349,-2.4621193,"('unimaginative', 'imaginative')",-2.4881349,-2.4621193,0.0260156
58,0.006999675,-0.07660523,"('undiscriminating', 'discriminating')",0.0069997,-0.0766052,-0.0836049
59,-0.16350375,-0.12610334,"('foolish', 'wise')",-0.1635038,-0.1261033,0.0374005
60,1.2516006,1.3124374,"('inefficient', 'efficient')",1.2516006,1.3124374,0.0608368
61,0.26783144,0.15757346,"('illogical', 'logical')",0.2678314,0.1575735,-0.1102579
62,1.5572315,1.7629033,"('incompetent', 'brilliant')",1.5572315,1.7629033,0.2056718
63,0.5381324,0.6937777,"('unperceptive', 'insightful')",0.5381324,0.6937777,0.1556453
64,-5.918463,-5.8018174,"('shy', 'confident')",-5.9184632,-5.8018174,0.1166458
65,0.6210909,0.67542213,"('insecure', 'secure')",0.6210909,0.6754221,0.0543312
66,-0.26377884,-0.26432285,"('inactive', 'active')",-0.2637788,-0.2643228,-0.000544
67,-0.23184563,-0.2656665,"('doubtful', 'determined')",-0.2318456,-0.2656665,-0.0338209
68,-0.55123955,-0.3792084,"('dependent', 'independent')",-0.5512396,-0.3792084,0.1720312
69,-2.3340878,-2.2387004,"('lazy', 'industrious')",-2.3340878,-2.2387004,0.0953874
70,1.4045113,1.5153077,"('lethargic', 'energetic')",1.4045113,1.5153077,0.1107964
71,0.24266118,0.29133826,"('diffident', 'self-confident')",0.2426612,0.2913383,0.0486771
72,1.154601,1.2103714,"('unambitious', 'ambitious')",1.154601,1.2103714,0.0557704
73,-3.1129067,-3.1671011,"('helpless', 'self-reliant')",-3.1129067,-3.1671011,-0.0541944
74,0.03713418,-0.074208744,"('undedicated', 'dedicated')",0.0371342,-0.0742087,-0.1113429
75,-0.9658394,-0.88094157,"('meek', 'impulsive')",-0.9658394,-0.8809416,0.0848978
76,0.7990068,0.7429187,"('anxious', 'daring')",0.7990068,0.7429187,-0.0560881
77,-1.1745753,-0.954174,"('unmotivated', 'motivated')",-1.1745753,-0.954174,0.2204013
78,-0.6225911,-0.6121779,"('nonresilient', 'resilient')",-0.6225911,-0.6121779,0.0104132
79,-0.81997603,-0.6376429,"('wavering', 'unwavering')",-0.819976,-0.6376429,0.1823331
80,0.083642796,0.019178264,"('dominated', 'dominating')",0.0836428,0.0191783,-0.0644645
81,0.43543983,0.46719941,"('submissive', 'aggressive')",0.4354398,0.4671994,0.0317596
82,6.669365,7.028688,"('poor', 'rich')",6.6693649,7.028688,0.3593231
83,-0.33752933,-0.326284,"('powerless', 'powerful')",-0.3375293,-0.326284,0.0112453
84,0.25120863,0.30573624,"('inferior', 'superior')",0.2512086,0.3057362,0.0545276
85,-1.6768229,-1.8017415,"('insignificant', 'prestigious')",-1.6768229,-1.8017415,-0.1249186
86,0.45455593,0.6280822,"('uninfluential', 'influential')",0.4545559,0.6280822,0.1735263
87,0.058351904,0.21138811,"('unsuccessful', 'successful')",0.0583519,0.2113881,0.1530362
88,0.18340982,0.23583439,"('low', 'eminent')",0.1834098,0.2358344,0.0524246
