,racism_male,racism_female,tuple,average_male,average_female,female-male
0,0.21615155,0.13354264,"('unsociable', 'sociable')",0.2161516,0.1335426,-0.082609
1,0.9435817,0.8667049,"('unfriendly', 'friendly')",0.9435817,0.8667049,-0.0768768
2,0.3168406,0.4143637,"('unlikable', 'likable')",0.3168406,0.4143637,0.0975231
3,0.9065028,0.9472135,"('repellent', 'pleasant')",0.9065028,0.9472135,0.0407107
4,-7.4863796,-7.4809523,"('disliked', 'liked')",-7.4863796,-7.4809523,0.0054273
5,-0.583623,-0.5957272,"('distant', 'outgoing')",-0.583623,-0.5957272,-0.0121042
6,-0.27184874,-0.33605218,"('distant', 'open')",-0.2718487,-0.3360522,-0.0642035
7,1.4011035,1.3522683,"('insensitive', 'sensitive')",1.4011035,1.3522683,-0.0488352
8,0.86409855,0.7955939,"('unaffectionate', 'affectionate')",0.8640985,0.7955939,-0.0685046
9,1.237642,1.2478188,"('unaffectionate', 'caring')",1.237642,1.2478188,0.0101768
10,1.7385359,1.6529205,"('unsympathetic', 'sympathetic')",1.7385359,1.6529205,-0.0856154
11,1.8586836,1.8437939,"('unhelpful', 'helpful')",1.8586836,1.8437939,-0.0148897
12,-1.197678,-1.1931704,"('unsupportive', 'supportive')",-1.197678,-1.1931704,0.0045076
13,0.42064014,0.36805722,"('impolite', 'polite')",0.4206401,0.3680572,-0.0525829
14,0.3323813,0.2853677,"('antisocial', 'social')",0.3323813,0.2853677,-0.0470136
15,0.14897603,0.12444961,"('boring', 'funny')",0.148976,0.1244496,-0.0245264
16,-0.80029196,-0.71817386,"('unpopular', 'popular')",-0.800292,-0.7181739,0.0821181
17,-0.1666053,-0.113767326,"('nasty', 'nice')",-0.1666053,-0.1137673,0.052838
18,-0.40887424,-0.43107995,"('disagreeable', 'welcoming')",-0.4088742,-0.43108,-0.0222058
19,-0.61015487,-0.62332124,"('inhospitable', 'hospitable')",-0.6101549,-0.6233212,-0.0131663
20,0.69110626,0.5599333,"('rough', 'thoughtful')",0.6911063,0.5599333,-0.131173
21,0.33391795,0.38065153,"('immoral', 'moral')",0.3339179,0.3806515,0.0467336
22,0.23633504,0.16223629,"('untrustworthy', 'trustworthy')",0.236335,0.1622363,-0.0740987
23,6.4454794,6.3801284,"('insincere', 'sincere')",6.4454794,6.3801284,-0.065351
24,1.9345537,1.8275255,"('dishonest', 'honest')",1.9345537,1.8275255,-0.1070282
25,0.09064555,0.13804635,"('egoistic', 'altruistic')",0.0906456,0.1380464,0.0474008
26,0.09413692,0.036037773,"('hardhearted', 'benevolent')",0.0941369,0.0360378,-0.0580991
27,1.4887238,1.3198383,"('hardhearted', 'softhearted')",1.4887238,1.3198383,-0.1688855
28,0.96803075,0.8562163,"('disloyal', 'loyal')",0.9680308,0.8562163,-0.1118145
29,-0.40527648,-0.5362084,"('unfair', 'fair')",-0.4052765,-0.5362084,-0.1309319
30,1.5043188,1.4580425,"('intolerant', 'tolerant')",1.5043188,1.4580425,-0.0462763
31,-1.5915117,-1.582366,"('evil', 'good')",-1.5915117,-1.582366,0.0091457
32,1.1343498,1.0403494,"('unkind', 'kind')",1.1343498,1.0403494,-0.0940004
33,-0.89176774,-0.8246396,"('wrong', 'right')",-0.8917677,-0.8246396,0.0671281
34,4.39237,4.4958773,"('mean', 'honorable')",4.3923702,4.4958773,0.1035071
35,-1.4455004,-1.5826969,"('corrupt', 'incorrupt')",-1.4455004,-1.5826969,-0.1371965
36,-1.0489515,-1.0830132,"('hostile', 'amicable')",-1.0489515,-1.0830132,-0.0340617
37,0.7113721,0.65506965,"('fake', 'genuine')",0.7113721,0.6550696,-0.0563025
38,-0.3045004,-0.27426016,"('untruthful', 'truthful')",-0.3045004,-0.2742602,0.0302402
39,0.1681838,0.13554862,"('exploitative', 'cooperative')",0.1681838,0.1355486,-0.0326352
40,-1.0664741,-1.167549,"('stingy', 'generous')",-1.0664741,-1.167549,-0.1010749
41,-0.0012627393,-0.042024158,"('unforgiving', 'forgiving')",-0.0012627,-0.0420242,-0.0407615
42,-1.5172242,-1.546136,"('unreliable', 'reliable')",-1.5172242,-1.546136,-0.0289118
43,1.7311012,1.684741,"('irresponsible', 'responsible')",1.7311012,1.684741,-0.0463602
44,-1.0564454,-1.0564946,"('prejudiced', 'unprejudiced')",-1.0564454,-1.0564946,-4.92e-05
45,0.39855924,0.26376644,"('incompetent', 'competent')",0.3985592,0.2637664,-0.1347928
46,-0.077322975,-0.102531165,"('uncompetitive', 'competitive')",-0.077323,-0.1025312,-0.0252082
47,5.5963035,5.6435723,"('stupid', 'smart')",5.5963035,5.6435723,0.0472688
48,0.9795568,0.8832756,"('unintelligent', 'intelligent')",0.9795568,0.8832756,-0.0962812
49,-0.1669153,-0.12791902,"('unable', 'able')",-0.1669153,-0.127919,0.0389963
50,-0.2379317,-0.23698758,"('clumsy', 'skillful')",-0.2379317,-0.2369876,0.0009441
51,0.5449716,0.46955955,"('uneducated', 'educated')",0.5449716,0.4695596,-0.075412
52,-0.74051064,-0.7967403,"('irrational', 'rational')",-0.7405106,-0.7967403,-0.0562297
53,0.17706066,0.08353375,"('uncreative', 'creative')",0.1770607,0.0835337,-0.093527
54,0.86533594,0.9033989,"('incapable', 'capable')",0.8653359,0.9033989,0.038063
55,1.0997308,0.9921825,"('incompetent', 'clever')",1.0997308,0.9921825,-0.1075483
