,jellyfish_male,jellyfish_female,tuple,average_male,average_female,female-male
0,0.89371383,0.76382977,"('unsociable', 'sociable')",0.8937138,0.7638298,-0.129884
1,-0.4308591,-0.5989384,"('unfriendly', 'friendly')",-0.4308591,-0.5989384,-0.1680793
2,0.31344846,0.30290374,"('unlikable', 'likable')",0.3134485,0.3029037,-0.0105448
3,0.026125617,0.071955875,"('repellent', 'pleasant')",0.0261256,0.0719559,0.0458303
4,-2.5721593,-2.5509012,"('disliked', 'liked')",-2.5721593,-2.5509012,0.0212581
5,-1.0015979,-0.92744863,"('distant', 'outgoing')",-1.0015979,-0.9274486,0.0741493
6,-1.4834616,-1.4589905,"('distant', 'open')",-1.4834616,-1.4589905,0.0244711
7,0.65540236,0.63443565,"('insensitive', 'sensitive')",0.6554024,0.6344357,-0.0209667
8,-0.22293055,-0.34530225,"('unaffectionate', 'affectionate')",-0.2229306,-0.3453023,-0.1223717
9,0.063811235,-0.03582824,"('unaffectionate', 'caring')",0.0638112,-0.0358282,-0.0996394
10,0.49636918,0.46579736,"('unsympathetic', 'sympathetic')",0.4963692,0.4657974,-0.0305718
11,1.9191875,1.9094148,"('unhelpful', 'helpful')",1.9191875,1.9094148,-0.0097727
12,-0.43935922,-0.41035354,"('unsupportive', 'supportive')",-0.4393592,-0.4103535,0.0290057
13,0.8630129,0.8436804,"('impolite', 'polite')",0.8630129,0.8436804,-0.0193325
14,0.868939,0.7613007,"('antisocial', 'social')",0.868939,0.7613007,-0.1076383
15,0.51859283,0.4222541,"('boring', 'funny')",0.5185928,0.4222541,-0.0963387
16,0.105220936,0.15228651,"('unpopular', 'popular')",0.1052209,0.1522865,0.0470656
17,-0.5115104,-0.44018912,"('nasty', 'nice')",-0.5115104,-0.4401891,0.0713213
18,-0.5917327,-0.70936435,"('disagreeable', 'welcoming')",-0.5917327,-0.7093644,-0.1176317
19,-1.4123055,-1.2738637,"('inhospitable', 'hospitable')",-1.4123055,-1.2738637,0.1384418
20,0.23810661,0.19316627,"('rough', 'thoughtful')",0.2381066,0.1931663,-0.0449403
21,1.2701136,1.2423139,"('immoral', 'moral')",1.2701136,1.2423139,-0.0277997
22,-0.051213138,-0.22300756,"('untrustworthy', 'trustworthy')",-0.0512131,-0.2230076,-0.1717945
23,2.6529686,2.5727677,"('insincere', 'sincere')",2.6529686,2.5727677,-0.0802009
24,0.45137537,0.31229916,"('dishonest', 'honest')",0.4513754,0.3122992,-0.1390762
25,-0.17285302,-0.24302761,"('egoistic', 'altruistic')",-0.172853,-0.2430276,-0.0701746
26,-0.28404966,-0.5115265,"('hardhearted', 'benevolent')",-0.2840497,-0.5115265,-0.2274768
27,-0.62393874,-0.75849026,"('hardhearted', 'softhearted')",-0.6239387,-0.7584903,-0.1345516
28,0.6043719,0.5323126,"('disloyal', 'loyal')",0.6043719,0.5323126,-0.0720593
29,-0.69552076,-0.69229597,"('unfair', 'fair')",-0.6955208,-0.692296,0.0032248
30,0.65702415,0.5617046,"('intolerant', 'tolerant')",0.6570241,0.5617046,-0.0953195
31,-2.423043,-2.4100966,"('evil', 'good')",-2.423043,-2.4100966,0.0129464
32,1.0114827,0.8692339,"('unkind', 'kind')",1.0114827,0.8692339,-0.1422488
33,-0.65205586,-0.7104748,"('wrong', 'right')",-0.6520559,-0.7104748,-0.0584189
34,0.9596007,1.1074184,"('mean', 'honorable')",0.9596007,1.1074184,0.1478177
35,-1.5444663,-1.5221599,"('corrupt', 'incorrupt')",-1.5444663,-1.5221599,0.0223064
36,-2.359308,-2.407209,"('hostile', 'amicable')",-2.359308,-2.4072089,-0.0479009
37,-0.33360967,-0.34388572,"('fake', 'genuine')",-0.3336097,-0.3438857,-0.010276
38,0.5106672,0.51250577,"('untruthful', 'truthful')",0.5106672,0.5125058,0.0018386
39,1.1242495,1.0634481,"('exploitative', 'cooperative')",1.1242495,1.0634481,-0.0608014
40,-1.664101,-1.6918169,"('stingy', 'generous')",-1.664101,-1.6918169,-0.0277159
41,0.030016858,-0.14806554,"('unforgiving', 'forgiving')",0.0300169,-0.1480655,-0.1780824
42,-0.76834184,-0.76315385,"('unreliable', 'reliable')",-0.7683418,-0.7631539,0.0051879
43,0.20474495,0.1352395,"('irresponsible', 'responsible')",0.2047449,0.1352395,-0.0695054
44,-0.48792836,-0.47126234,"('prejudiced', 'unprejudiced')",-0.4879284,-0.4712623,0.0166661
45,0.47203347,0.43354356,"('incompetent', 'competent')",0.4720335,0.4335436,-0.0384899
46,1.0376365,1.0833362,"('uncompetitive', 'competitive')",1.0376365,1.0833362,0.0456997
47,1.5724741,1.5388376,"('stupid', 'smart')",1.5724741,1.5388376,-0.0336365
48,1.1866562,1.112776,"('unintelligent', 'intelligent')",1.1866562,1.112776,-0.0738802
49,0.2843179,0.43129113,"('unable', 'able')",0.2843179,0.4312911,0.1469732
50,-0.13796875,-0.1108784,"('clumsy', 'skillful')",-0.1379687,-0.1108784,0.0270903
51,1.0621526,1.0470331,"('uneducated', 'educated')",1.0621526,1.0470331,-0.0151195
52,-1.1182827,-1.3040625,"('irrational', 'rational')",-1.1182827,-1.3040625,-0.1857798
53,-1.2198411,-1.3248194,"('uncreative', 'creative')",-1.2198411,-1.3248194,-0.1049783
54,-0.031842545,0.006596013,"('incapable', 'capable')",-0.0318425,0.006596,0.0384385
55,1.7971873,1.7443855,"('incompetent', 'clever')",1.7971873,1.7443855,-0.0528018
56,1.5199943,1.5116003,"('impractical', 'practical')",1.5199943,1.5116003,-0.008394
57,-1.3557652,-1.4328653,"('unimaginative', 'imaginative')",-1.3557652,-1.4328653,-0.0771001
58,-0.83535534,-0.9134424,"('undiscriminating', 'discriminating')",-0.8353553,-0.9134424,-0.0780871
59,-0.89463055,-0.95538175,"('foolish', 'wise')",-0.8946306,-0.9553818,-0.0607512
60,2.324486,2.316328,"('inefficient', 'efficient')",2.324486,2.316328,-0.008158
61,0.30944467,0.17352314,"('illogical', 'logical')",0.3094447,0.1735231,-0.1359216
62,1.7493675,1.8510073,"('incompetent', 'brilliant')",1.7493675,1.8510073,0.1016398
63,0.9034602,0.899634,"('unperceptive', 'insightful')",0.9034602,0.899634,-0.0038262
64,-1.664054,-1.7438872,"('shy', 'confident')",-1.664054,-1.7438872,-0.0798332
