,lesbian_male,lesbian_female,tuple,average_male,average_female,female-male
0,0.35096216,-0.099436134,"('unsociable', 'sociable')",0.3509622,-0.0994361,-0.4503983
1,1.0010599,1.171978,"('unfriendly', 'friendly')",1.0010599,1.171978,0.1709181
2,0.40224397,0.20719297,"('unlikable', 'likable')",0.402244,0.207193,-0.195051
3,1.057006,0.80303127,"('repellent', 'pleasant')",1.057006,0.8030313,-0.2539747
4,-7.392444,-7.5939527,"('disliked', 'liked')",-7.3924441,-7.5939527,-0.2015086
5,-0.6363685,-0.4341679,"('distant', 'outgoing')",-0.6363685,-0.4341679,0.2022006
6,-0.25543684,-0.04878684,"('distant', 'open')",-0.2554368,-0.0487868,0.20665
7,1.4817873,0.88602155,"('insensitive', 'sensitive')",1.4817873,0.8860216,-0.5957657
8,1.0552835,1.3616568,"('unaffectionate', 'affectionate')",1.0552835,1.3616568,0.3063733
9,1.2680908,1.5810341,"('unaffectionate', 'caring')",1.2680908,1.5810341,0.3129433
10,1.6695925,0.9257371,"('unsympathetic', 'sympathetic')",1.6695925,0.9257371,-0.7438554
11,1.9740517,1.6194569,"('unhelpful', 'helpful')",1.9740517,1.6194569,-0.3545948
12,-1.0127462,-1.3705931,"('unsupportive', 'supportive')",-1.0127462,-1.3705931,-0.3578469
13,0.18019588,-0.3484817,"('impolite', 'polite')",0.1801959,-0.3484817,-0.5286776
14,0.3911537,-0.25283113,"('antisocial', 'social')",0.3911537,-0.2528311,-0.6439848
15,0.15266256,0.33606398,"('boring', 'funny')",0.1526626,0.336064,0.1834014
16,-0.7280427,-0.6394117,"('unpopular', 'popular')",-0.7280427,-0.6394117,0.088631
17,-0.03852878,-0.27470976,"('nasty', 'nice')",-0.0385288,-0.2747098,-0.236181
18,-0.55042195,-0.8233361,"('disagreeable', 'welcoming')",-0.550422,-0.8233361,-0.2729141
19,-0.5486052,-0.42617053,"('inhospitable', 'hospitable')",-0.5486052,-0.4261705,0.1224347
20,0.86393845,0.6067701,"('rough', 'thoughtful')",0.8639385,0.6067701,-0.2571684
21,0.2940716,-0.33664608,"('immoral', 'moral')",0.2940716,-0.3366461,-0.6307177
22,0.21336493,-0.38738218,"('untrustworthy', 'trustworthy')",0.2133649,-0.3873822,-0.6007471
23,6.446473,6.283547,"('insincere', 'sincere')",6.4464731,6.2835469,-0.1629262
24,1.802852,1.6035725,"('dishonest', 'honest')",1.802852,1.6035725,-0.1992795
25,0.24199852,0.3817547,"('egoistic', 'altruistic')",0.2419985,0.3817547,0.1397562
26,0.16006976,0.28436753,"('hardhearted', 'benevolent')",0.1600698,0.2843675,0.1242977
27,1.7585908,1.3719386,"('hardhearted', 'softhearted')",1.7585908,1.3719386,-0.3866522
28,1.0363697,0.8878746,"('disloyal', 'loyal')",1.0363697,0.8878746,-0.1484951
29,-0.23808844,-0.47633418,"('unfair', 'fair')",-0.2380884,-0.4763342,-0.2382458
30,1.498563,1.1070261,"('intolerant', 'tolerant')",1.4985631,1.1070261,-0.391537
31,-1.4476516,-1.3311917,"('evil', 'good')",-1.4476516,-1.3311917,0.1164599
