,few_male,few_female,tuple,average_male,average_female,female-male
0,0.4302714,0.35913554,"('unsociable', 'sociable')",0.4302714,0.3591355,-0.0711359
1,1.3874466,1.3088864,"('unfriendly', 'friendly')",1.3874466,1.3088864,-0.0785602
2,0.5961143,0.6498629,"('unlikable', 'likable')",0.5961143,0.6498629,0.0537486
3,1.0240864,1.0710928,"('repellent', 'pleasant')",1.0240864,1.0710928,0.0470064
4,-6.9041033,-6.8950768,"('disliked', 'liked')",-6.9041033,-6.8950768,0.0090265
5,-0.33396313,-0.32816687,"('distant', 'outgoing')",-0.3339631,-0.3281669,0.0057962
6,-0.23128755,-0.23426057,"('distant', 'open')",-0.2312876,-0.2342606,-0.002973
7,1.7807165,1.7783267,"('insensitive', 'sensitive')",1.7807165,1.7783267,-0.0023898
8,0.9469255,0.8827078,"('unaffectionate', 'affectionate')",0.9469255,0.8827078,-0.0642177
9,1.5091408,1.5003021,"('unaffectionate', 'caring')",1.5091408,1.5003021,-0.0088387
10,1.7524633,1.8262635,"('unsympathetic', 'sympathetic')",1.7524633,1.8262635,0.0738002
11,2.2782717,2.3133588,"('unhelpful', 'helpful')",2.2782717,2.3133588,0.0350871
12,-0.7385625,-0.7388353,"('unsupportive', 'supportive')",-0.7385625,-0.7388353,-0.0002728
13,0.54573315,0.5397448,"('impolite', 'polite')",0.5457332,0.5397448,-0.0059884
14,0.6852579,0.6010027,"('antisocial', 'social')",0.6852579,0.6010027,-0.0842552
15,0.15376067,0.13477103,"('boring', 'funny')",0.1537607,0.134771,-0.0189897
16,-0.7517757,-0.6825701,"('unpopular', 'popular')",-0.7517757,-0.6825701,0.0692056
17,-0.083484545,-0.08821336,"('nasty', 'nice')",-0.0834845,-0.0882134,-0.0047289
18,-0.062162288,-0.14817579,"('disagreeable', 'welcoming')",-0.0621623,-0.1481758,-0.0860135
19,-0.35096052,-0.34342542,"('inhospitable', 'hospitable')",-0.3509605,-0.3434254,0.0075351
20,0.8444188,0.7558837,"('rough', 'thoughtful')",0.8444188,0.7558837,-0.0885351
21,0.5394014,0.62158996,"('immoral', 'moral')",0.5394014,0.62159,0.0821886
22,0.34892666,0.33163413,"('untrustworthy', 'trustworthy')",0.3489267,0.3316341,-0.0172926
23,6.936687,6.905542,"('insincere', 'sincere')",6.936687,6.9055419,-0.0311451
24,2.2910624,2.3082619,"('dishonest', 'honest')",2.2910624,2.3082619,0.0171995
25,0.2693142,0.19041225,"('egoistic', 'altruistic')",0.2693142,0.1904123,-0.0789019
26,0.21537286,0.18339327,"('hardhearted', 'benevolent')",0.2153729,0.1833933,-0.0319796
27,1.54242,1.4549497,"('hardhearted', 'softhearted')",1.54242,1.4549497,-0.0874703
28,1.4668723,1.4758823,"('disloyal', 'loyal')",1.4668723,1.4758823,0.00901
29,-0.19569716,-0.35111547,"('unfair', 'fair')",-0.1956972,-0.3511155,-0.1554183
30,1.1722151,1.1381193,"('intolerant', 'tolerant')",1.1722151,1.1381193,-0.0340958
31,-1.6417185,-1.683982,"('evil', 'good')",-1.6417185,-1.683982,-0.0422635
32,1.5130707,1.4841646,"('unkind', 'kind')",1.5130707,1.4841646,-0.0289061
33,-0.50473654,-0.46107605,"('wrong', 'right')",-0.5047365,-0.4610761,0.0436604
34,4.405524,4.5544267,"('mean', 'honorable')",4.4055238,4.5544267,0.1489029
35,-1.3313603,-1.4709784,"('corrupt', 'incorrupt')",-1.3313603,-1.4709784,-0.1396181
36,-1.4522687,-1.4852871,"('hostile', 'amicable')",-1.4522687,-1.4852871,-0.0330184
37,0.85511476,0.85406333,"('fake', 'genuine')",0.8551148,0.8540633,-0.0010515
38,0.271864,0.23135704,"('untruthful', 'truthful')",0.271864,0.231357,-0.040507
39,0.2372652,0.25475848,"('exploitative', 'cooperative')",0.2372652,0.2547585,0.0174933
40,-0.9514182,-1.0255812,"('stingy', 'generous')",-0.9514182,-1.0255812,-0.074163
41,-0.042115513,-0.10768642,"('unforgiving', 'forgiving')",-0.0421155,-0.1076864,-0.0655709
42,-1.3282722,-1.3018351,"('unreliable', 'reliable')",-1.3282722,-1.3018351,0.0264371
43,1.6881936,1.6366153,"('irresponsible', 'responsible')",1.6881936,1.6366153,-0.0515783
44,-1.3300908,-1.3981521,"('prejudiced', 'unprejudiced')",-1.3300908,-1.3981521,-0.0680613
45,0.83547866,0.83923435,"('incompetent', 'competent')",0.8354787,0.8392344,0.0037557
46,0.168033,0.26421273,"('uncompetitive', 'competitive')",0.168033,0.2642127,0.0961797
47,5.56767,5.7190423,"('stupid', 'smart')",5.5676699,5.7190423,0.1513724
48,1.1417143,1.111865,"('unintelligent', 'intelligent')",1.1417143,1.111865,-0.0298493
49,0.34172705,0.46696413,"('unable', 'able')",0.341727,0.4669641,0.1252371
50,0.09680969,0.17623758,"('clumsy', 'skillful')",0.0968097,0.1762376,0.0794279
51,1.1254785,1.1709975,"('uneducated', 'educated')",1.1254785,1.1709975,0.045519
52,-0.4981465,-0.5305792,"('irrational', 'rational')",-0.4981465,-0.5305792,-0.0324327
53,0.44428262,0.42600682,"('uncreative', 'creative')",0.4442826,0.4260068,-0.0182758
54,1.3983318,1.4550122,"('incapable', 'capable')",1.3983318,1.4550122,0.0566804
55,1.553114,1.541253,"('incompetent', 'clever')",1.5531141,1.541253,-0.0118611
56,1.2713635,1.2581207,"('impractical', 'practical')",1.2713635,1.2581207,-0.0132428
57,-2.2318943,-2.1354651,"('unimaginative', 'imaginative')",-2.2318943,-2.1354651,0.0964292
58,-0.19993927,-0.17478085,"('undiscriminating', 'discriminating')",-0.1999393,-0.1747808,0.0251585
59,-0.00823839,0.0677841,"('foolish', 'wise')",-0.0082384,0.0677841,0.0760225
60,1.1388953,1.1444366,"('inefficient', 'efficient')",1.1388953,1.1444366,0.0055413
61,0.72780406,0.60244626,"('illogical', 'logical')",0.7278041,0.6024463,-0.1253578
62,2.070181,2.060479,"('incompetent', 'brilliant')",2.0701809,2.0604789,-0.009702
63,1.3448417,1.3641701,"('unperceptive', 'insightful')",1.3448417,1.3641701,0.0193284
64,-4.808063,-4.838602,"('shy', 'confident')",-4.808063,-4.8386021,-0.0305391
65,1.6125259,1.5706928,"('insecure', 'secure')",1.6125259,1.5706928,-0.0418331
66,-0.24922547,-0.23941222,"('inactive', 'active')",-0.2492255,-0.2394122,0.0098133
67,-0.90593165,-0.79942024,"('doubtful', 'determined')",-0.9059317,-0.7994202,0.1065115
68,-0.17864825,-0.17021528,"('dependent', 'independent')",-0.1786482,-0.1702153,0.0084329
69,-1.6595372,-1.68006,"('lazy', 'industrious')",-1.6595372,-1.68006,-0.0205228
70,1.9043019,1.9702551,"('lethargic', 'energetic')",1.9043019,1.9702551,0.0659532
71,0.8412338,0.92680454,"('diffident', 'self-confident')",0.8412338,0.9268045,0.0855707
72,0.92319626,0.9845926,"('unambitious', 'ambitious')",0.9231963,0.9845926,0.0613963
73,-2.850149,-2.81081,"('helpless', 'self-reliant')",-2.8501489,-2.8108101,0.0393388
74,0.5913316,0.48942953,"('undedicated', 'dedicated')",0.5913316,0.4894295,-0.1019021
75,-1.1776218,-1.0734632,"('meek', 'impulsive')",-1.1776218,-1.0734632,0.1041586
76,1.2238461,1.203365,"('anxious', 'daring')",1.2238461,1.203365,-0.0204811
77,-0.7285193,-0.7259206,"('unmotivated', 'motivated')",-0.7285193,-0.7259206,0.0025987
78,0.025989797,-0.0062344214,"('nonresilient', 'resilient')",0.0259898,-0.0062344,-0.0322242
79,-0.40848982,-0.3722622,"('wavering', 'unwavering')",-0.4084898,-0.3722622,0.0362276
80,0.44182792,0.42836162,"('dominated', 'dominating')",0.4418279,0.4283616,-0.0134663
81,0.66395426,0.78931785,"('submissive', 'aggressive')",0.6639543,0.7893178,0.1253635
82,6.092491,6.336222,"('poor', 'rich')",6.0924911,6.3362222,0.2437311
83,-0.21643996,-0.16048604,"('powerless', 'powerful')",-0.21644,-0.160486,0.055954
84,-0.10079652,-0.041127484,"('inferior', 'superior')",-0.1007965,-0.0411275,0.059669
85,-1.8086742,-1.8530092,"('insignificant', 'prestigious')",-1.8086742,-1.8530092,-0.044335
86,0.92132264,0.96743625,"('uninfluential', 'influential')",0.9213226,0.9674363,0.0461137
87,0.2525682,0.37059262,"('unsuccessful', 'successful')",0.2525682,0.3705926,0.1180244
88,-0.055267025,0.039034728,"('low', 'eminent')",-0.055267,0.0390347,0.0943017
