,art_male,art_female,tuple,average_male,average_female,female-male
0,-0.6053799,-0.6082224,"('unsociable', 'sociable')",-0.6053799,-0.6082224,-0.0028425
1,1.0774372,1.143923,"('unfriendly', 'friendly')",1.0774372,1.143923,0.0664858
2,0.33023962,0.5104859,"('unlikable', 'likable')",0.3302396,0.5104859,0.1802463
3,0.27514598,0.40426603,"('repellent', 'pleasant')",0.275146,0.404266,0.12912
4,-6.834396,-6.8637333,"('disliked', 'liked')",-6.8343959,-6.8637333,-0.0293374
5,-0.18165475,-0.13387339,"('distant', 'outgoing')",-0.1816548,-0.1338734,0.0477814
6,0.41004634,0.4023888,"('distant', 'open')",0.4100463,0.4023888,-0.0076575
7,0.64162445,0.7557802,"('insensitive', 'sensitive')",0.6416245,0.7557802,0.1141557
8,1.4842407,1.4188906,"('unaffectionate', 'affectionate')",1.4842407,1.4188906,-0.0653501
9,1.66375,1.7360021,"('unaffectionate', 'caring')",1.6637501,1.7360021,0.072252
10,0.6170011,0.58569765,"('unsympathetic', 'sympathetic')",0.6170011,0.5856977,-0.0313034
11,1.4560155,1.5253885,"('unhelpful', 'helpful')",1.4560155,1.5253885,0.069373
12,-1.562545,-1.3994551,"('unsupportive', 'supportive')",-1.5625449,-1.3994551,0.1630898
13,-0.55002195,-0.48940867,"('impolite', 'polite')",-0.5500219,-0.4894087,0.0606132
14,-0.1503763,-0.11860496,"('antisocial', 'social')",-0.1503763,-0.118605,0.0317713
15,0.42027774,0.40171897,"('boring', 'funny')",0.4202777,0.401719,-0.0185587
16,-0.6867898,-0.5311302,"('unpopular', 'popular')",-0.6867898,-0.5311302,0.1556596
17,0.027207566,0.006892452,"('nasty', 'nice')",0.0272076,0.0068925,-0.0203151
18,-0.77181035,-0.59182984,"('disagreeable', 'welcoming')",-0.7718104,-0.5918298,0.1799806
19,-0.20230138,-0.17558178,"('inhospitable', 'hospitable')",-0.2023014,-0.1755818,0.0267196
20,0.54407924,0.4438906,"('rough', 'thoughtful')",0.5440792,0.4438906,-0.1001886
21,-0.52472216,-0.33312473,"('immoral', 'moral')",-0.5247222,-0.3331247,0.1915975
22,-0.558203,-0.4950928,"('untrustworthy', 'trustworthy')",-0.558203,-0.4950928,0.0631102
23,5.627604,5.812212,"('insincere', 'sincere')",5.627604,5.812212,0.184608
24,1.4138168,1.4170042,"('dishonest', 'honest')",1.4138168,1.4170042,0.0031874
25,0.35009864,0.41381064,"('egoistic', 'altruistic')",0.3500986,0.4138106,0.063712
26,0.78103113,0.5297746,"('hardhearted', 'benevolent')",0.7810311,0.5297746,-0.2512565
27,1.4490441,1.2231771,"('hardhearted', 'softhearted')",1.4490441,1.2231771,-0.225867
28,1.1169767,0.9955277,"('disloyal', 'loyal')",1.1169767,0.9955277,-0.121449
29,-0.2774834,-0.42227757,"('unfair', 'fair')",-0.2774834,-0.4222776,-0.1447942
