,hybridization_male,hybridization_female,tuple,average_male,average_female,female-male
0,0.21206091,0.12195522,"('unsociable', 'sociable')",0.2120609,0.1219552,-0.0901057
1,0.9024128,0.78374934,"('unfriendly', 'friendly')",0.9024128,0.7837493,-0.1186635
2,0.5977939,0.52765375,"('unlikable', 'likable')",0.5977939,0.5276538,-0.0701401
3,-0.30742177,-0.37860042,"('repellent', 'pleasant')",-0.3074218,-0.3786004,-0.0711786
4,-2.8486552,-2.8660843,"('disliked', 'liked')",-2.8486552,-2.8660843,-0.0174291
5,-0.3892041,-0.29500774,"('distant', 'outgoing')",-0.3892041,-0.2950077,0.0941964
6,-0.34990612,-0.2706645,"('distant', 'open')",-0.3499061,-0.2706645,0.0792416
7,-0.032974392,-0.045094647,"('insensitive', 'sensitive')",-0.0329744,-0.0450946,-0.0121202
8,0.30649513,0.24376795,"('unaffectionate', 'affectionate')",0.3064951,0.2437679,-0.0627272
9,0.45311904,0.3465401,"('unaffectionate', 'caring')",0.453119,0.3465401,-0.1065789
10,0.068130255,-0.08106114,"('unsympathetic', 'sympathetic')",0.0681303,-0.0810611,-0.1491914
11,1.3763001,1.2190694,"('unhelpful', 'helpful')",1.3763001,1.2190694,-0.1572307
12,-0.5056006,-0.47642052,"('unsupportive', 'supportive')",-0.5056006,-0.4764205,0.0291801
13,-0.45417386,-0.530114,"('impolite', 'polite')",-0.4541739,-0.530114,-0.0759401
14,0.16332828,0.21572752,"('antisocial', 'social')",0.1633283,0.2157275,0.0523992
15,0.30265406,0.268786,"('boring', 'funny')",0.3026541,0.268786,-0.0338681
16,-0.8676736,-0.98425955,"('unpopular', 'popular')",-0.8676736,-0.9842595,-0.1165859
17,0.016348701,0.03829748,"('nasty', 'nice')",0.0163487,0.0382975,0.0219488
18,-0.036806226,-0.04027078,"('disagreeable', 'welcoming')",-0.0368062,-0.0402708,-0.0034646
19,-0.5814204,-0.6345109,"('inhospitable', 'hospitable')",-0.5814204,-0.6345109,-0.0530905
20,0.96557176,0.9017953,"('rough', 'thoughtful')",0.9655718,0.9017953,-0.0637765
21,0.42321676,0.36077237,"('immoral', 'moral')",0.4232168,0.3607724,-0.0624444
22,-0.43525803,-0.44725186,"('untrustworthy', 'trustworthy')",-0.435258,-0.4472519,-0.0119939
23,2.509712,2.3586953,"('insincere', 'sincere')",2.509712,2.3586953,-0.1510167
24,0.23396525,0.30240488,"('dishonest', 'honest')",0.2339652,0.3024049,0.0684397
25,1.1539987,1.2767724,"('egoistic', 'altruistic')",1.1539987,1.2767724,0.1227737
26,1.3529961,1.1548051,"('hardhearted', 'benevolent')",1.3529961,1.1548051,-0.198191
27,0.46017593,0.58440554,"('hardhearted', 'softhearted')",0.4601759,0.5844055,0.1242296
28,1.1259068,1.0052576,"('disloyal', 'loyal')",1.1259068,1.0052576,-0.1206492
29,-0.8335843,-0.7751939,"('unfair', 'fair')",-0.8335843,-0.7751939,0.0583904
30,0.8620444,0.7633355,"('intolerant', 'tolerant')",0.8620444,0.7633355,-0.0987089
31,-0.7503189,-0.6184882,"('evil', 'good')",-0.7503189,-0.6184882,0.1318307
32,0.6870751,0.5202411,"('unkind', 'kind')",0.6870751,0.5202411,-0.166834
33,-0.3585443,-0.36397734,"('wrong', 'right')",-0.3585443,-0.3639773,-0.005433
34,2.2549124,2.3409545,"('mean', 'honorable')",2.2549124,2.3409545,0.0860421
35,-0.893614,-0.8478274,"('corrupt', 'incorrupt')",-0.893614,-0.8478274,0.0457866
36,-0.5761464,-0.7750894,"('hostile', 'amicable')",-0.5761464,-0.7750894,-0.198943
37,-0.040182844,-0.04692947,"('fake', 'genuine')",-0.0401828,-0.0469295,-0.0067467
38,0.84967065,0.8067056,"('untruthful', 'truthful')",0.8496706,0.8067056,-0.042965
39,1.0672421,0.8989857,"('exploitative', 'cooperative')",1.0672421,0.8989857,-0.1682564
40,-0.40182173,-0.31994942,"('stingy', 'generous')",-0.4018217,-0.3199494,0.0818723
41,0.3153589,0.31333888,"('unforgiving', 'forgiving')",0.3153589,0.3133389,-0.00202
42,-1.863911,-1.8255008,"('unreliable', 'reliable')",-1.863911,-1.8255008,0.0384102
43,0.41021684,0.43478146,"('irresponsible', 'responsible')",0.4102168,0.4347815,0.0245647
44,-0.5107009,-0.49551225,"('prejudiced', 'unprejudiced')",-0.5107009,-0.4955122,0.0151887
45,-0.40390223,-0.32209784,"('incompetent', 'competent')",-0.4039022,-0.3220978,0.0818044
46,0.45706618,0.3711371,"('uncompetitive', 'competitive')",0.4570662,0.3711371,-0.0859291
47,1.3247145,1.4137334,"('stupid', 'smart')",1.3247145,1.4137334,0.0890189
48,1.61833,1.7188448,"('unintelligent', 'intelligent')",1.61833,1.7188448,0.1005148
49,0.85483354,0.9709529,"('unable', 'able')",0.8548335,0.9709529,0.1161194
50,-0.44049317,-0.5556807,"('clumsy', 'skillful')",-0.4404932,-0.5556807,-0.1151875
51,-0.13273466,-0.3019554,"('uneducated', 'educated')",-0.1327347,-0.3019554,-0.1692207
52,0.52779263,0.30554512,"('irrational', 'rational')",0.5277926,0.3055451,-0.2222475
53,-0.3922795,-0.5415814,"('uncreative', 'creative')",-0.3922795,-0.5415814,-0.1493019
54,0.19963957,0.0062684733,"('incapable', 'capable')",0.1996396,0.0062685,-0.1933711
55,0.6064176,0.65201813,"('incompetent', 'clever')",0.6064176,0.6520181,0.0456005
56,0.45775077,0.44595897,"('impractical', 'practical')",0.4577508,0.445959,-0.0117918
57,-0.9619398,-1.0831932,"('unimaginative', 'imaginative')",-0.9619398,-1.0831932,-0.1212534
58,-0.15503341,-0.28282553,"('undiscriminating', 'discriminating')",-0.1550334,-0.2828255,-0.1277921
59,-0.59657884,-0.5849497,"('foolish', 'wise')",-0.5965788,-0.5849497,0.0116291
60,0.4667297,0.5895238,"('inefficient', 'efficient')",0.4667297,0.5895238,0.1227941
61,0.34350345,0.2341771,"('illogical', 'logical')",0.3435034,0.2341771,-0.1093263
62,1.0276862,1.1015959,"('incompetent', 'brilliant')",1.0276862,1.1015959,0.0739097
63,0.27172366,0.19401933,"('unperceptive', 'insightful')",0.2717237,0.1940193,-0.0777044
64,-2.5881023,-2.44182,"('shy', 'confident')",-2.5881023,-2.4418199,0.1462824
65,-0.42664465,-0.46687567,"('insecure', 'secure')",-0.4266447,-0.4668757,-0.040231
66,-0.8454573,-1.0395895,"('inactive', 'active')",-0.8454573,-1.0395895,-0.1941322
67,0.06675693,0.10725194,"('doubtful', 'determined')",0.0667569,0.1072519,0.040495
68,-0.6742076,-0.62487483,"('dependent', 'independent')",-0.6742076,-0.6248748,0.0493328
69,-0.04168632,0.058900803,"('lazy', 'industrious')",-0.0416863,0.0589008,0.1005871
70,-0.21453577,-0.34481847,"('lethargic', 'energetic')",-0.2145358,-0.3448185,-0.1302827
71,0.56607556,0.62502956,"('diffident', 'self-confident')",0.5660756,0.6250296,0.058954
72,-0.5942975,-0.56697285,"('unambitious', 'ambitious')",-0.5942975,-0.5669729,0.0273246
73,-0.89928055,-0.9533028,"('helpless', 'self-reliant')",-0.8992805,-0.9533028,-0.0540223
74,-0.09695218,-0.14488837,"('undedicated', 'dedicated')",-0.0969522,-0.1448884,-0.0479362
75,-0.17842329,-0.24791174,"('meek', 'impulsive')",-0.1784233,-0.2479117,-0.0694884
76,-0.0013108775,-0.07306655,"('anxious', 'daring')",-0.0013109,-0.0730665,-0.0717556
77,0.20071788,0.19171046,"('unmotivated', 'motivated')",0.2007179,0.1917105,-0.0090074
78,0.3067299,0.32193545,"('nonresilient', 'resilient')",0.3067299,0.3219354,0.0152055
79,-0.9870098,-0.9936808,"('wavering', 'unwavering')",-0.9870098,-0.9936808,-0.006671
80,0.30852124,0.24954177,"('dominated', 'dominating')",0.3085212,0.2495418,-0.0589794
81,0.3226865,0.27241218,"('submissive', 'aggressive')",0.3226865,0.2724122,-0.0502743
82,1.1923679,1.2595632,"('poor', 'rich')",1.1923679,1.2595632,0.0671953
83,0.28693408,0.22962007,"('powerless', 'powerful')",0.2869341,0.2296201,-0.057314
84,0.9273476,1.0409327,"('inferior', 'superior')",0.9273476,1.0409327,0.1135851
85,0.37543994,0.17258757,"('insignificant', 'prestigious')",0.3754399,0.1725876,-0.2028523
86,-0.13909577,-0.27412447,"('uninfluential', 'influential')",-0.1390958,-0.2741245,-0.1350287
87,0.12145669,0.019812874,"('unsuccessful', 'successful')",0.1214567,0.0198129,-0.1016438
88,0.26137042,0.055363595,"('low', 'eminent')",0.2613704,0.0553636,-0.2060068
