,surfboard_male,surfboard_female,tuple,average_male,average_female,female-male
0,0.0818979,0.047543436,"('unsociable', 'sociable')",0.0818979,0.0475434,-0.0343545
1,0.91419697,0.88810176,"('unfriendly', 'friendly')",0.914197,0.8881018,-0.0260952
2,0.93098444,0.9334227,"('unlikable', 'likable')",0.9309844,0.9334227,0.0024383
3,-0.6652277,-0.5919879,"('repellent', 'pleasant')",-0.6652277,-0.5919879,0.0732398
4,-2.6970224,-2.7485943,"('disliked', 'liked')",-2.6970224,-2.7485943,-0.0515719
5,0.2800814,0.36821264,"('distant', 'outgoing')",0.2800814,0.3682126,0.0881312
6,0.21928757,0.30146173,"('distant', 'open')",0.2192876,0.3014617,0.0821741
7,0.11433651,0.18529996,"('insensitive', 'sensitive')",0.1143365,0.1853,0.0709635
8,0.3818822,0.34505606,"('unaffectionate', 'affectionate')",0.3818822,0.3450561,-0.0368261
9,1.2727324,1.2840419,"('unaffectionate', 'caring')",1.2727324,1.2840419,0.0113095
10,-0.4582034,-0.49283826,"('unsympathetic', 'sympathetic')",-0.4582034,-0.4928383,-0.0346349
11,1.451163,1.4606626,"('unhelpful', 'helpful')",1.4511631,1.4606626,0.0094995
12,0.13395786,0.17345859,"('unsupportive', 'supportive')",0.1339579,0.1734586,0.0395007
13,0.14966692,0.13386011,"('impolite', 'polite')",0.1496669,0.1338601,-0.0158068
14,0.15894923,0.114231594,"('antisocial', 'social')",0.1589492,0.1142316,-0.0447176
15,0.6197956,0.58145547,"('boring', 'funny')",0.6197956,0.5814555,-0.0383401
16,0.34490907,0.36159098,"('unpopular', 'popular')",0.3449091,0.361591,0.0166819
17,-0.48575962,-0.4033374,"('nasty', 'nice')",-0.4857596,-0.4033374,0.0824222
18,-0.38370854,-0.39260814,"('disagreeable', 'welcoming')",-0.3837085,-0.3926081,-0.0088996
19,-0.8402851,-0.7801133,"('inhospitable', 'hospitable')",-0.8402851,-0.7801133,0.0601718
20,-0.8613504,-0.8034771,"('rough', 'thoughtful')",-0.8613504,-0.8034771,0.0578733
21,0.028888293,0.012029065,"('immoral', 'moral')",0.0288883,0.0120291,-0.0168592
22,-0.86830086,-0.88833433,"('untrustworthy', 'trustworthy')",-0.8683009,-0.8883343,-0.0200334
23,3.3178635,3.3139932,"('insincere', 'sincere')",3.3178635,3.3139932,-0.0038703
24,0.34063515,0.31599963,"('dishonest', 'honest')",0.3406352,0.3159996,-0.0246356
25,0.28082746,0.28419626,"('egoistic', 'altruistic')",0.2808275,0.2841963,0.0033688
26,0.6029918,0.509302,"('hardhearted', 'benevolent')",0.6029918,0.509302,-0.0936898
27,0.012669349,0.021803593,"('hardhearted', 'softhearted')",0.0126693,0.0218036,0.0091343
28,0.70668125,0.6182789,"('disloyal', 'loyal')",0.7066813,0.6182789,-0.0884024
29,0.07043891,0.06849013,"('unfair', 'fair')",0.0704389,0.0684901,-0.0019488
30,0.38531843,0.33189952,"('intolerant', 'tolerant')",0.3853184,0.3318995,-0.0534189
31,-0.9391327,-0.8648368,"('evil', 'good')",-0.9391327,-0.8648368,0.0742959
32,0.8940765,0.8678477,"('unkind', 'kind')",0.8940765,0.8678477,-0.0262288
33,0.41649878,0.39699906,"('wrong', 'right')",0.4164988,0.3969991,-0.0194997
34,2.0413766,2.1369123,"('mean', 'honorable')",2.0413766,2.1369123,0.0955357
35,-0.65566933,-0.6814846,"('corrupt', 'incorrupt')",-0.6556693,-0.6814846,-0.0258153
36,-0.60015833,-0.60977066,"('hostile', 'amicable')",-0.6001583,-0.6097707,-0.0096124
37,-0.14977886,-0.1554303,"('fake', 'genuine')",-0.1497789,-0.1554303,-0.0056514
38,0.6336564,0.6248928,"('untruthful', 'truthful')",0.6336564,0.6248928,-0.0087636
39,-0.042389907,0.024985636,"('exploitative', 'cooperative')",-0.0423899,0.0249856,0.0673755
40,-0.8796715,-0.8664943,"('stingy', 'generous')",-0.8796715,-0.8664943,0.0131772
41,-0.070435226,-0.13234474,"('unforgiving', 'forgiving')",-0.0704352,-0.1323447,-0.0619095
42,-0.89650154,-0.88700384,"('unreliable', 'reliable')",-0.8965015,-0.8870038,0.0094977
43,0.94911003,0.95191354,"('irresponsible', 'responsible')",0.94911,0.9519135,0.0028035
