,omission_male,omission_female,tuple,average_male,average_female,female-male
0,-0.5695622,-0.64334714,"('unsociable', 'sociable')",-0.5695622,-0.6433471,-0.0737849
1,-1.8337456,-1.8620528,"('unfriendly', 'friendly')",-1.8337456,-1.8620528,-0.0283072
2,-0.8349774,-0.5706666,"('unlikable', 'likable')",-0.8349774,-0.5706666,0.2643108
3,-0.00030292198,0.04981117,"('repellent', 'pleasant')",-0.0003029,0.0498112,0.0501141
4,-1.8485188,-1.8824542,"('disliked', 'liked')",-1.8485188,-1.8824542,-0.0339354
5,-1.4848686,-1.5078158,"('distant', 'outgoing')",-1.4848686,-1.5078158,-0.0229472
6,-1.397035,-1.4801983,"('distant', 'open')",-1.397035,-1.4801983,-0.0831633
7,-1.0735086,-0.89668757,"('insensitive', 'sensitive')",-1.0735086,-0.8966876,0.176821
8,-2.053317,-2.0369093,"('unaffectionate', 'affectionate')",-2.0533171,-2.0369093,0.0164078
9,-1.5762885,-1.4931253,"('unaffectionate', 'caring')",-1.5762885,-1.4931253,0.0831632
10,-0.2897665,-0.32997173,"('unsympathetic', 'sympathetic')",-0.2897665,-0.3299717,-0.0402052
11,-0.3431381,-0.24037255,"('unhelpful', 'helpful')",-0.3431381,-0.2403726,0.1027655
12,-2.2330308,-2.0104454,"('unsupportive', 'supportive')",-2.2330308,-2.0104454,0.2225854
13,-0.7321056,-0.65903854,"('impolite', 'polite')",-0.7321056,-0.6590385,0.0730671
14,-0.017424066,0.1428059,"('antisocial', 'social')",-0.0174241,0.1428059,0.16023
15,0.17916237,0.18342453,"('boring', 'funny')",0.1791624,0.1834245,0.0042621
16,-2.1400173,-1.9296612,"('unpopular', 'popular')",-2.1400173,-1.9296612,0.2103561
17,-0.23376206,-0.31182018,"('nasty', 'nice')",-0.2337621,-0.3118202,-0.0780581
18,-2.0936894,-1.89946,"('disagreeable', 'welcoming')",-2.0936894,-1.89946,0.1942294
19,-1.2424911,-1.376827,"('inhospitable', 'hospitable')",-1.2424911,-1.376827,-0.1343359
20,0.7117622,0.7419308,"('rough', 'thoughtful')",0.7117622,0.7419308,0.0301686
21,-0.12802286,0.0025231522,"('immoral', 'moral')",-0.1280229,0.0025232,0.1305461
22,-0.56144685,-0.38943607,"('untrustworthy', 'trustworthy')",-0.5614468,-0.3894361,0.1720107
23,0.20353286,0.22517537,"('insincere', 'sincere')",0.2035329,0.2251754,0.0216425
24,-1.1562881,-1.1632919,"('dishonest', 'honest')",-1.1562881,-1.1632919,-0.0070038
25,0.23154792,0.25415188,"('egoistic', 'altruistic')",0.2315479,0.2541519,0.022604
26,0.640952,0.53370553,"('hardhearted', 'benevolent')",0.640952,0.5337055,-0.1072465
27,0.22604969,0.13019241,"('hardhearted', 'softhearted')",0.2260497,0.1301924,-0.0958573
28,-0.14739867,-0.23479693,"('disloyal', 'loyal')",-0.1473987,-0.2347969,-0.0873982
29,-0.950992,-0.9490172,"('unfair', 'fair')",-0.950992,-0.9490172,0.0019748
30,-0.00015494041,-0.07063661,"('intolerant', 'tolerant')",-0.0001549,-0.0706366,-0.0704817
31,-2.0580835,-2.1950142,"('evil', 'good')",-2.0580835,-2.1950142,-0.1369307
32,-1.0786041,-1.0332713,"('unkind', 'kind')",-1.0786041,-1.0332713,0.0453328
33,0.017799899,-0.01786545,"('wrong', 'right')",0.0177999,-0.0178654,-0.0356653
34,1.6032188,1.6694376,"('mean', 'honorable')",1.6032188,1.6694376,0.0662188
35,0.04885949,-0.22797118,"('corrupt', 'incorrupt')",0.0488595,-0.2279712,-0.2768307
36,0.17835201,-0.16678168,"('hostile', 'amicable')",0.178352,-0.1667817,-0.3451337
37,-0.832041,-0.84142464,"('fake', 'genuine')",-0.832041,-0.8414246,-0.0093836
38,-1.5278738,-1.4824417,"('untruthful', 'truthful')",-1.5278738,-1.4824417,0.0454321
39,-0.81178373,-0.71684384,"('exploitative', 'cooperative')",-0.8117837,-0.7168438,0.0949399
40,-1.1944004,-1.1216612,"('stingy', 'generous')",-1.1944004,-1.1216612,0.0727392
41,-1.1016221,-1.1832056,"('unforgiving', 'forgiving')",-1.1016221,-1.1832056,-0.0815835
42,0.77234674,0.89658505,"('unreliable', 'reliable')",0.7723467,0.896585,0.1242383
