,directv_male,directv_female,tuple,average_male,average_female,female-male
0,-0.2610649,-0.37618837,"('unsociable', 'sociable')",-0.2610649,-0.3761884,-0.1151235
1,1.2352427,1.2210693,"('unfriendly', 'friendly')",1.2352427,1.2210693,-0.0141734
2,1.1182469,1.1984775,"('unlikable', 'likable')",1.1182469,1.1984775,0.0802306
3,-0.0058111474,-0.021650653,"('repellent', 'pleasant')",-0.0058111,-0.0216507,-0.0158396
4,-2.931208,-2.8290634,"('disliked', 'liked')",-2.9312079,-2.8290634,0.1021445
5,0.0033812039,0.14229724,"('distant', 'outgoing')",0.0033812,0.1422972,0.138916
6,0.0639016,0.2204296,"('distant', 'open')",0.0639016,0.2204296,0.156528
7,-0.16554713,-0.20141517,"('insensitive', 'sensitive')",-0.1655471,-0.2014152,-0.0358681
8,-0.24677348,-0.25933343,"('unaffectionate', 'affectionate')",-0.2467735,-0.2593334,-0.0125599
9,0.22806573,0.19874474,"('unaffectionate', 'caring')",0.2280657,0.1987447,-0.029321
10,-0.7104304,-0.8804968,"('unsympathetic', 'sympathetic')",-0.7104304,-0.8804968,-0.1700664
11,0.64328444,0.4785587,"('unhelpful', 'helpful')",0.6432844,0.4785587,-0.1647257
12,-1.1697156,-1.1547269,"('unsupportive', 'supportive')",-1.1697156,-1.1547269,0.0149887
13,-0.60941166,-0.63046736,"('impolite', 'polite')",-0.6094117,-0.6304674,-0.0210557
14,0.03154832,-0.06825097,"('antisocial', 'social')",0.0315483,-0.068251,-0.0997993
15,1.2611322,1.2898071,"('boring', 'funny')",1.2611322,1.2898071,0.0286749
16,-0.038152248,-0.06637127,"('unpopular', 'popular')",-0.0381522,-0.0663713,-0.0282191
17,-0.90118223,-0.85372794,"('nasty', 'nice')",-0.9011822,-0.8537279,0.0474543
18,-0.28468335,-0.305523,"('disagreeable', 'welcoming')",-0.2846833,-0.305523,-0.0208397
19,0.13409686,0.2672911,"('inhospitable', 'hospitable')",0.1340969,0.2672911,0.1331942
20,0.24838834,0.14114141,"('rough', 'thoughtful')",0.2483883,0.1411414,-0.1072469
21,-0.31752264,-0.35321844,"('immoral', 'moral')",-0.3175226,-0.3532184,-0.0356958
22,-0.62410045,-0.67182034,"('untrustworthy', 'trustworthy')",-0.6241004,-0.6718203,-0.0477199
23,3.1446068,2.954578,"('insincere', 'sincere')",3.1446068,2.9545779,-0.1900289
24,0.76376915,0.719793,"('dishonest', 'honest')",0.7637691,0.719793,-0.0439761
25,0.92720747,0.9496214,"('egoistic', 'altruistic')",0.9272075,0.9496214,0.0224139
26,1.1371474,1.1496465,"('hardhearted', 'benevolent')",1.1371474,1.1496465,0.0124991
27,0.03385203,-0.0070101386,"('hardhearted', 'softhearted')",0.033852,-0.0070101,-0.0408621
28,0.64131165,0.5527889,"('disloyal', 'loyal')",0.6413116,0.5527889,-0.0885227
29,0.008982466,-0.045284145,"('unfair', 'fair')",0.0089825,-0.0452841,-0.0542666
30,0.82414556,0.70657164,"('intolerant', 'tolerant')",0.8241456,0.7065716,-0.117574
31,-0.8232803,-0.6590789,"('evil', 'good')",-0.8232803,-0.6590789,0.1642014
32,0.17970493,0.060215525,"('unkind', 'kind')",0.1797049,0.0602155,-0.1194894
33,0.6485481,0.6738986,"('wrong', 'right')",0.6485481,0.6738986,0.0253505
34,1.9368538,2.027963,"('mean', 'honorable')",1.9368538,2.0279629,0.0911091
35,-0.09466787,-0.013182942,"('corrupt', 'incorrupt')",-0.0946679,-0.0131829,0.081485
36,-0.5152073,-0.49879348,"('hostile', 'amicable')",-0.5152073,-0.4987935,0.0164138
37,0.30535275,0.27329004,"('fake', 'genuine')",0.3053527,0.27329,-0.0320627
38,0.18208732,0.17339686,"('untruthful', 'truthful')",0.1820873,0.1733969,-0.0086904
39,0.6580282,0.68030083,"('exploitative', 'cooperative')",0.6580282,0.6803008,0.0222726
40,-0.900205,-0.8988062,"('stingy', 'generous')",-0.900205,-0.8988062,0.0013988
41,0.47889602,0.3980468,"('unforgiving', 'forgiving')",0.478896,0.3980468,-0.0808492
42,-1.1458213,-1.1105735,"('unreliable', 'reliable')",-1.1458213,-1.1105735,0.0352478
43,0.57043827,0.54661906,"('irresponsible', 'responsible')",0.5704383,0.5466191,-0.0238192
44,-0.8284287,-0.8387961,"('prejudiced', 'unprejudiced')",-0.8284287,-0.8387961,-0.0103674
45,-0.06427853,-0.11969448,"('incompetent', 'competent')",-0.0642785,-0.1196945,-0.055416
46,-0.9179925,-0.93982023,"('uncompetitive', 'competitive')",-0.9179925,-0.9398202,-0.0218277
47,2.6221519,2.6287005,"('stupid', 'smart')",2.6221519,2.6287005,0.0065486
48,0.27091876,0.20441905,"('unintelligent', 'intelligent')",0.2709188,0.204419,-0.0664998
49,-0.23798287,-0.20337835,"('unable', 'able')",-0.2379829,-0.2033783,0.0346046
50,-0.20582852,-0.30375493,"('clumsy', 'skillful')",-0.2058285,-0.3037549,-0.0979264
51,-0.39173615,-0.4767556,"('uneducated', 'educated')",-0.3917361,-0.4767556,-0.0850195
52,0.54027146,0.4552161,"('irrational', 'rational')",0.5402715,0.4552161,-0.0850554
53,0.5866314,0.544486,"('uncreative', 'creative')",0.5866314,0.544486,-0.0421454
54,0.7795842,0.75182086,"('incapable', 'capable')",0.7795842,0.7518209,-0.0277633
55,0.051823817,-0.06771242,"('incompetent', 'clever')",0.0518238,-0.0677124,-0.1195362
56,1.2467456,1.1580417,"('impractical', 'practical')",1.2467456,1.1580417,-0.0887039
57,-1.4601927,-1.5101697,"('unimaginative', 'imaginative')",-1.4601927,-1.5101697,-0.049977
58,0.4852758,0.42452255,"('undiscriminating', 'discriminating')",0.4852758,0.4245225,-0.0607533
59,0.6459973,0.69624364,"('foolish', 'wise')",0.6459973,0.6962436,0.0502463
