,panic_male,panic_female,tuple,average_male,average_female,female-male
0,0.11947645,0.023435913,"('unsociable', 'sociable')",0.1194765,0.0234359,-0.0960406
1,0.9374449,0.8936332,"('unfriendly', 'friendly')",0.9374449,0.8936332,-0.0438117
2,0.36613303,0.52518284,"('unlikable', 'likable')",0.366133,0.5251828,0.1590498
3,1.0971258,1.1847838,"('repellent', 'pleasant')",1.0971258,1.1847838,0.087658
4,-7.288622,-7.538156,"('disliked', 'liked')",-7.2886219,-7.538156,-0.2495341
5,-0.67623055,-0.63848615,"('distant', 'outgoing')",-0.6762305,-0.6384861,0.0377444
6,-0.2270295,-0.24993591,"('distant', 'open')",-0.2270295,-0.2499359,-0.0229064
7,1.147504,1.1528995,"('insensitive', 'sensitive')",1.147504,1.1528995,0.0053955
8,0.6659656,0.6407356,"('unaffectionate', 'affectionate')",0.6659656,0.6407356,-0.02523
9,1.1845839,1.2890608,"('unaffectionate', 'caring')",1.1845839,1.2890608,0.1044769
10,1.4121617,1.4698977,"('unsympathetic', 'sympathetic')",1.4121617,1.4698977,0.057736
11,1.7015256,1.7364751,"('unhelpful', 'helpful')",1.7015256,1.7364751,0.0349495
12,-1.6210227,-1.6262432,"('unsupportive', 'supportive')",-1.6210227,-1.6262432,-0.0052205
13,0.312118,0.35607058,"('impolite', 'polite')",0.312118,0.3560706,0.0439526
14,0.16774787,0.046655796,"('antisocial', 'social')",0.1677479,0.0466558,-0.1210921
15,0.08254224,-0.042470984,"('boring', 'funny')",0.0825422,-0.042471,-0.1250132
16,-0.38997954,-0.36828142,"('unpopular', 'popular')",-0.3899795,-0.3682814,0.0216981
17,-0.066549554,-0.09000024,"('nasty', 'nice')",-0.0665496,-0.0900002,-0.0234506
18,-0.47613993,-0.5061868,"('disagreeable', 'welcoming')",-0.4761399,-0.5061868,-0.0300469
19,-1.0315222,-0.99073756,"('inhospitable', 'hospitable')",-1.0315222,-0.9907376,0.0407846
20,1.1125526,1.0324577,"('rough', 'thoughtful')",1.1125526,1.0324577,-0.0800949
21,0.22195962,0.39563668,"('immoral', 'moral')",0.2219596,0.3956367,0.1736771
22,0.01677218,-0.038575135,"('untrustworthy', 'trustworthy')",0.0167722,-0.0385751,-0.0553473
23,6.0643415,6.215677,"('insincere', 'sincere')",6.0643415,6.2156768,0.1513353
24,1.549425,1.5323133,"('dishonest', 'honest')",1.549425,1.5323133,-0.0171117
25,0.22798304,0.2052893,"('egoistic', 'altruistic')",0.227983,0.2052893,-0.0226937
26,0.63804793,0.44831607,"('hardhearted', 'benevolent')",0.6380479,0.4483161,-0.1897318
27,1.6849669,1.5501876,"('hardhearted', 'softhearted')",1.6849669,1.5501876,-0.1347793
28,0.9326954,0.8892777,"('disloyal', 'loyal')",0.9326954,0.8892777,-0.0434177
29,-0.4808797,-0.58815676,"('unfair', 'fair')",-0.4808797,-0.5881568,-0.1072771
30,0.81085193,0.84428525,"('intolerant', 'tolerant')",0.8108519,0.8442852,0.0334333
31,-1.613887,-1.7196653,"('evil', 'good')",-1.613887,-1.7196653,-0.1057783
32,1.2646314,1.2344787,"('unkind', 'kind')",1.2646314,1.2344787,-0.0301527
33,-0.58955866,-0.56899154,"('wrong', 'right')",-0.5895587,-0.5689915,0.0205672
34,4.2162633,4.4821987,"('mean', 'honorable')",4.2162633,4.4821987,0.2659354
35,-1.2899661,-1.5010165,"('corrupt', 'incorrupt')",-1.2899661,-1.5010165,-0.2110504
36,-1.0287468,-1.1316059,"('hostile', 'amicable')",-1.0287468,-1.1316059,-0.1028591
37,0.9314889,0.944384,"('fake', 'genuine')",0.9314889,0.944384,0.0128951
38,-0.5500858,-0.44277322,"('untruthful', 'truthful')",-0.5500858,-0.4427732,0.1073126
39,0.19995525,0.2065064,"('exploitative', 'cooperative')",0.1999553,0.2065064,0.0065511
40,-1.2407256,-1.5006722,"('stingy', 'generous')",-1.2407256,-1.5006722,-0.2599466
41,0.25467423,0.18816584,"('unforgiving', 'forgiving')",0.2546742,0.1881658,-0.0665084
42,-1.7243199,-1.819406,"('unreliable', 'reliable')",-1.7243199,-1.819406,-0.0950861
43,1.3504379,1.461536,"('irresponsible', 'responsible')",1.3504379,1.461536,0.1110981
44,-0.82740176,-0.83275,"('prejudiced', 'unprejudiced')",-0.8274018,-0.83275,-0.0053482
45,0.48233518,0.3685141,"('incompetent', 'competent')",0.4823352,0.3685141,-0.1138211
46,0.10453513,0.14233808,"('uncompetitive', 'competitive')",0.1045351,0.1423381,0.037803
47,5.0237727,5.2734776,"('stupid', 'smart')",5.0237727,5.2734776,0.2497049
48,0.5802397,0.59051645,"('unintelligent', 'intelligent')",0.5802397,0.5905164,0.0102767
49,-0.19527154,0.018267857,"('unable', 'able')",-0.1952715,0.0182679,0.2135394
