,sectional_male,sectional_female,tuple,average_male,average_female,female-male
0,0.337327,0.1959413,"('unsociable', 'sociable')",0.337327,0.1959413,-0.1413857
1,1.1981356,1.1789191,"('unfriendly', 'friendly')",1.1981356,1.1789191,-0.0192165
2,0.0004504677,0.124800384,"('unlikable', 'likable')",0.0004505,0.1248004,0.1243499
3,0.8142368,0.83334595,"('repellent', 'pleasant')",0.8142368,0.8333459,0.0191091
4,-7.69023,-7.875675,"('disliked', 'liked')",-7.6902299,-7.8756752,-0.1854453
5,-0.58624476,-0.5584906,"('distant', 'outgoing')",-0.5862448,-0.5584906,0.0277542
6,-0.1407834,-0.15295646,"('distant', 'open')",-0.1407834,-0.1529565,-0.0121731
7,1.2907978,1.3337808,"('insensitive', 'sensitive')",1.2907978,1.3337808,0.042983
8,1.3561147,1.2871642,"('unaffectionate', 'affectionate')",1.3561147,1.2871642,-0.0689505
9,1.784441,1.8478878,"('unaffectionate', 'caring')",1.784441,1.8478878,0.0634468
10,1.159584,1.1791136,"('unsympathetic', 'sympathetic')",1.159584,1.1791136,0.0195296
11,1.7600267,1.8805006,"('unhelpful', 'helpful')",1.7600267,1.8805006,0.1204739
12,-1.1929251,-1.2011119,"('unsupportive', 'supportive')",-1.1929251,-1.2011119,-0.0081868
13,-0.009747528,0.009302191,"('impolite', 'polite')",-0.0097475,0.0093022,0.0190497
14,0.36641413,0.2329278,"('antisocial', 'social')",0.3664141,0.2329278,-0.1334863
15,0.17275424,0.1200125,"('boring', 'funny')",0.1727542,0.1200125,-0.0527417
16,-0.21704337,-0.20835662,"('unpopular', 'popular')",-0.2170434,-0.2083566,0.0086868
17,-0.17924261,-0.21147273,"('nasty', 'nice')",-0.1792426,-0.2114727,-0.0322301
18,-0.46981767,-0.4480954,"('disagreeable', 'welcoming')",-0.4698177,-0.4480954,0.0217223
19,-0.67240006,-0.55043274,"('inhospitable', 'hospitable')",-0.6724001,-0.5504327,0.1219674
20,0.80183,0.7001039,"('rough', 'thoughtful')",0.80183,0.7001039,-0.1017261
21,0.07307214,0.23965062,"('immoral', 'moral')",0.0730721,0.2396506,0.1665785
22,-0.4361509,-0.4992333,"('untrustworthy', 'trustworthy')",-0.4361509,-0.4992333,-0.0630824
23,6.5177364,6.6666956,"('insincere', 'sincere')",6.5177364,6.6666956,0.1489592
24,1.5914701,1.5754364,"('dishonest', 'honest')",1.5914701,1.5754364,-0.0160337
25,0.29306412,0.2706287,"('egoistic', 'altruistic')",0.2930641,0.2706287,-0.0224354
26,0.81851393,0.62067497,"('hardhearted', 'benevolent')",0.8185139,0.620675,-0.1978389
27,1.7732526,1.6143125,"('hardhearted', 'softhearted')",1.7732526,1.6143125,-0.1589401
28,1.0603808,1.0065866,"('disloyal', 'loyal')",1.0603808,1.0065866,-0.0537942
29,-0.6810958,-0.83331263,"('unfair', 'fair')",-0.6810958,-0.8333126,-0.1522168
30,0.78462565,0.8692628,"('intolerant', 'tolerant')",0.7846256,0.8692628,0.0846372
31,-1.1136341,-1.2347035,"('evil', 'good')",-1.1136341,-1.2347035,-0.1210694
32,1.341977,1.2979677,"('unkind', 'kind')",1.341977,1.2979677,-0.0440093
33,-0.43993157,-0.4612979,"('wrong', 'right')",-0.4399316,-0.4612979,-0.0213663
34,4.8612876,5.098616,"('mean', 'honorable')",4.8612876,5.0986161,0.2373285
35,-0.92714965,-1.214446,"('corrupt', 'incorrupt')",-0.9271497,-1.2144459,-0.2872962
36,-0.74495727,-0.87764364,"('hostile', 'amicable')",-0.7449573,-0.8776436,-0.1326863
37,1.1533853,1.1743408,"('fake', 'genuine')",1.1533853,1.1743408,0.0209555
38,-0.15072793,-0.057100356,"('untruthful', 'truthful')",-0.1507279,-0.0571004,0.0936275
39,0.2301996,0.32388178,"('exploitative', 'cooperative')",0.2301996,0.3238818,0.0936822
40,-1.5879706,-1.7925552,"('stingy', 'generous')",-1.5879706,-1.7925552,-0.2045846
41,0.36960265,0.296607,"('unforgiving', 'forgiving')",0.3696027,0.296607,-0.0729957
42,-2.604541,-2.5563183,"('unreliable', 'reliable')",-2.6045411,-2.5563183,0.0482228
43,1.4087762,1.5590721,"('irresponsible', 'responsible')",1.4087762,1.5590721,0.1502959
44,-1.4769329,-1.4691621,"('prejudiced', 'unprejudiced')",-1.4769329,-1.4691621,0.0077708
45,0.5787427,0.4120222,"('incompetent', 'competent')",0.5787427,0.4120222,-0.1667205
46,-0.35348457,-0.33804828,"('uncompetitive', 'competitive')",-0.3534846,-0.3380483,0.0154363
47,5.436698,5.592495,"('stupid', 'smart')",5.436698,5.592495,0.155797
48,0.689523,0.710742,"('unintelligent', 'intelligent')",0.689523,0.710742,0.021219
49,-0.24994352,-0.06784982,"('unable', 'able')",-0.2499435,-0.0678498,0.1820937
50,-0.2620108,-0.23633008,"('clumsy', 'skillful')",-0.2620108,-0.2363301,0.0256807
51,-0.11203495,-0.10040823,"('uneducated', 'educated')",-0.1120349,-0.1004082,0.0116267
52,-0.4900792,-0.6275976,"('irrational', 'rational')",-0.4900792,-0.6275976,-0.1375184
53,0.17462131,0.20826001,"('uncreative', 'creative')",0.1746213,0.20826,0.0336387
54,0.59270006,0.79607403,"('incapable', 'capable')",0.5927001,0.796074,0.2033739
55,0.74072665,0.79538167,"('incompetent', 'clever')",0.7407266,0.7953817,0.0546551
56,0.71063197,0.7137251,"('impractical', 'practical')",0.710632,0.7137251,0.0030931
57,-2.9235344,-3.0448923,"('unimaginative', 'imaginative')",-2.9235344,-3.0448923,-0.1213579
58,0.47477505,0.40944806,"('undiscriminating', 'discriminating')",0.474775,0.4094481,-0.0653269
59,-0.25899184,-0.18188068,"('foolish', 'wise')",-0.2589918,-0.1818807,0.0771111
60,0.55697864,0.7773274,"('inefficient', 'efficient')",0.5569786,0.7773274,0.2203488
61,0.49344227,0.38534203,"('illogical', 'logical')",0.4934423,0.385342,-0.1081003
62,0.64665556,0.7873358,"('incompetent', 'brilliant')",0.6466556,0.7873358,0.1406802
63,0.6410514,0.71616215,"('unperceptive', 'insightful')",0.6410514,0.7161621,0.0751107
64,-6.3516817,-6.408541,"('shy', 'confident')",-6.3516817,-6.4085412,-0.0568595
65,0.4685268,0.5613455,"('insecure', 'secure')",0.4685268,0.5613455,0.0928187
66,0.15620872,0.026339695,"('inactive', 'active')",0.1562087,0.0263397,-0.129869
67,-0.15465257,-0.09515984,"('doubtful', 'determined')",-0.1546526,-0.0951598,0.0594928
68,-1.0081044,-0.93230975,"('dependent', 'independent')",-1.0081044,-0.9323097,0.0757947
69,-1.8350286,-1.8993123,"('lazy', 'industrious')",-1.8350286,-1.8993123,-0.0642837
70,1.2952766,1.2882693,"('lethargic', 'energetic')",1.2952766,1.2882693,-0.0070073
71,0.75913316,0.7522291,"('diffident', 'self-confident')",0.7591332,0.7522291,-0.0069041
72,0.96221673,1.0254087,"('unambitious', 'ambitious')",0.9622167,1.0254087,0.063192
73,-3.2035215,-3.1616638,"('helpless', 'self-reliant')",-3.2035215,-3.1616638,0.0418577
74,0.0075756237,-0.12339948,"('undedicated', 'dedicated')",0.0075756,-0.1233995,-0.1309751
75,-0.97073007,-0.92257744,"('meek', 'impulsive')",-0.9707301,-0.9225774,0.0481527
76,0.53037333,0.58668214,"('anxious', 'daring')",0.5303733,0.5866821,0.0563088
77,-1.3751235,-1.2245544,"('unmotivated', 'motivated')",-1.3751235,-1.2245544,0.1505691
78,-0.5486104,-0.592905,"('nonresilient', 'resilient')",-0.5486104,-0.592905,-0.0442946
