,sentencing_male,sentencing_female,tuple,average_male,average_female,female-male
0,-0.2258897,-0.19089912,"('unsociable', 'sociable')",-0.2258897,-0.1908991,0.0349906
1,1.5161724,1.5001067,"('unfriendly', 'friendly')",1.5161724,1.5001067,-0.0160657
2,0.16417804,0.23944904,"('unlikable', 'likable')",0.164178,0.239449,0.075271
3,0.60124457,0.7976538,"('repellent', 'pleasant')",0.6012446,0.7976538,0.1964092
4,-7.193051,-7.285386,"('disliked', 'liked')",-7.1930509,-7.2853861,-0.0923352
5,0.03346946,0.08211214,"('distant', 'outgoing')",0.0334695,0.0821121,0.0486426
6,0.28298283,0.29022735,"('distant', 'open')",0.2829828,0.2902274,0.0072446
7,1.2370335,1.3934946,"('insensitive', 'sensitive')",1.2370335,1.3934946,0.1564611
8,1.1796128,1.1272218,"('unaffectionate', 'affectionate')",1.1796128,1.1272218,-0.052391
9,1.7648603,1.8361902,"('unaffectionate', 'caring')",1.7648603,1.8361902,0.0713299
10,0.899078,1.0736332,"('unsympathetic', 'sympathetic')",0.899078,1.0736332,0.1745552
11,1.9217687,2.0970902,"('unhelpful', 'helpful')",1.9217687,2.0970902,0.1753215
12,-1.2290494,-1.1034158,"('unsupportive', 'supportive')",-1.2290494,-1.1034158,0.1256336
13,0.052678257,0.14177676,"('impolite', 'polite')",0.0526783,0.1417768,0.0890985
14,-0.105511814,-0.11126766,"('antisocial', 'social')",-0.1055118,-0.1112677,-0.0057559
15,0.24497186,0.24833935,"('boring', 'funny')",0.2449719,0.2483394,0.0033675
16,-0.56103003,-0.45714742,"('unpopular', 'popular')",-0.56103,-0.4571474,0.1038826
17,0.08044241,0.07082339,"('nasty', 'nice')",0.0804424,0.0708234,-0.009619
18,-0.105730265,-0.07258444,"('disagreeable', 'welcoming')",-0.1057303,-0.0725844,0.0331459
19,-0.4352378,-0.3026487,"('inhospitable', 'hospitable')",-0.4352378,-0.3026487,0.1325891
20,0.71463645,0.5161174,"('rough', 'thoughtful')",0.7146364,0.5161174,-0.198519
21,-0.21126686,0.021073353,"('immoral', 'moral')",-0.2112669,0.0210734,0.2323403
22,-0.54128087,-0.36467957,"('untrustworthy', 'trustworthy')",-0.5412809,-0.3646796,0.1766013
23,6.912069,7.082756,"('insincere', 'sincere')",6.9120688,7.082756,0.1706872
24,1.8062468,1.8994291,"('dishonest', 'honest')",1.8062468,1.8994291,0.0931823
25,0.94735074,0.79594845,"('egoistic', 'altruistic')",0.9473507,0.7959484,-0.1514023
